"Time","edge-server-cv-78d887c496-gbtcw Response"
2022-04-18 14:29:04,299 ms
2022-04-18 14:29:06,301 ms
2022-04-18 14:29:08,294 ms
2022-04-18 14:29:10,321 ms
2022-04-18 14:29:12,406 ms
2022-04-18 14:29:14,419 ms
2022-04-18 14:29:16,424 ms
2022-04-18 14:29:18,449 ms
2022-04-18 14:29:20,382 ms
2022-04-18 14:29:22,368 ms
2022-04-18 14:29:24,438 ms
2022-04-18 14:29:26,421 ms
2022-04-18 14:29:28,393 ms
2022-04-18 14:29:30,388 ms
2022-04-18 14:29:32,370 ms
2022-04-18 14:29:34,320 ms
2022-04-18 14:29:36,540 ms
2022-04-18 14:29:38,571 ms
2022-04-18 14:29:40,601 ms
2022-04-18 14:29:42,603 ms
2022-04-18 14:29:44,416 ms
2022-04-18 14:29:46,367 ms
2022-04-18 14:29:48,335 ms
2022-04-18 14:29:50,303 ms
2022-04-18 14:29:52,325 ms
2022-04-18 14:29:54,325 ms
2022-04-18 14:29:56,422 ms
2022-04-18 14:29:58,446 ms
2022-04-18 14:30:00,452 ms
2022-04-18 14:30:02,461 ms
2022-04-18 14:30:04,364 ms
2022-04-18 14:30:06,319 ms
2022-04-18 14:30:08,318 ms
2022-04-18 14:30:10,481 ms
2022-04-18 14:30:12,485 ms
2022-04-18 14:30:14,483 ms
2022-04-18 14:30:16,499 ms
2022-04-18 14:30:18,384 ms
2022-04-18 14:30:20,383 ms
2022-04-18 14:30:22,403 ms
2022-04-18 14:30:24,494 ms
2022-04-18 14:30:26,522 ms
2022-04-18 14:30:28,538 ms
2022-04-18 14:30:30,524 ms
2022-04-18 14:30:32,422 ms
2022-04-18 14:30:34,399 ms
2022-04-18 14:30:36,311 ms
2022-04-18 14:30:38,333 ms
2022-04-18 14:30:40,384 ms
2022-04-18 14:30:42,453 ms
2022-04-18 14:30:44,485 ms
2022-04-18 14:30:46,463 ms
2022-04-18 14:30:48,433 ms
2022-04-18 14:30:50,378 ms
2022-04-18 14:30:52,319 ms
2022-04-18 14:30:54,311 ms
2022-04-18 14:30:56,314 ms
2022-04-18 14:30:58,317 ms
2022-04-18 14:31:00,340 ms
2022-04-18 14:31:02,334 ms
2022-04-18 14:31:04,347 ms
2022-04-18 14:31:06,335 ms
2022-04-18 14:31:08,394 ms
2022-04-18 14:31:10,380 ms
2022-04-18 14:31:12,362 ms
2022-04-18 14:31:14,363 ms
2022-04-18 14:31:16,345 ms
2022-04-18 14:31:18,321 ms
2022-04-18 14:31:20,393 ms
2022-04-18 14:31:22,409 ms
2022-04-18 14:31:24,415 ms
2022-04-18 14:31:26,388 ms
2022-04-18 14:31:28,278 ms
2022-04-18 14:31:30,283 ms
2022-04-18 14:31:32,286 ms
2022-04-18 14:31:34,298 ms
2022-04-18 14:31:36,302 ms
2022-04-18 14:31:38,291 ms
2022-04-18 14:31:40,312 ms
2022-04-18 14:31:42,517 ms
2022-04-18 14:31:44,633 ms
2022-04-18 14:31:46,707 ms
2022-04-18 14:31:48,675 ms
2022-04-18 14:31:50,666 ms
2022-04-18 14:31:52,536 ms
2022-04-18 14:31:54,324 ms
2022-04-18 14:31:56,332 ms
2022-04-18 14:31:58,342 ms
2022-04-18 14:32:00,356 ms
2022-04-18 14:32:02,439 ms
2022-04-18 14:32:04,415 ms
2022-04-18 14:32:06,402 ms
2022-04-18 14:32:08,365 ms
2022-04-18 14:32:10,271 ms
2022-04-18 14:32:12,285 ms
2022-04-18 14:32:14,291 ms
2022-04-18 14:32:16,303 ms
2022-04-18 14:32:18,312 ms
2022-04-18 14:32:20,297 ms
2022-04-18 14:32:22,295 ms
2022-04-18 14:32:24,373 ms
2022-04-18 14:32:26,451 ms
2022-04-18 14:32:28,635 ms
