"Time","Value"
2022-04-18 14:29:00,47.3
2022-04-18 14:29:15,49.5
2022-04-18 14:29:30,49.5
2022-04-18 14:29:45,54.0
2022-04-18 14:30:00,54.0
2022-04-18 14:30:15,81.5
2022-04-18 14:30:30,81.5
2022-04-18 14:30:45,48.2
2022-04-18 14:31:00,48.2
2022-04-18 14:31:15,73.4
2022-04-18 14:31:30,73.4
2022-04-18 14:31:45,54.5
2022-04-18 14:32:00,54.5
2022-04-18 14:32:15,40.6
2022-04-18 14:32:30,40.6
2022-04-18 14:32:45,80.5
2022-04-18 14:33:00,80.5
2022-04-18 14:33:15,56.8
2022-04-18 14:33:30,56.8
2022-04-18 14:33:45,55.7
2022-04-18 14:34:00,55.7
2022-04-18 14:34:15,63.7
2022-04-18 14:34:30,63.7
2022-04-18 14:34:45,53.0
2022-04-18 14:35:00,53.0
2022-04-18 14:35:15,74.9
2022-04-18 14:35:30,74.9
2022-04-18 14:35:45,26.5
2022-04-18 14:36:00,26.5
2022-04-18 14:36:15,72.7
2022-04-18 14:36:30,72.7
2022-04-18 14:36:45,60.2
2022-04-18 14:37:00,60.2
2022-04-18 14:37:15,57.3
2022-04-18 14:37:30,57.3
2022-04-18 14:37:45,52.3
2022-04-18 14:38:00,52.3
2022-04-18 14:38:15,56.3
2022-04-18 14:38:30,56.3
2022-04-18 14:38:45,49.0
2022-04-18 14:39:00,49.0
2022-04-18 14:39:15,60.2
2022-04-18 14:39:30,60.2
2022-04-18 14:39:45,47.7
2022-04-18 14:40:00,47.7
2022-04-18 14:40:15,39.3
2022-04-18 14:40:30,39.3
2022-04-18 14:40:45,68.5
2022-04-18 14:41:00,68.5
2022-04-18 14:41:15,34.6
2022-04-18 14:41:30,34.6
2022-04-18 14:41:45,54.6
2022-04-18 14:42:00,54.6
2022-04-18 14:42:15,77.5
2022-04-18 14:42:30,77.5
2022-04-18 14:42:45,43.5
2022-04-18 14:43:00,43.5
2022-04-18 14:43:15,60.1
2022-04-18 14:43:30,60.1
2022-04-18 14:43:45,40.5
2022-04-18 14:44:00,40.5
2022-04-18 14:44:15,55.8
2022-04-18 14:44:30,55.8
2022-04-18 14:44:45,60.5
2022-04-18 14:45:00,60.5
2022-04-18 14:45:15,26.8
2022-04-18 14:45:30,26.8
2022-04-18 14:45:45,87.7
2022-04-18 14:46:00,87.7
2022-04-18 14:46:15,26.4
2022-04-18 14:46:30,26.4
2022-04-18 14:46:45,55.5
2022-04-18 14:47:00,55.5
2022-04-18 14:47:15,60.7
2022-04-18 14:47:30,60.7
2022-04-18 14:47:45,53.6
2022-04-18 14:48:00,53.6
2022-04-18 14:48:15,80.2
2022-04-18 14:48:30,80.2
2022-04-18 14:48:45,58.0
2022-04-18 14:49:00,58.0
2022-04-18 14:49:15,75.2
2022-04-18 14:49:30,75.2
2022-04-18 14:49:45,47.9
2022-04-18 14:50:00,47.9
2022-04-18 14:50:15,68.4
2022-04-18 14:50:30,68.4
2022-04-18 14:50:45,61.1
2022-04-18 14:51:00,61.1
2022-04-18 14:51:15,66.4
2022-04-18 14:51:30,66.4
2022-04-18 14:51:45,36.2
2022-04-18 14:52:00,36.2
2022-04-18 14:52:15,69.8
2022-04-18 14:52:30,69.8
2022-04-18 14:52:45,84.0
2022-04-18 14:53:00,84.0
2022-04-18 14:53:15,41.3
2022-04-18 14:53:30,41.3
2022-04-18 14:53:45,69.1
2022-04-18 14:54:00,69.1
2022-04-18 14:54:15,41.3
2022-04-18 14:54:30,41.3
2022-04-18 14:54:45,60.3
2022-04-18 14:55:00,60.3
2022-04-18 14:55:15,64.8
2022-04-18 14:55:30,64.8
2022-04-18 14:55:45,61.3
2022-04-18 14:56:00,61.3
2022-04-18 14:56:15,71.2
2022-04-18 14:56:30,71.2
2022-04-18 14:56:45,60.5
2022-04-18 14:57:00,60.5
2022-04-18 14:57:15,50.0
2022-04-18 14:57:30,50.0
2022-04-18 14:57:45,33.8
2022-04-18 14:58:00,33.8

