"Time","edge-server-cv-78d887c496-gbtcw"
2022-04-18 14:29:00,37.2
2022-04-18 14:29:15,32.2
2022-04-18 14:29:30,32.2
2022-04-18 14:29:45,30.6
2022-04-18 14:30:00,30.6
2022-04-18 14:30:15,31.0
2022-04-18 14:30:30,31.0
2022-04-18 14:30:45,30.8
2022-04-18 14:31:00,30.8
2022-04-18 14:31:15,24.4
2022-04-18 14:31:30,24.4
2022-04-18 14:31:45,26.3
2022-04-18 14:32:00,26.3
2022-04-18 14:32:15,31.4
2022-04-18 14:32:30,31.4
2022-04-18 14:32:45,32.6
2022-04-18 14:33:00,32.6
2022-04-18 14:33:15,25.3
2022-04-18 14:33:30,25.3
2022-04-18 14:33:45,38.5
2022-04-18 14:34:00,38.5
2022-04-18 14:34:15,28.6
2022-04-18 14:34:30,28.6
2022-04-18 14:34:45,21.8
2022-04-18 14:35:00,21.8
2022-04-18 14:35:15,23.7
2022-04-18 14:35:30,23.7
2022-04-18 14:35:45,20.9
2022-04-18 14:36:00,20.9
2022-04-18 14:36:15,27.3
2022-04-18 14:36:30,27.3
2022-04-18 14:36:45,31.1
2022-04-18 14:37:00,31.1
2022-04-18 14:37:15,22.9
2022-04-18 14:37:30,22.9
2022-04-18 14:37:45,38.3
2022-04-18 14:38:00,38.3
2022-04-18 14:38:15,35.2
2022-04-18 14:38:30,35.2
2022-04-18 14:38:45,31.0
2022-04-18 14:39:00,31.0
2022-04-18 14:39:15,33.0
2022-04-18 14:39:30,33.0
2022-04-18 14:39:45,29.7
2022-04-18 14:40:00,29.7
2022-04-18 14:40:15,27.1
2022-04-18 14:40:30,27.1
2022-04-18 14:40:45,33.4
2022-04-18 14:41:00,33.4
2022-04-18 14:41:15,35.1
2022-04-18 14:41:30,35.1
2022-04-18 14:41:45,23.4
2022-04-18 14:42:00,23.4
2022-04-18 14:42:15,26.1
2022-04-18 14:42:30,26.1
2022-04-18 14:42:45,31.5
2022-04-18 14:43:00,31.5
2022-04-18 14:43:15,17.6
2022-04-18 14:43:30,17.6
2022-04-18 14:43:45,29.7
2022-04-18 14:44:00,29.7
2022-04-18 14:44:15,21.2
2022-04-18 14:44:30,21.2
2022-04-18 14:44:45,25.8
2022-04-18 14:45:00,25.8
2022-04-18 14:45:15,25.7
2022-04-18 14:45:30,25.7
2022-04-18 14:45:45,26.2
2022-04-18 14:46:00,26.2
2022-04-18 14:46:15,26.2
2022-04-18 14:46:30,26.2
2022-04-18 14:46:45,30.7
2022-04-18 14:47:00,30.7
2022-04-18 14:47:15,37.9
2022-04-18 14:47:30,37.9
2022-04-18 14:47:45,29.1
2022-04-18 14:48:00,29.1
2022-04-18 14:48:15,31.7
2022-04-18 14:48:30,31.7
2022-04-18 14:48:45,28.2
2022-04-18 14:49:00,28.2
2022-04-18 14:49:15,33.2
2022-04-18 14:49:30,33.2
2022-04-18 14:49:45,33.9
2022-04-18 14:50:00,33.9
2022-04-18 14:50:15,28.4
2022-04-18 14:50:30,28.4
2022-04-18 14:50:45,31.1
2022-04-18 14:51:00,31.1
2022-04-18 14:51:15,31.0
2022-04-18 14:51:30,31.0
2022-04-18 14:51:45,28.7
2022-04-18 14:52:00,28.7
2022-04-18 14:52:15,28.0
2022-04-18 14:52:30,28.0
2022-04-18 14:52:45,36.0
2022-04-18 14:53:00,36.0
2022-04-18 14:53:15,34.4
2022-04-18 14:53:30,34.4
2022-04-18 14:53:45,29.5
2022-04-18 14:54:00,29.5
2022-04-18 14:54:15,16.3
2022-04-18 14:54:30,16.3
2022-04-18 14:54:45,23.6
2022-04-18 14:55:00,23.6
2022-04-18 14:55:15,25.8
2022-04-18 14:55:30,25.8
2022-04-18 14:55:45,31.0
2022-04-18 14:56:00,31.0
2022-04-18 14:56:15,27.9
2022-04-18 14:56:30,27.9
2022-04-18 14:56:45,26.6
2022-04-18 14:57:00,26.6
2022-04-18 14:57:15,37.3
2022-04-18 14:57:30,37.3
2022-04-18 14:57:45,30.0
2022-04-18 14:58:00,30.0

