"Time","/kubepods/podee24f4d1-10be-4806-a5c1-682dc6bf96e1/34a6451f013f65f609c06bc156728df66ea3748024d52d33cf25b1feeda03007"
2022-04-18 15:05:45,0.387
2022-04-18 15:06:00,0.387
2022-04-18 15:06:15,0.469
2022-04-18 15:06:30,0.469
2022-04-18 15:06:45,0.318
2022-04-18 15:07:00,0.318
2022-04-18 15:07:15,0.412
2022-04-18 15:07:30,0.412
2022-04-18 15:07:45,0.365
2022-04-18 15:08:00,0.365
2022-04-18 15:08:15,0.361
2022-04-18 15:08:30,0.361
2022-04-18 15:08:45,0.603
2022-04-18 15:09:00,0.603
2022-04-18 15:09:15,0.425
2022-04-18 15:09:30,0.425
2022-04-18 15:09:45,0.377
2022-04-18 15:10:00,0.377
2022-04-18 15:10:15,0.484
2022-04-18 15:10:30,0.484
2022-04-18 15:10:45,0.427
2022-04-18 15:11:00,0.427
2022-04-18 15:11:15,0.694
2022-04-18 15:11:30,0.694
2022-04-18 15:11:45,0.303
2022-04-18 15:12:00,0.303
2022-04-18 15:12:15,0.469
2022-04-18 15:12:30,0.469
2022-04-18 15:12:45,0.415
2022-04-18 15:13:00,0.415
2022-04-18 15:13:15,0.400
2022-04-18 15:13:30,0.400
2022-04-18 15:13:45,0.435
2022-04-18 15:14:00,0.435
2022-04-18 15:14:15,0.392
2022-04-18 15:14:30,0.392
2022-04-18 15:14:45,0.342
2022-04-18 15:15:00,0.342
2022-04-18 15:15:15,0.352
2022-04-18 15:15:30,0.352
2022-04-18 15:15:45,0.448
2022-04-18 15:16:00,0.448
2022-04-18 15:16:15,0.286
2022-04-18 15:16:30,0.286
2022-04-18 15:16:45,0.630
2022-04-18 15:17:00,0.630
2022-04-18 15:17:15,0.423
2022-04-18 15:17:30,0.423
2022-04-18 15:17:45,0.447
2022-04-18 15:18:00,0.447
2022-04-18 15:18:15,0.488
2022-04-18 15:18:30,0.488
2022-04-18 15:18:45,0.440
2022-04-18 15:19:00,0.440
2022-04-18 15:19:15,0.588
2022-04-18 15:19:30,0.588
2022-04-18 15:19:45,0.496
2022-04-18 15:20:00,0.496
2022-04-18 15:20:15,0.453
2022-04-18 15:20:30,0.453
2022-04-18 15:20:45,0.474
2022-04-18 15:21:00,0.474
2022-04-18 15:21:15,0.330
2022-04-18 15:21:30,0.330
2022-04-18 15:21:45,0.519
2022-04-18 15:22:00,0.519
2022-04-18 15:22:15,0.343
2022-04-18 15:22:30,0.343
2022-04-18 15:22:45,0.308
2022-04-18 15:23:00,0.308
2022-04-18 15:23:15,0.637
2022-04-18 15:23:30,0.637
2022-04-18 15:23:45,0.391
2022-04-18 15:24:00,0.391
2022-04-18 15:24:15,0.460
2022-04-18 15:24:30,0.460
2022-04-18 15:24:45,0.586
2022-04-18 15:25:00,0.586
2022-04-18 15:25:15,0.441
2022-04-18 15:25:30,0.441
2022-04-18 15:25:45,0.431
2022-04-18 15:26:00,0.431
2022-04-18 15:26:15,0.501
2022-04-18 15:26:30,0.501
2022-04-18 15:26:45,0.514
2022-04-18 15:27:00,0.514
2022-04-18 15:27:15,0.444
2022-04-18 15:27:30,0.444
2022-04-18 15:27:45,0.300
2022-04-18 15:28:00,0.300
2022-04-18 15:28:15,0.345
2022-04-18 15:28:30,0.345
2022-04-18 15:28:45,0.573
2022-04-18 15:29:00,0.573
2022-04-18 15:29:15,0.393
2022-04-18 15:29:30,0.393
2022-04-18 15:29:45,0.555
2022-04-18 15:30:00,0.555
2022-04-18 15:30:15,0.471
2022-04-18 15:30:30,0.471
2022-04-18 15:30:45,0.758
2022-04-18 15:31:00,0.758
2022-04-18 15:31:15,0.405
2022-04-18 15:31:30,0.405
2022-04-18 15:31:45,0.441
2022-04-18 15:32:00,0.441
2022-04-18 15:32:15,0.415
2022-04-18 15:32:30,0.415
2022-04-18 15:32:45,0.547
2022-04-18 15:33:00,0.547
2022-04-18 15:33:15,0.520
2022-04-18 15:33:30,0.520
2022-04-18 15:33:45,0.379
2022-04-18 15:34:00,0.379
2022-04-18 15:34:15,0.519
2022-04-18 15:34:30,0.519
2022-04-18 15:34:45,0.490

