"Time","edge-server-cv-78d887c496-njhtr Requests/2s","requests/30"
2022-04-18 15:05:45,0,0.931
2022-04-18 15:05:46,1,0.931
2022-04-18 15:05:47,2,1
2022-04-18 15:05:48,3,1.07
2022-04-18 15:05:49,2,1.14
2022-04-18 15:05:50,2,1.21
2022-04-18 15:05:51,1,1.14
2022-04-18 15:05:52,0,1.07
2022-04-18 15:05:53,1,1.10
2022-04-18 15:05:54,0,1.07
2022-04-18 15:05:55,0,1.07
2022-04-18 15:05:56,2,1.14
2022-04-18 15:05:57,1,1.14
2022-04-18 15:05:58,0,1.10
2022-04-18 15:05:59,2,1.14
2022-04-18 15:06:00,3,1.24
2022-04-18 15:06:01,2,1.28
2022-04-18 15:06:02,3,1.24
2022-04-18 15:06:03,0,1.17
2022-04-18 15:06:04,0,1.14
2022-04-18 15:06:05,0,1.14
2022-04-18 15:06:06,1,1.17
2022-04-18 15:06:07,1,1.17
2022-04-18 15:06:08,1,1.17
2022-04-18 15:06:09,0,1.17
2022-04-18 15:06:10,2,1.14
2022-04-18 15:06:11,1,1.14
2022-04-18 15:06:12,2,1.14
2022-04-18 15:06:13,2,1.21
2022-04-18 15:06:14,0,1.21
2022-04-18 15:06:15,1,1.21
2022-04-18 15:06:16,2,1.21
2022-04-18 15:06:17,0,1.10
2022-04-18 15:06:18,1,1.07
2022-04-18 15:06:19,1,1.03
2022-04-18 15:06:20,1,1.03
2022-04-18 15:06:21,3,1.14
2022-04-18 15:06:22,1,1.14
2022-04-18 15:06:23,0,1.14
2022-04-18 15:06:24,2,1.21
2022-04-18 15:06:25,0,1.14
2022-04-18 15:06:26,1,1.14
2022-04-18 15:06:27,2,1.21
2022-04-18 15:06:28,0,1.14
2022-04-18 15:06:29,1,1.07
2022-04-18 15:06:30,1,1.03
2022-04-18 15:06:31,0,0.931
2022-04-18 15:06:32,1,0.966
2022-04-18 15:06:33,4,1.10
2022-04-18 15:06:34,1,1.14
2022-04-18 15:06:35,1,1.14
2022-04-18 15:06:36,0,1.10
2022-04-18 15:06:37,0,1.07
2022-04-18 15:06:38,1,1.10
2022-04-18 15:06:39,0,1.03
2022-04-18 15:06:40,0,1
2022-04-18 15:06:41,1,0.966
2022-04-18 15:06:42,2,0.966
2022-04-18 15:06:43,1,1
2022-04-18 15:06:44,1,1
2022-04-18 15:06:45,1,0.966
2022-04-18 15:06:46,1,1
2022-04-18 15:06:47,0,0.966
2022-04-18 15:06:48,2,1
2022-04-18 15:06:49,2,1.03
2022-04-18 15:06:50,1,0.966
2022-04-18 15:06:51,2,1
2022-04-18 15:06:52,2,1.07
2022-04-18 15:06:53,3,1.10
2022-04-18 15:06:54,1,1.14
2022-04-18 15:06:55,0,1.10
2022-04-18 15:06:56,1,1.07
2022-04-18 15:06:57,0,1.07
2022-04-18 15:06:58,3,1.14
2022-04-18 15:06:59,2,1.17
2022-04-18 15:07:00,0,1.17
2022-04-18 15:07:01,1,1.17
2022-04-18 15:07:02,1,1.07
2022-04-18 15:07:03,2,1.10
2022-04-18 15:07:04,0,1.07
2022-04-18 15:07:05,1,1.10
2022-04-18 15:07:06,1,1.14
2022-04-18 15:07:07,0,1.10
2022-04-18 15:07:08,1,1.14
2022-04-18 15:07:09,1,1.17
2022-04-18 15:07:10,2,1.21
2022-04-18 15:07:11,1,1.17
2022-04-18 15:07:12,1,1.17
2022-04-18 15:07:13,1,1.17
2022-04-18 15:07:14,1,1.17
2022-04-18 15:07:15,2,1.21
2022-04-18 15:07:16,0,1.21
2022-04-18 15:07:17,0,1.14
2022-04-18 15:07:18,3,1.17
2022-04-18 15:07:19,1,1.17
2022-04-18 15:07:20,1,1.14
2022-04-18 15:07:21,0,1.07
2022-04-18 15:07:22,2,1.03
2022-04-18 15:07:23,3,1.10
2022-04-18 15:07:24,2,1.17
2022-04-18 15:07:25,0,1.14
2022-04-18 15:07:26,0,1.14
2022-04-18 15:07:27,0,1.03
2022-04-18 15:07:28,1,1.00
2022-04-18 15:07:29,2,1.07
2022-04-18 15:07:30,2,1.10
2022-04-18 15:07:31,1,1.10
2022-04-18 15:07:32,2,1.10
2022-04-18 15:07:33,0,1.10
2022-04-18 15:07:34,1,1.10
2022-04-18 15:07:35,2,1.14
2022-04-18 15:07:36,3,1.24
2022-04-18 15:07:37,0,1.21
2022-04-18 15:07:38,0,1.17
2022-04-18 15:07:39,9,1.41
2022-04-18 15:07:40,1,1.41
2022-04-18 15:07:41,0,1.38
2022-04-18 15:07:42,1,1.38
2022-04-18 15:07:43,0,1.34
2022-04-18 15:07:44,1,1.31
2022-04-18 15:07:45,0,1.31
2022-04-18 15:07:46,0,1.31
2022-04-18 15:07:47,1,1.24
2022-04-18 15:07:48,0,1.21
2022-04-18 15:07:49,2,1.24
2022-04-18 15:07:50,1,1.28
2022-04-18 15:07:51,1,1.24
2022-04-18 15:07:52,0,1.14
2022-04-18 15:07:53,1,1.10
2022-04-18 15:07:54,3,1.21
2022-04-18 15:07:55,2,1.28
2022-04-18 15:07:56,1,1.31
2022-04-18 15:07:57,1,1.31
2022-04-18 15:07:58,3,1.34
2022-04-18 15:07:59,1,1.31
2022-04-18 15:08:00,1,1.31
2022-04-18 15:08:01,2,1.31
2022-04-18 15:08:02,1,1.34
2022-04-18 15:08:03,3,1.41
2022-04-18 15:08:04,0,1.34
2022-04-18 15:08:05,2,1.31
2022-04-18 15:08:06,0,1.31
2022-04-18 15:08:07,0,1.31
2022-04-18 15:08:08,0,1
2022-04-18 15:08:09,2,1.03
2022-04-18 15:08:10,1,1.07
2022-04-18 15:08:11,0,1.03
2022-04-18 15:08:12,1,1.07
2022-04-18 15:08:13,2,1.10
2022-04-18 15:08:14,0,1.10
2022-04-18 15:08:15,0,1.10
2022-04-18 15:08:16,2,1.14
2022-04-18 15:08:17,5,1.31
2022-04-18 15:08:18,0,1.24
2022-04-18 15:08:19,3,1.31
2022-04-18 15:08:20,1,1.31
2022-04-18 15:08:21,3,1.41
2022-04-18 15:08:22,2,1.45
2022-04-18 15:08:23,1,1.38
2022-04-18 15:08:24,0,1.31
2022-04-18 15:08:25,2,1.34
2022-04-18 15:08:26,2,1.38
2022-04-18 15:08:27,0,1.28
2022-04-18 15:08:28,0,1.24
2022-04-18 15:08:29,2,1.28
2022-04-18 15:08:30,1,1.24
2022-04-18 15:08:31,4,1.34
2022-04-18 15:08:32,1,1.28
2022-04-18 15:08:33,1,1.31
2022-04-18 15:08:34,1,1.28
2022-04-18 15:08:35,2,1.34
2022-04-18 15:08:36,1,1.38
2022-04-18 15:08:37,2,1.45
2022-04-18 15:08:38,4,1.52
2022-04-18 15:08:39,0,1.48
2022-04-18 15:08:40,0,1.48
2022-04-18 15:08:41,1,1.48
2022-04-18 15:08:42,1,1.45
2022-04-18 15:08:43,3,1.55
2022-04-18 15:08:44,0,1.55
2022-04-18 15:08:45,2,1.55
2022-04-18 15:08:46,0,1.38
2022-04-18 15:08:47,0,1.38
2022-04-18 15:08:48,3,1.38
2022-04-18 15:08:49,3,1.45
2022-04-18 15:08:50,2,1.41
2022-04-18 15:08:51,1,1.38
2022-04-18 15:08:52,3,1.45
2022-04-18 15:08:53,2,1.52
2022-04-18 15:08:54,2,1.52
2022-04-18 15:08:55,0,1.45
2022-04-18 15:08:56,0,1.45
2022-04-18 15:08:57,2,1.52
2022-04-18 15:08:58,3,1.55
2022-04-18 15:08:59,2,1.59
2022-04-18 15:09:00,1,1.48
2022-04-18 15:09:01,1,1.48
2022-04-18 15:09:02,2,1.52
2022-04-18 15:09:03,1,1.52
2022-04-18 15:09:04,3,1.55
2022-04-18 15:09:05,1,1.55
2022-04-18 15:09:06,1,1.52
2022-04-18 15:09:07,0,1.38
2022-04-18 15:09:08,0,1.38
2022-04-18 15:09:09,0,1.38
2022-04-18 15:09:10,2,1.41
2022-04-18 15:09:11,0,1.38
2022-04-18 15:09:12,2,1.34
2022-04-18 15:09:13,1,1.38
2022-04-18 15:09:14,1,1.34
2022-04-18 15:09:15,1,1.38
2022-04-18 15:09:16,2,1.45
2022-04-18 15:09:17,2,1.41
2022-04-18 15:09:18,1,1.34
2022-04-18 15:09:19,2,1.34
2022-04-18 15:09:20,0,1.31
2022-04-18 15:09:21,2,1.28
2022-04-18 15:09:22,0,1.21
2022-04-18 15:09:23,1,1.17
2022-04-18 15:09:24,1,1.21
2022-04-18 15:09:25,1,1.24
2022-04-18 15:09:26,0,1.17
2022-04-18 15:09:27,2,1.14
2022-04-18 15:09:28,2,1.14
2022-04-18 15:09:29,2,1.17
2022-04-18 15:09:30,0,1.14
2022-04-18 15:09:31,2,1.14
2022-04-18 15:09:32,5,1.28
2022-04-18 15:09:33,0,1.17
2022-04-18 15:09:34,2,1.21
2022-04-18 15:09:35,1,1.21
2022-04-18 15:09:36,3,1.31
2022-04-18 15:09:37,0,1.31
2022-04-18 15:09:38,4,1.45
2022-04-18 15:09:39,0,1.38
2022-04-18 15:09:40,1,1.41
2022-04-18 15:09:41,1,1.38
2022-04-18 15:09:42,2,1.41
2022-04-18 15:09:43,0,1.38
2022-04-18 15:09:44,1,1.38
2022-04-18 15:09:45,0,1.31
2022-04-18 15:09:46,0,1.24
2022-04-18 15:09:47,1,1.24
2022-04-18 15:09:48,1,1.21
2022-04-18 15:09:49,2,1.28
2022-04-18 15:09:50,0,1.21
2022-04-18 15:09:51,3,1.31
2022-04-18 15:09:52,0,1.28
2022-04-18 15:09:53,0,1.24
2022-04-18 15:09:54,2,1.28
2022-04-18 15:09:55,3,1.38
2022-04-18 15:09:56,1,1.34
2022-04-18 15:09:57,2,1.34
2022-04-18 15:09:58,0,1.28
2022-04-18 15:09:59,1,1.31
2022-04-18 15:10:00,1,1.28
2022-04-18 15:10:01,0,1.10
2022-04-18 15:10:02,1,1.14
2022-04-18 15:10:03,3,1.17
2022-04-18 15:10:04,0,1.14
2022-04-18 15:10:05,1,1.07
2022-04-18 15:10:06,0,1.07
2022-04-18 15:10:07,3,1.03
2022-04-18 15:10:08,2,1.10
2022-04-18 15:10:09,2,1.14
2022-04-18 15:10:10,0,1.10
2022-04-18 15:10:11,1,1.07
2022-04-18 15:10:12,0,1.07
2022-04-18 15:10:13,3,1.14
2022-04-18 15:10:14,3,1.24
2022-04-18 15:10:15,1,1.28
2022-04-18 15:10:16,1,1.28
2022-04-18 15:10:17,1,1.28
2022-04-18 15:10:18,1,1.24
2022-04-18 15:10:19,1,1.28
2022-04-18 15:10:20,1,1.21
2022-04-18 15:10:21,2,1.28
2022-04-18 15:10:22,1,1.31
2022-04-18 15:10:23,1,1.28
2022-04-18 15:10:24,1,1.21
2022-04-18 15:10:25,1,1.21
2022-04-18 15:10:26,1,1.17
2022-04-18 15:10:27,1,1.21
2022-04-18 15:10:28,1,1.21
2022-04-18 15:10:29,5,1.34
2022-04-18 15:10:30,0,1.34
2022-04-18 15:10:31,0,1.31
2022-04-18 15:10:32,4,1.34
2022-04-18 15:10:33,1,1.38
2022-04-18 15:10:34,0,1.34
2022-04-18 15:10:35,2,1.41
2022-04-18 15:10:36,1,1.34
2022-04-18 15:10:37,0,1.28
2022-04-18 15:10:38,1.99,1.28
2022-04-18 15:10:39,1.00,1.31
2022-04-18 15:10:40,3,1.38
2022-04-18 15:10:41,3,1.48
2022-04-18 15:10:42,1,1.41
2022-04-18 15:10:43,1,1.34
2022-04-18 15:10:44,3,1.41
2022-04-18 15:10:45,0,1.38
2022-04-18 15:10:46,5,1.52
2022-04-18 15:10:47,2,1.55
2022-04-18 15:10:48,0,1.52
2022-04-18 15:10:49,3,1.59
2022-04-18 15:10:50,1,1.55
2022-04-18 15:10:51,1,1.55
2022-04-18 15:10:52,2,1.59
2022-04-18 15:10:53,0,1.55
2022-04-18 15:10:54,2,1.59
2022-04-18 15:10:55,2,1.62
2022-04-18 15:10:56,1,1.62
2022-04-18 15:10:57,2,1.66
2022-04-18 15:10:58,2,1.55
2022-04-18 15:10:59,4,1.69
2022-04-18 15:11:00,2,1.76
2022-04-18 15:11:01,1,1.66
2022-04-18 15:11:02,0,1.62
2022-04-18 15:11:03,1,1.66
2022-04-18 15:11:04,0,1.59
2022-04-18 15:11:05,3,1.66
2022-04-18 15:11:06,0,1.66
2022-04-18 15:11:07,0,1.59
2022-04-18 15:11:08,2,1.62
2022-04-18 15:11:09,1,1.55
2022-04-18 15:11:10,0,1.45
2022-04-18 15:11:11,0,1.41
2022-04-18 15:11:12,1,1.41
2022-04-18 15:11:13,1,1.34
2022-04-18 15:11:14,0,1.34
2022-04-18 15:11:15,0,1.17
2022-04-18 15:11:16,0,1.10
2022-04-18 15:11:17,1,1.14
2022-04-18 15:11:18,1,1.07
2022-04-18 15:11:19,2,1.10
2022-04-18 15:11:20,1,1.10
2022-04-18 15:11:21,2,1.10
2022-04-18 15:11:22,0,1.10
2022-04-18 15:11:23,3,1.14
2022-04-18 15:11:24,0,1.07
2022-04-18 15:11:25,1,1.07
2022-04-18 15:11:26,2,1.07
2022-04-18 15:11:27,0,1
2022-04-18 15:11:28,0,0.862
2022-04-18 15:11:29,1,0.828
2022-04-18 15:11:30,0,0.793
2022-04-18 15:11:31,2,0.862
2022-04-18 15:11:32,1,0.862
2022-04-18 15:11:33,1,0.897
2022-04-18 15:11:34,4,0.931
2022-04-18 15:11:35,0,0.931
2022-04-18 15:11:36,1,0.966
2022-04-18 15:11:37,1,0.931
2022-04-18 15:11:38,2,0.966
2022-04-18 15:11:39,1,1
2022-04-18 15:11:40,0,1
2022-04-18 15:11:41,1,1
2022-04-18 15:11:42,0,0.966
2022-04-18 15:11:43,2,1.03
2022-04-18 15:11:44,0,1.03
2022-04-18 15:11:45,2,1.10
2022-04-18 15:11:46,1,1.10
2022-04-18 15:11:47,3,1.17
2022-04-18 15:11:48,2,1.17
2022-04-18 15:11:49,1,1.17
2022-04-18 15:11:50,0,1.10
2022-04-18 15:11:51,0,1.10
2022-04-18 15:11:52,2,1.07
2022-04-18 15:11:53,3,1.17
2022-04-18 15:11:54,1,1.17
2022-04-18 15:11:55,2,1.17
2022-04-18 15:11:56,1,1.21
2022-04-18 15:11:57,0,1.21
2022-04-18 15:11:58,1,1.21
2022-04-18 15:11:59,0,1.21
2022-04-18 15:12:00,4,1.28
2022-04-18 15:12:01,2,1.31
2022-04-18 15:12:02,0,1.28
2022-04-18 15:12:03,0,1.14
2022-04-18 15:12:04,0,1.14
2022-04-18 15:12:05,1,1.14
2022-04-18 15:12:06,0,1.10
2022-04-18 15:12:07,0,1.03
2022-04-18 15:12:08,2,1.07
2022-04-18 15:12:09,2,1.14
2022-04-18 15:12:10,1,1.14
2022-04-18 15:12:11,1,1.17
2022-04-18 15:12:12,3,1.21
2022-04-18 15:12:13,2,1.28
2022-04-18 15:12:14,1,1.24
2022-04-18 15:12:15,1,1.24
2022-04-18 15:12:16,0,1.14
2022-04-18 15:12:17,2,1.14
2022-04-18 15:12:18,1,1.14
2022-04-18 15:12:19,0,1.14
2022-04-18 15:12:20,1,1.17
2022-04-18 15:12:21,1,1.14
2022-04-18 15:12:22,1,1.07
2022-04-18 15:12:23,3,1.14
2022-04-18 15:12:24,0,1.07
2022-04-18 15:12:25,2,1.10
2022-04-18 15:12:26,0,1.10
2022-04-18 15:12:27,1,1.10
2022-04-18 15:12:28,1,1.14
2022-04-18 15:12:29,2,1.07
2022-04-18 15:12:30,0,1
2022-04-18 15:12:31,0,1
2022-04-18 15:12:32,2,1.07
2022-04-18 15:12:33,3,1.17
2022-04-18 15:12:34,0,1.14
2022-04-18 15:12:35,0,1.14
2022-04-18 15:12:36,1,1.17
2022-04-18 15:12:37,3,1.21
2022-04-18 15:12:38,1,1.17
2022-04-18 15:12:39,0,1.14
2022-04-18 15:12:40,1,1.14
2022-04-18 15:12:41,2,1.10
2022-04-18 15:12:42,1,1.07
2022-04-18 15:12:43,2,1.10
2022-04-18 15:12:44,1,1.10
2022-04-18 15:12:45,1,1.14
2022-04-18 15:12:46,2,1.14
2022-04-18 15:12:47,2,1.17
2022-04-18 15:12:48,1,1.21
2022-04-18 15:12:49,1,1.21
2022-04-18 15:12:50,2,1.24
2022-04-18 15:12:51,3,1.31
2022-04-18 15:12:52,1,1.24
2022-04-18 15:12:53,2,1.31
2022-04-18 15:12:54,1,1.28
2022-04-18 15:12:55,2,1.34
2022-04-18 15:12:56,0,1.31
2022-04-18 15:12:57,1,1.31
2022-04-18 15:12:58,1,1.28
2022-04-18 15:12:59,1,1.31
2022-04-18 15:13:00,1,1.34
2022-04-18 15:13:01,0,1.28
2022-04-18 15:13:02,0,1.17
2022-04-18 15:13:03,0,1.17
2022-04-18 15:13:04,0,1.17
2022-04-18 15:13:05,0,1.14
2022-04-18 15:13:06,0,1.03
2022-04-18 15:13:07,0,1
2022-04-18 15:13:08,0,1
2022-04-18 15:13:09,1,1
2022-04-18 15:13:10,0,0.931
2022-04-18 15:13:11,2,0.966
2022-04-18 15:13:12,2,0.966
2022-04-18 15:13:13,0,0.931
2022-04-18 15:13:14,1,0.931
2022-04-18 15:13:15,1,0.897
2022-04-18 15:13:16,1,0.862
2022-04-18 15:13:17,0,0.828
2022-04-18 15:13:18,2,0.862
2022-04-18 15:13:19,1,0.828
2022-04-18 15:13:20,1,0.759
2022-04-18 15:13:21,1,0.759
2022-04-18 15:13:22,1,0.724
2022-04-18 15:13:23,1,0.724
2022-04-18 15:13:24,1,0.690
2022-04-18 15:13:25,0,0.690
2022-04-18 15:13:26,2,0.724
2022-04-18 15:13:27,1,0.724
2022-04-18 15:13:28,2,0.759
2022-04-18 15:13:29,2,0.793
2022-04-18 15:13:30,2,0.862
2022-04-18 15:13:31,1,0.897
2022-04-18 15:13:32,0,0.897
2022-04-18 15:13:33,2,0.966
2022-04-18 15:13:34,1,1
2022-04-18 15:13:35,2,1.07
2022-04-18 15:13:36,1,1.10
2022-04-18 15:13:37,0,1.10
2022-04-18 15:13:38,2,1.14
2022-04-18 15:13:39,1,1.17
2022-04-18 15:13:40,2,1.17
2022-04-18 15:13:41,3,1.21
2022-04-18 15:13:42,1,1.24
2022-04-18 15:13:43,2,1.28
2022-04-18 15:13:44,4,1.38
2022-04-18 15:13:45,2,1.41
2022-04-18 15:13:46,2,1.48
2022-04-18 15:13:47,1,1.45
2022-04-18 15:13:48,3,1.52
2022-04-18 15:13:49,2,1.55
2022-04-18 15:13:50,0,1.52
2022-04-18 15:13:51,0,1.48
2022-04-18 15:13:52,1,1.48
