"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:05:44,256 ms
2022-04-18 15:05:46,259 ms
2022-04-18 15:05:48,251 ms
2022-04-18 15:05:50,250 ms
2022-04-18 15:05:52,244 ms
2022-04-18 15:05:54,245 ms
2022-04-18 15:05:56,247 ms
2022-04-18 15:05:58,237 ms
2022-04-18 15:06:00,241 ms
2022-04-18 15:06:02,238 ms
2022-04-18 15:06:04,238 ms
2022-04-18 15:06:06,241 ms
2022-04-18 15:06:08,243 ms
2022-04-18 15:06:10,246 ms
2022-04-18 15:06:12,252 ms
2022-04-18 15:06:14,251 ms
2022-04-18 15:06:16,240 ms
2022-04-18 15:06:18,239 ms
2022-04-18 15:06:20,248 ms
2022-04-18 15:06:22,265 ms
2022-04-18 15:06:24,265 ms
2022-04-18 15:06:26,274 ms
2022-04-18 15:06:28,277 ms
2022-04-18 15:06:30,275 ms
2022-04-18 15:06:32,257 ms
2022-04-18 15:06:34,272 ms
2022-04-18 15:06:36,274 ms
2022-04-18 15:06:38,275 ms
2022-04-18 15:06:40,279 ms
2022-04-18 15:06:42,242 ms
2022-04-18 15:06:44,250 ms
2022-04-18 15:06:46,253 ms
2022-04-18 15:06:48,255 ms
2022-04-18 15:06:50,253 ms
2022-04-18 15:06:52,250 ms
2022-04-18 15:06:54,261 ms
2022-04-18 15:06:56,259 ms
2022-04-18 15:06:58,266 ms
2022-04-18 15:07:00,271 ms
2022-04-18 15:07:02,254 ms
2022-04-18 15:07:04,258 ms
2022-04-18 15:07:06,259 ms
2022-04-18 15:07:08,258 ms
2022-04-18 15:07:10,253 ms
2022-04-18 15:07:12,251 ms
2022-04-18 15:07:14,252 ms
2022-04-18 15:07:16,249 ms
2022-04-18 15:07:18,258 ms
2022-04-18 15:07:20,256 ms
2022-04-18 15:07:22,259 ms
2022-04-18 15:07:24,261 ms
2022-04-18 15:07:26,261 ms
2022-04-18 15:07:28,248 ms
2022-04-18 15:07:30,255 ms
