"Time","/kubepods/pode313c8ac-799c-4521-9afb-ab62232db050/18f001999ab8974c8005649a714411fd3e76684b2adc8c2810180ef6305777fd"
2022-04-15 17:22:15,0.578
2022-04-15 17:22:30,0.578
2022-04-15 17:22:45,0.734
2022-04-15 17:23:00,0.734
2022-04-15 17:23:15,0.547
2022-04-15 17:23:30,0.547
2022-04-15 17:23:45,0.819
2022-04-15 17:24:00,0.819
2022-04-15 17:24:15,0.795
2022-04-15 17:24:30,0.795
2022-04-15 17:24:45,0.835
2022-04-15 17:25:00,0.835
2022-04-15 17:25:15,0.760
2022-04-15 17:25:30,0.760
2022-04-15 17:25:45,0.836
2022-04-15 17:26:00,0.836
2022-04-15 17:26:15,0.773
2022-04-15 17:26:30,0.773
2022-04-15 17:26:45,0.757
2022-04-15 17:27:00,0.757
2022-04-15 17:27:15,0.717
2022-04-15 17:27:30,0.717
2022-04-15 17:27:45,0.721
2022-04-15 17:28:00,0.721
2022-04-15 17:28:15,1.04
2022-04-15 17:28:30,1.04
2022-04-15 17:28:45,0.781
2022-04-15 17:29:00,0.781
2022-04-15 17:29:15,0.819
2022-04-15 17:29:30,0.819
2022-04-15 17:29:45,0.549
2022-04-15 17:30:00,0.549
2022-04-15 17:30:15,0.963
2022-04-15 17:30:30,0.963
2022-04-15 17:30:45,0.568
2022-04-15 17:31:00,0.568
2022-04-15 17:31:15,0.837
2022-04-15 17:31:30,0.837
2022-04-15 17:31:45,0.716
2022-04-15 17:32:00,0.716
2022-04-15 17:32:15,0.809
2022-04-15 17:32:30,0.809
2022-04-15 17:32:45,0.763
2022-04-15 17:33:00,0.763
2022-04-15 17:33:15,0.970
2022-04-15 17:33:30,0.970
2022-04-15 17:33:45,0.430
2022-04-15 17:34:00,0.430
2022-04-15 17:34:15,1.01
2022-04-15 17:34:30,1.01
2022-04-15 17:34:45,0.628
2022-04-15 17:35:00,0.628
2022-04-15 17:35:15,0.673
2022-04-15 17:35:30,0.673
2022-04-15 17:35:45,1.00
2022-04-15 17:36:00,1.00
2022-04-15 17:36:15,0.849
2022-04-15 17:36:30,0.849
2022-04-15 17:36:45,0.376
2022-04-15 17:37:00,0.376
2022-04-15 17:37:15,1.14
2022-04-15 17:37:30,1.14
2022-04-15 17:37:45,0.887
2022-04-15 17:38:00,0.887
2022-04-15 17:38:15,0.810
2022-04-15 17:38:30,0.810
2022-04-15 17:38:45,0.413
2022-04-15 17:39:00,0.413
2022-04-15 17:39:15,1.20
2022-04-15 17:39:30,1.20
2022-04-15 17:39:45,0.998
2022-04-15 17:40:00,0.998
2022-04-15 17:40:15,1.13
2022-04-15 17:40:30,1.13
2022-04-15 17:40:45,0.763
2022-04-15 17:41:00,0.763
2022-04-15 17:41:15,0.608
2022-04-15 17:41:30,0.608
2022-04-15 17:41:45,1.20
2022-04-15 17:42:00,1.20
2022-04-15 17:42:15,0.848
2022-04-15 17:42:30,0.848
2022-04-15 17:42:45,0.756
2022-04-15 17:43:00,0.756
2022-04-15 17:43:15,0.809
2022-04-15 17:43:30,0.809
2022-04-15 17:43:45,0.493
2022-04-15 17:44:00,0.493
2022-04-15 17:44:15,1.05
2022-04-15 17:44:30,1.05
2022-04-15 17:44:45,0.725
2022-04-15 17:45:00,0.725
2022-04-15 17:45:15,1.03
2022-04-15 17:45:30,1.03
2022-04-15 17:45:45,0.957
2022-04-15 17:46:00,0.957
2022-04-15 17:46:15,0.903
2022-04-15 17:46:30,0.903
2022-04-15 17:46:45,0.646
2022-04-15 17:47:00,0.646
2022-04-15 17:47:15,0.744
2022-04-15 17:47:30,0.744
2022-04-15 17:47:45,1.04
2022-04-15 17:48:00,1.04
2022-04-15 17:48:15,0.661
2022-04-15 17:48:30,0.661
2022-04-15 17:48:45,0.969
2022-04-15 17:49:00,0.969
2022-04-15 17:49:15,0.472
2022-04-15 17:49:30,0.472
2022-04-15 17:49:45,1.23
2022-04-15 17:50:00,1.23
2022-04-15 17:50:15,0.990
2022-04-15 17:50:30,0.990
2022-04-15 17:50:45,0.454
2022-04-15 17:51:00,0.454
2022-04-15 17:51:15,1.14

