"Time","60s"
2022-04-15 17:22:15,0.271
2022-04-15 17:22:30,0.271
2022-04-15 17:22:45,0.351
2022-04-15 17:23:00,0.351
2022-04-15 17:23:15,0.344
2022-04-15 17:23:30,0.344
2022-04-15 17:23:45,0.491
2022-04-15 17:24:00,0.491
2022-04-15 17:24:15,0.407
2022-04-15 17:24:30,0.407
2022-04-15 17:24:45,0.335
2022-04-15 17:25:00,0.335
2022-04-15 17:25:15,0.416
2022-04-15 17:25:30,0.416
2022-04-15 17:25:45,0.467
2022-04-15 17:26:00,0.467
2022-04-15 17:26:15,0.302
2022-04-15 17:26:30,0.302
2022-04-15 17:26:45,0.383
2022-04-15 17:27:00,0.383
2022-04-15 17:27:15,0.518
2022-04-15 17:27:30,0.518
2022-04-15 17:27:45,0.385
2022-04-15 17:28:00,0.385
2022-04-15 17:28:15,0.629
2022-04-15 17:28:30,0.629
2022-04-15 17:28:45,0.323
2022-04-15 17:29:00,0.323
2022-04-15 17:29:15,0.354
2022-04-15 17:29:30,0.354
2022-04-15 17:29:45,0.322
2022-04-15 17:30:00,0.322
2022-04-15 17:30:15,0.583
2022-04-15 17:30:30,0.583
2022-04-15 17:30:45,0.299
2022-04-15 17:31:00,0.299
2022-04-15 17:31:15,0.334
2022-04-15 17:31:30,0.334
2022-04-15 17:31:45,0.446
2022-04-15 17:32:00,0.446
2022-04-15 17:32:15,0.403
2022-04-15 17:32:30,0.403
2022-04-15 17:32:45,0.336
2022-04-15 17:33:00,0.336
2022-04-15 17:33:15,0.480
2022-04-15 17:33:30,0.480
2022-04-15 17:33:45,0.147
2022-04-15 17:34:00,0.147
2022-04-15 17:34:15,0.632
2022-04-15 17:34:30,0.632
2022-04-15 17:34:45,0.260
2022-04-15 17:35:00,0.260
2022-04-15 17:35:15,0.317
2022-04-15 17:35:30,0.317
2022-04-15 17:35:45,0.525
2022-04-15 17:36:00,0.525
2022-04-15 17:36:15,0.627
2022-04-15 17:36:30,0.627
2022-04-15 17:36:45,0.000848
2022-04-15 17:37:00,0.000848
2022-04-15 17:37:15,0.573
2022-04-15 17:37:30,0.573
2022-04-15 17:37:45,0.609
2022-04-15 17:38:00,0.609
2022-04-15 17:38:15,0.441
2022-04-15 17:38:30,0.441
2022-04-15 17:38:45,0.192
2022-04-15 17:39:00,0.192
2022-04-15 17:39:15,0.691
2022-04-15 17:39:30,0.691
2022-04-15 17:39:45,0.683
2022-04-15 17:40:00,0.683
2022-04-15 17:40:15,0.808
2022-04-15 17:40:30,0.808
2022-04-15 17:40:45,0.304
2022-04-15 17:41:00,0.304
2022-04-15 17:41:15,0.328
2022-04-15 17:41:30,0.328
2022-04-15 17:41:45,0.609
2022-04-15 17:42:00,0.609
2022-04-15 17:42:15,0.533
2022-04-15 17:42:30,0.533
2022-04-15 17:42:45,0.370
2022-04-15 17:43:00,0.370
2022-04-15 17:43:15,0.361
2022-04-15 17:43:30,0.361
2022-04-15 17:43:45,0.212
2022-04-15 17:44:00,0.212
2022-04-15 17:44:15,0.499
2022-04-15 17:44:30,0.499
2022-04-15 17:44:45,0.350
2022-04-15 17:45:00,0.350
2022-04-15 17:45:15,0.578
2022-04-15 17:45:30,0.578
2022-04-15 17:45:45,0.528
2022-04-15 17:46:00,0.528
2022-04-15 17:46:15,0.321
2022-04-15 17:46:30,0.321
2022-04-15 17:46:45,0.226
2022-04-15 17:47:00,0.226
2022-04-15 17:47:15,0.292
2022-04-15 17:47:30,0.292
2022-04-15 17:47:45,0.414
2022-04-15 17:48:00,0.414
2022-04-15 17:48:15,0.220
2022-04-15 17:48:30,0.220
2022-04-15 17:48:45,0.418
2022-04-15 17:49:00,0.418
2022-04-15 17:49:15,0.365
2022-04-15 17:49:30,0.365
2022-04-15 17:49:45,0.652
2022-04-15 17:50:00,0.652
2022-04-15 17:50:15,0.617
2022-04-15 17:50:30,0.617
2022-04-15 17:50:45,0.143
2022-04-15 17:51:00,0.143
2022-04-15 17:51:15,0.926

