"Time","edge-server-cv-78d887c496-rns55 Requests/2s","requests/30"
2022-04-15 17:22:20,0,2.17
2022-04-15 17:22:22,2,2.21
2022-04-15 17:22:24,3,2.28
2022-04-15 17:22:26,3,2.21
2022-04-15 17:22:28,1,2.17
2022-04-15 17:22:30,3,2.10
2022-04-15 17:22:32,2,2.21
2022-04-15 17:22:34,3,2.17
2022-04-15 17:22:36,4,2.31
2022-04-15 17:22:38,3,2.34
2022-04-15 17:22:40,2,2.31
2022-04-15 17:22:42,0,2.03
2022-04-15 17:22:44,0,1.97
2022-04-15 17:22:46,0,1.76
2022-04-15 17:22:48,4,1.83
2022-04-15 17:22:50,0,1.79
2022-04-15 17:22:52,2,1.83
2022-04-15 17:22:54,1,1.86
2022-04-15 17:22:56,3,1.90
2022-04-15 17:22:58,1,1.93
2022-04-15 17:23:00,2,1.90
2022-04-15 17:23:02,2,1.90
2022-04-15 17:23:04,1,1.86
2022-04-15 17:23:06,4,1.86
2022-04-15 17:23:08,1,1.83
2022-04-15 17:23:10,3,1.93
2022-04-15 17:23:12,3,1.97
2022-04-15 17:23:14,1,2.03
2022-04-15 17:23:16,3,2.07
2022-04-15 17:23:18,1,2.03
2022-04-15 17:23:20,4,2.24
2022-04-15 17:23:22,3,2.17
2022-04-15 17:23:24,2,2.28
2022-04-15 17:23:26,1,2.14
2022-04-15 17:23:28,5,2.41
2022-04-15 17:23:30,2,2.48
2022-04-15 17:23:32,3,2.48
2022-04-15 17:23:34,1,2.55
2022-04-15 17:23:36,3,2.48
2022-04-15 17:23:38,3,2.48
2022-04-15 17:23:40,3,2.55
2022-04-15 17:23:42,2,2.55
2022-04-15 17:23:44,1,2.59
2022-04-15 17:23:46,2,2.52
2022-04-15 17:23:48,1,2.55
2022-04-15 17:23:50,0,2.41
2022-04-15 17:23:52,4.98,2.45
2022-04-15 17:23:54,2,2.52
2022-04-15 17:23:56,2,2.48
2022-04-15 17:23:58,1,2.28
2022-04-15 17:24:00,0,2.24
2022-04-15 17:24:02,2,2.21
2022-04-15 17:24:04,1,2.21
2022-04-15 17:24:06,3,2.17
2022-04-15 17:24:08,6,2.24
2022-04-15 17:24:10,4,2.24
2022-04-15 17:24:12,1,2.28
2022-04-15 17:24:14,0,2.24
2022-04-15 17:24:16,1,2.10
2022-04-15 17:24:18,0,2.07
2022-04-15 17:24:20,3,2.17
2022-04-15 17:24:22,2,2
2022-04-15 17:24:24,3,1.93
2022-04-15 17:24:26,5,2.03
