"Time","edge-server-cv-78d887c496-rns55 Response"
2022-04-15 17:22:20,300 ms
2022-04-15 17:22:22,280 ms
2022-04-15 17:22:24,278 ms
2022-04-15 17:22:26,285 ms
2022-04-15 17:22:28,272 ms
2022-04-15 17:22:30,277 ms
2022-04-15 17:22:32,265 ms
2022-04-15 17:22:34,261 ms
2022-04-15 17:22:36,259 ms
2022-04-15 17:22:38,252 ms
2022-04-15 17:22:40,250 ms
2022-04-15 17:22:42,256 ms
2022-04-15 17:22:44,256 ms
2022-04-15 17:22:46,258 ms
2022-04-15 17:22:48,523 ms
2022-04-15 17:22:50,591 ms
2022-04-15 17:22:52,574 ms
2022-04-15 17:22:54,471 ms
2022-04-15 17:22:56,398 ms
2022-04-15 17:22:58,257 ms
2022-04-15 17:23:00,269 ms
2022-04-15 17:23:02,289 ms
2022-04-15 17:23:04,299 ms
2022-04-15 17:23:06,300 ms
2022-04-15 17:23:08,276 ms
2022-04-15 17:23:10,276 ms
2022-04-15 17:23:12,277 ms
2022-04-15 17:23:14,277 ms
2022-04-15 17:23:16,278 ms
2022-04-15 17:23:18,285 ms
2022-04-15 17:23:20,325 ms
2022-04-15 17:23:22,316 ms
2022-04-15 17:23:24,319 ms
2022-04-15 17:23:26,333 ms
2022-04-15 17:23:28,546 ms
2022-04-15 17:23:30,577 ms
2022-04-15 17:23:32,577 ms
2022-04-15 17:23:34,568 ms
2022-04-15 17:23:36,460 ms
2022-04-15 17:23:38,266 ms
2022-04-15 17:23:40,272 ms
2022-04-15 17:23:42,278 ms
2022-04-15 17:23:44,275 ms
2022-04-15 17:23:46,262 ms
2022-04-15 17:23:48,263 ms
2022-04-15 17:23:50,262 ms
2022-04-15 17:23:52,271 ms
2022-04-15 17:23:54,286 ms
2022-04-15 17:23:56,291 ms
2022-04-15 17:23:58,289 ms
2022-04-15 17:24:00,292 ms
2022-04-15 17:24:02,272 ms
2022-04-15 17:24:04,283 ms
2022-04-15 17:24:06,308 ms
2022-04-15 17:24:08,300 ms
2022-04-15 17:24:10,310 ms
2022-04-15 17:24:12,298 ms
2022-04-15 17:24:14,297 ms
2022-04-15 17:24:16,291 ms
2022-04-15 17:24:18,286 ms
2022-04-15 17:24:20,261 ms
2022-04-15 17:24:22,253 ms
2022-04-15 17:24:24,243 ms
2022-04-15 17:24:26,264 ms
2022-04-15 17:24:28,259 ms
2022-04-15 17:24:30,260 ms
2022-04-15 17:24:32,272 ms
2022-04-15 17:24:34,278 ms
2022-04-15 17:24:36,267 ms
2022-04-15 17:24:38,301 ms
2022-04-15 17:24:40,295 ms
2022-04-15 17:24:42,311 ms
2022-04-15 17:24:44,319 ms
2022-04-15 17:24:46,294 ms
2022-04-15 17:24:48,300 ms
2022-04-15 17:24:50,302 ms
2022-04-15 17:24:52,274 ms
2022-04-15 17:24:54,275 ms
2022-04-15 17:24:56,279 ms
2022-04-15 17:24:58,274 ms
2022-04-15 17:25:00,263 ms
2022-04-15 17:25:02,264 ms
2022-04-15 17:25:04,404 ms
2022-04-15 17:25:06,407 ms
2022-04-15 17:25:08,415 ms
2022-04-15 17:25:10,396 ms
2022-04-15 17:25:12,269 ms
2022-04-15 17:25:14,251 ms
2022-04-15 17:25:16,245 ms
2022-04-15 17:25:18,258 ms
2022-04-15 17:25:20,265 ms
2022-04-15 17:25:22,281 ms
2022-04-15 17:25:24,274 ms
2022-04-15 17:25:26,280 ms
2022-04-15 17:25:28,328 ms
2022-04-15 17:25:30,316 ms
2022-04-15 17:25:32,372 ms
2022-04-15 17:25:34,383 ms
2022-04-15 17:25:36,342 ms
2022-04-15 17:25:38,347 ms
2022-04-15 17:25:40,286 ms
2022-04-15 17:25:42,292 ms
2022-04-15 17:25:44,299 ms
2022-04-15 17:25:46,270 ms
2022-04-15 17:25:48,259 ms
2022-04-15 17:25:50,265 ms
2022-04-15 17:25:52,266 ms
2022-04-15 17:25:54,268 ms
2022-04-15 17:25:56,263 ms
2022-04-15 17:25:58,273 ms
2022-04-15 17:26:00,262 ms
2022-04-15 17:26:02,256 ms
2022-04-15 17:26:04,257 ms
2022-04-15 17:26:06,270 ms
2022-04-15 17:26:08,283 ms
2022-04-15 17:26:10,300 ms
2022-04-15 17:26:12,316 ms
2022-04-15 17:26:14,351 ms
2022-04-15 17:26:16,358 ms
2022-04-15 17:26:18,324 ms
2022-04-15 17:26:20,323 ms
2022-04-15 17:26:22,314 ms
2022-04-15 17:26:24,307 ms
2022-04-15 17:26:26,333 ms
2022-04-15 17:26:28,330 ms
2022-04-15 17:26:30,294 ms
2022-04-15 17:26:32,273 ms
2022-04-15 17:26:34,272 ms
2022-04-15 17:26:36,271 ms
2022-04-15 17:26:38,365 ms
2022-04-15 17:26:40,547 ms
2022-04-15 17:26:42,513 ms
2022-04-15 17:26:44,512 ms
2022-04-15 17:26:46,507 ms
2022-04-15 17:26:48,374 ms
2022-04-15 17:26:50,271 ms
2022-04-15 17:26:52,267 ms
2022-04-15 17:26:54,258 ms
2022-04-15 17:26:56,260 ms
2022-04-15 17:26:58,299 ms
2022-04-15 17:27:00,305 ms
2022-04-15 17:27:02,325 ms
2022-04-15 17:27:04,350 ms
2022-04-15 17:27:06,382 ms
2022-04-15 17:27:08,362 ms
2022-04-15 17:27:10,337 ms
2022-04-15 17:27:12,299 ms
2022-04-15 17:27:14,288 ms
2022-04-15 17:27:16,257 ms
2022-04-15 17:27:18,255 ms
2022-04-15 17:27:20,255 ms
2022-04-15 17:27:22,272 ms
2022-04-15 17:27:24,262 ms
2022-04-15 17:27:26,309 ms
2022-04-15 17:27:28,294 ms
2022-04-15 17:27:30,295 ms
2022-04-15 17:27:32,348 ms
2022-04-15 17:27:34,414 ms
2022-04-15 17:27:36,419 ms
2022-04-15 17:27:38,408 ms
2022-04-15 17:27:40,404 ms
2022-04-15 17:27:42,261 ms
2022-04-15 17:27:44,261 ms
2022-04-15 17:27:46,258 ms
2022-04-15 17:27:48,263 ms
2022-04-15 17:27:50,262 ms
2022-04-15 17:27:52,250 ms
2022-04-15 17:27:54,242 ms
2022-04-15 17:27:56,250 ms
2022-04-15 17:27:58,251 ms
2022-04-15 17:28:00,249 ms
2022-04-15 17:28:02,345 ms
2022-04-15 17:28:04,338 ms
2022-04-15 17:28:06,339 ms
2022-04-15 17:28:08,342 ms
2022-04-15 17:28:10,268 ms
2022-04-15 17:28:12,265 ms
2022-04-15 17:28:14,250 ms
2022-04-15 17:28:16,243 ms
2022-04-15 17:28:18,258 ms
2022-04-15 17:28:20,256 ms
2022-04-15 17:28:22,345 ms
2022-04-15 17:28:24,362 ms
2022-04-15 17:28:26,378 ms
2022-04-15 17:28:28,373 ms
2022-04-15 17:28:30,358 ms
2022-04-15 17:28:32,282 ms
2022-04-15 17:28:34,277 ms
2022-04-15 17:28:36,250 ms
2022-04-15 17:28:38,270 ms
2022-04-15 17:28:40,275 ms
2022-04-15 17:28:42,284 ms
2022-04-15 17:28:44,284 ms
2022-04-15 17:28:46,276 ms
2022-04-15 17:28:48,253 ms
