"Time","Total requests"
2022-04-15 17:22:15,63
2022-04-15 17:22:30,63
2022-04-15 17:22:45,57
2022-04-15 17:23:00,57
2022-04-15 17:23:15,62
2022-04-15 17:23:30,74
2022-04-15 17:23:45,76
2022-04-15 17:24:00,67
2022-04-15 17:24:15,67
2022-04-15 17:24:30,63
2022-04-15 17:24:45,70
2022-04-15 17:25:00,74
2022-04-15 17:25:15,63
2022-04-15 17:25:30,71
2022-04-15 17:25:45,69
2022-04-15 17:26:00,63
2022-04-15 17:26:15,66
2022-04-15 17:26:30,69
2022-04-15 17:26:45,71
2022-04-15 17:27:00,72
2022-04-15 17:27:15,77
2022-04-15 17:27:30,70
2022-04-15 17:27:45,68
2022-04-15 17:28:00,64
2022-04-15 17:28:15,60
2022-04-15 17:28:30,79
2022-04-15 17:28:45,86
2022-04-15 17:29:00,78
2022-04-15 17:29:15,65
2022-04-15 17:29:30,54
2022-04-15 17:29:45,66
2022-04-15 17:30:00,82
2022-04-15 17:30:15,76
2022-04-15 17:30:30,58
2022-04-15 17:30:45,59
2022-04-15 17:31:00,64
2022-04-15 17:31:15,63
2022-04-15 17:31:30,76
2022-04-15 17:31:45,79
2022-04-15 17:32:00,65
2022-04-15 17:32:15,69
2022-04-15 17:32:30,78
2022-04-15 17:32:45,77
2022-04-15 17:33:00,86
2022-04-15 17:33:15,82
2022-04-15 17:33:30,66
2022-04-15 17:33:45,64
2022-04-15 17:34:00,63
2022-04-15 17:34:15,62
2022-04-15 17:34:30,77
2022-04-15 17:34:45,80
2022-04-15 17:35:00,70
2022-04-15 17:35:15,61
2022-04-15 17:35:30,53
2022-04-15 17:35:45,67
2022-04-15 17:36:00,76
2022-04-15 17:36:15,73
2022-04-15 17:36:30,68
2022-04-15 17:36:45,65
2022-04-15 17:37:00,58
2022-04-15 17:37:15,74
2022-04-15 17:37:30,77
2022-04-15 17:37:45,70
2022-04-15 17:38:00,65
2022-04-15 17:38:15,61
2022-04-15 17:38:30,61
2022-04-15 17:38:45,83
2022-04-15 17:39:00,97
2022-04-15 17:39:15,77
2022-04-15 17:39:30,73
2022-04-15 17:39:45,77
2022-04-15 17:40:00,85
2022-04-15 17:40:15,89
2022-04-15 17:40:30,83
2022-04-15 17:40:45,83
2022-04-15 17:41:00,72
2022-04-15 17:41:15,59
2022-04-15 17:41:30,71
2022-04-15 17:41:45,88
2022-04-15 17:42:00,76
2022-04-15 17:42:15,66
2022-04-15 17:42:30,61
2022-04-15 17:42:45,70
2022-04-15 17:43:00,68
2022-04-15 17:43:15,59
2022-04-15 17:43:30,60
2022-04-15 17:43:45,70
2022-04-15 17:44:00,78
2022-04-15 17:44:15,66
2022-04-15 17:44:30,81
2022-04-15 17:44:45,94
2022-04-15 17:45:00,84
2022-04-15 17:45:15,64
2022-04-15 17:45:30,69
2022-04-15 17:45:45,76
2022-04-15 17:46:00,76
2022-04-15 17:46:15,82
2022-04-15 17:46:30,65
2022-04-15 17:46:45,60
2022-04-15 17:47:00,65
2022-04-15 17:47:15,69
2022-04-15 17:47:30,73
2022-04-15 17:47:45,60
2022-04-15 17:48:00,60
2022-04-15 17:48:15,61
2022-04-15 17:48:30,61
2022-04-15 17:48:45,72
2022-04-15 17:49:00,64
2022-04-15 17:49:15,62
2022-04-15 17:49:30,64
2022-04-15 17:49:45,67
2022-04-15 17:50:00,83
2022-04-15 17:50:15,81
2022-04-15 17:50:30,69
2022-04-15 17:50:45,77
2022-04-15 17:51:00,83
2022-04-15 17:51:15,73

