"Time","edge-server-cv-78d887c496-hwv29","edge-server-cv-78d887c496-rpl2c","average"
2022-04-19 13:59:45,0.373,0.745,0.559
2022-04-19 14:00:00,0.373,0.745,0.559
2022-04-19 14:00:15,1.27,1.00,1.14
2022-04-19 14:00:30,1.27,1.00,1.14
2022-04-19 14:00:45,0.832,0.597,0.715
2022-04-19 14:01:00,0.832,0.597,0.715
2022-04-19 14:01:15,0.488,1.23,0.860
2022-04-19 14:01:30,0.488,1.23,0.860
2022-04-19 14:01:45,1.09,0.845,0.965
2022-04-19 14:02:00,1.09,0.845,0.965
2022-04-19 14:02:15,1.07,0.756,0.912
2022-04-19 14:02:30,1.07,0.756,0.912
2022-04-19 14:02:45,0.392,0.696,0.544
2022-04-19 14:03:00,0.392,0.696,0.544
2022-04-19 14:03:15,0.912,0.929,0.920
2022-04-19 14:03:30,0.912,0.929,0.920
2022-04-19 14:03:45,1.06,0.833,0.945
2022-04-19 14:04:00,1.06,0.833,0.945
2022-04-19 14:04:15,1.06,0.961,1.01
2022-04-19 14:04:30,1.06,0.961,1.01
2022-04-19 14:04:45,0.745,0.730,0.738
2022-04-19 14:05:00,0.745,0.730,0.738
2022-04-19 14:05:15,0.631,0.991,0.811
2022-04-19 14:05:30,0.631,0.991,0.811
2022-04-19 14:05:45,1.18,0.423,0.801
2022-04-19 14:06:00,1.18,0.423,0.801
2022-04-19 14:06:15,0.897,0.925,0.911
2022-04-19 14:06:30,0.897,0.925,0.911
2022-04-19 14:06:45,0.588,0.928,0.758
2022-04-19 14:07:00,0.588,0.928,0.758
2022-04-19 14:07:15,1.02,0.895,0.957
2022-04-19 14:07:30,1.02,0.895,0.957
2022-04-19 14:07:45,0.876,0.888,0.882
2022-04-19 14:08:00,0.876,0.888,0.882
2022-04-19 14:08:15,0.992,0.808,0.900
2022-04-19 14:08:30,0.992,0.808,0.900
2022-04-19 14:08:45,1.04,0.566,0.802
2022-04-19 14:09:00,1.04,0.566,0.802
2022-04-19 14:09:15,0.714,1.04,0.876
2022-04-19 14:09:30,0.714,1.04,0.876
2022-04-19 14:09:45,1.02,0.968,0.996
2022-04-19 14:10:00,1.02,0.968,0.996
2022-04-19 14:10:15,0.521,0.970,0.746
2022-04-19 14:10:30,0.521,0.970,0.746
2022-04-19 14:10:45,1.40,0.578,0.989
2022-04-19 14:11:00,1.40,0.578,0.989
2022-04-19 14:11:15,0.653,1.38,1.02
2022-04-19 14:11:30,0.653,1.38,1.02
2022-04-19 14:11:45,1.17,0.623,0.899
2022-04-19 14:12:00,1.17,0.623,0.899
2022-04-19 14:12:15,0.911,0.955,0.933
2022-04-19 14:12:30,0.911,0.955,0.933
2022-04-19 14:12:45,1.04,0.944,0.992
2022-04-19 14:13:00,1.04,0.944,0.992
2022-04-19 14:13:15,1.17,1.08,1.13
2022-04-19 14:13:30,1.17,1.08,1.13
2022-04-19 14:13:45,0.806,0.998,0.902
2022-04-19 14:14:00,0.806,0.998,0.902
2022-04-19 14:14:15,0.910,0.856,0.883
2022-04-19 14:14:30,0.910,0.856,0.883
2022-04-19 14:14:45,0.890,0.992,0.941
2022-04-19 14:15:00,0.890,0.992,0.941
2022-04-19 14:15:15,0.982,0.932,0.957
2022-04-19 14:15:30,0.982,0.932,0.957
2022-04-19 14:15:45,0.682,0.959,0.821
2022-04-19 14:16:00,0.682,0.959,0.821
2022-04-19 14:16:15,1.09,0.912,1.00
2022-04-19 14:16:30,1.09,0.912,1.00
2022-04-19 14:16:45,0.851,0.995,0.923
2022-04-19 14:17:00,0.851,0.995,0.923
2022-04-19 14:17:15,0.798,1.08,0.941
2022-04-19 14:17:30,0.798,1.08,0.941
2022-04-19 14:17:45,1.14,0.890,1.01
2022-04-19 14:18:00,1.14,0.890,1.01
2022-04-19 14:18:15,1.22,1.12,1.17
2022-04-19 14:18:30,1.22,1.12,1.17
2022-04-19 14:18:45,0.459,0.904,0.681
2022-04-19 14:19:00,0.459,0.904,0.681
2022-04-19 14:19:15,1.33,0.929,1.13
2022-04-19 14:19:30,1.33,0.929,1.13
2022-04-19 14:19:45,1.04,1.09,1.07
2022-04-19 14:20:00,1.04,1.09,1.07
2022-04-19 14:20:15,1.23,0.428,0.827
2022-04-19 14:20:30,1.23,0.428,0.827
2022-04-19 14:20:45,1.03,0.694,0.864
2022-04-19 14:21:00,1.03,0.694,0.864
2022-04-19 14:21:15,0.829,1.04,0.934
2022-04-19 14:21:30,0.829,1.04,0.934
2022-04-19 14:21:45,0.896,1.25,1.08
2022-04-19 14:22:00,0.896,1.25,1.08
2022-04-19 14:22:15,0.873,0.829,0.851
2022-04-19 14:22:30,0.873,0.829,0.851
2022-04-19 14:22:45,0.817,0.843,0.830
2022-04-19 14:23:00,0.817,0.843,0.830
2022-04-19 14:23:15,1.07,0.993,1.03
2022-04-19 14:23:30,1.07,0.993,1.03
2022-04-19 14:23:45,0.932,1.10,1.02
2022-04-19 14:24:00,0.932,1.10,1.02
2022-04-19 14:24:15,1.11,0.967,1.04
2022-04-19 14:24:30,1.11,0.967,1.04
2022-04-19 14:24:45,0.924,0.827,0.876
2022-04-19 14:25:00,0.924,0.827,0.876
