"Time","edge-server-cv-78d887c496-hwv29 60s","edge-server-cv-78d887c496-rpl2c 60s","average"
2022-04-19 13:59:45,0.0846,0.356,0.220
2022-04-19 14:00:00,0.0846,0.356,0.220
2022-04-19 14:00:15,0.620,0.447,0.533
2022-04-19 14:00:30,0.620,0.447,0.533
2022-04-19 14:00:45,0.446,0.285,0.365
2022-04-19 14:01:00,0.446,0.285,0.365
2022-04-19 14:01:15,0.105,0.563,0.334
2022-04-19 14:01:30,0.105,0.563,0.334
2022-04-19 14:01:45,0.589,0.356,0.473
2022-04-19 14:02:00,0.589,0.356,0.473
2022-04-19 14:02:15,0.644,0.356,0.500
2022-04-19 14:02:30,0.644,0.356,0.500
2022-04-19 14:02:45,0.108,0.367,0.237
2022-04-19 14:03:00,0.108,0.367,0.237
2022-04-19 14:03:15,0.584,0.431,0.507
2022-04-19 14:03:30,0.584,0.431,0.507
2022-04-19 14:03:45,0.476,0.366,0.421
2022-04-19 14:04:00,0.476,0.366,0.421
2022-04-19 14:04:15,0.811,0.443,0.627
2022-04-19 14:04:30,0.811,0.443,0.627
2022-04-19 14:04:45,0.267,0.205,0.236
2022-04-19 14:05:00,0.267,0.205,0.236
2022-04-19 14:05:15,0.250,0.672,0.461
2022-04-19 14:05:30,0.250,0.672,0.461
2022-04-19 14:05:45,0.573,0.0524,0.313
2022-04-19 14:06:00,0.573,0.0524,0.313
2022-04-19 14:06:15,0.553,0.427,0.490
2022-04-19 14:06:30,0.553,0.427,0.490
2022-04-19 14:06:45,0.204,0.597,0.400
2022-04-19 14:07:00,0.204,0.597,0.400
2022-04-19 14:07:15,0.534,0.522,0.528
2022-04-19 14:07:30,0.534,0.522,0.528
2022-04-19 14:07:45,0.656,0.454,0.555
2022-04-19 14:08:00,0.656,0.454,0.555
2022-04-19 14:08:15,0.577,0.395,0.486
2022-04-19 14:08:30,0.577,0.395,0.486
2022-04-19 14:08:45,0.679,0.363,0.521
2022-04-19 14:09:00,0.679,0.363,0.521
2022-04-19 14:09:15,0.354,0.429,0.391
2022-04-19 14:09:30,0.354,0.429,0.391
2022-04-19 14:09:45,0.423,0.545,0.484
2022-04-19 14:10:00,0.423,0.545,0.484
2022-04-19 14:10:15,0.242,0.591,0.417
2022-04-19 14:10:30,0.242,0.591,0.417
2022-04-19 14:10:45,0.651,0.441,0.546
2022-04-19 14:11:00,0.651,0.441,0.546
2022-04-19 14:11:15,0.556,1.74,1.15
2022-04-19 14:11:30,0.556,1.74,1.15
2022-04-19 14:11:45,0.814,0.279,0.546
2022-04-19 14:12:00,0.814,0.279,0.546
2022-04-19 14:12:15,0.416,0.613,0.514
2022-04-19 14:12:30,0.416,0.613,0.514
2022-04-19 14:12:45,0.388,0.591,0.490
2022-04-19 14:13:00,0.388,0.591,0.490
2022-04-19 14:13:15,0.585,0.701,0.643
2022-04-19 14:13:30,0.585,0.701,0.643
2022-04-19 14:13:45,0.432,0.512,0.472
2022-04-19 14:14:00,0.432,0.512,0.472
2022-04-19 14:14:15,0.385,0.346,0.366
2022-04-19 14:14:30,0.385,0.346,0.366
2022-04-19 14:14:45,0.473,0.515,0.494
2022-04-19 14:15:00,0.473,0.515,0.494
2022-04-19 14:15:15,0.503,0.687,0.595
2022-04-19 14:15:30,0.503,0.687,0.595
2022-04-19 14:15:45,0.492,0.630,0.561
2022-04-19 14:16:00,0.492,0.630,0.561
2022-04-19 14:16:15,0.619,0.425,0.522
2022-04-19 14:16:30,0.619,0.425,0.522
2022-04-19 14:16:45,0.347,0.662,0.505
2022-04-19 14:17:00,0.347,0.662,0.505
2022-04-19 14:17:15,0.324,0.812,0.568
2022-04-19 14:17:30,0.324,0.812,0.568
2022-04-19 14:17:45,0.483,0.423,0.453
2022-04-19 14:18:00,0.483,0.423,0.453
2022-04-19 14:18:15,0.680,0.526,0.603
2022-04-19 14:18:30,0.680,0.526,0.603
2022-04-19 14:18:45,0.213,0.392,0.302
2022-04-19 14:19:00,0.213,0.392,0.302
2022-04-19 14:19:15,0.758,0.395,0.577
2022-04-19 14:19:30,0.758,0.395,0.577
2022-04-19 14:19:45,0.881,0.692,0.786
2022-04-19 14:20:00,0.881,0.692,0.786
2022-04-19 14:20:15,1.08,0.163,0.621
2022-04-19 14:20:30,1.08,0.163,0.621
2022-04-19 14:20:45,0.572,0.294,0.433
2022-04-19 14:21:00,0.572,0.294,0.433
2022-04-19 14:21:15,0.383,0.571,0.477
2022-04-19 14:21:30,0.383,0.571,0.477
2022-04-19 14:21:45,0.357,0.684,0.521
2022-04-19 14:22:00,0.357,0.684,0.521
2022-04-19 14:22:15,0.474,0.498,0.486
2022-04-19 14:22:30,0.474,0.498,0.486
2022-04-19 14:22:45,0.235,0.464,0.350
2022-04-19 14:23:00,0.235,0.464,0.350
2022-04-19 14:23:15,0.553,0.419,0.486
2022-04-19 14:23:30,0.553,0.419,0.486
2022-04-19 14:23:45,0.357,0.749,0.553
2022-04-19 14:24:00,0.357,0.749,0.553
2022-04-19 14:24:15,0.651,0.611,0.631
2022-04-19 14:24:30,0.651,0.611,0.631
2022-04-19 14:24:45,0.484,0.341,0.412
2022-04-19 14:25:00,0.484,0.341,0.412
2022-04-19 14:25:15,0.354,0.794,0.574
2022-04-19 14:25:30,0.354,0.794,0.574
2022-04-19 14:25:45,0.476,0.435,0.456
2022-04-19 14:26:00,0.476,0.435,0.456
2022-04-19 14:26:15,0.437,0.581,0.509
2022-04-19 14:26:30,0.437,0.581,0.509
2022-04-19 14:26:45,0.849,0.747,0.798
2022-04-19 14:27:00,0.849,0.747,0.798
2022-04-19 14:27:15,1.02,0.757,0.889
2022-04-19 14:27:30,1.02,0.757,0.889
2022-04-19 14:27:45,0.481,0.408,0.444
2022-04-19 14:28:00,0.481,0.408,0.444
2022-04-19 14:28:15,0.287,0.803,0.545
2022-04-19 14:28:30,0.287,0.803,0.545
2022-04-19 14:28:45,0.594,0.982,0.788

