"Time","Average Request Rate","edge-server-cv-78d887c496-hwv29 Requests/2s","edge-server-cv-78d887c496-rpl2c Requests/2s","avg_requests/30"
2022-04-19 13:59:50,4,6,2,5.41
2022-04-19 13:59:52,2,1,3,5.45
2022-04-19 13:59:54,3,2,4,5.66
2022-04-19 13:59:56,2,2,2,5.52
2022-04-19 13:59:58,2.50,4,1,5.59
2022-04-19 14:00:00,2.48,2,2.96,5.34
2022-04-19 14:00:02,2.50,2,3,5.41
2022-04-19 14:00:04,2.50,4,1,5.59
2022-04-19 14:00:06,3,4,2,5.28
2022-04-19 14:00:08,2,1,3,5.31
2022-04-19 14:00:10,2,2,2,5.24
2022-04-19 14:00:12,2,2,2,5.21
2022-04-19 14:00:14,3.50,2,5,5.24
2022-04-19 14:00:16,4,4,4,5.34
2022-04-19 14:00:18,2,2,2,5.31
2022-04-19 14:00:20,4.50,6,3,5.31
2022-04-19 14:00:22,4.49,4,4.98,5.31
2022-04-19 14:00:24,3,2,4,5.38
2022-04-19 14:00:26,3.50,5,2,5.34
2022-04-19 14:00:28,1.50,2,1,5.38
2022-04-19 14:00:30,1.50,3,0,5.21
2022-04-19 14:00:32,2,3,1,5.24
2022-04-19 14:00:34,2,0,4,5.21
2022-04-19 14:00:36,1,1,1,5
2022-04-19 14:00:38,3.50,4,3,5.14
2022-04-19 14:00:40,1,1,1,5
2022-04-19 14:00:42,2.50,3,2,4.97
2022-04-19 14:00:44,2,3,1,4.83
2022-04-19 14:00:46,2.50,2,3,4.69
2022-04-19 14:00:48,3,3,3,4.83
2022-04-19 14:00:50,3,4,2,4.83
2022-04-19 14:00:52,0,0,0,4.55
2022-04-19 14:00:54,2,2,2,4.66
2022-04-19 14:00:56,2,0,4,4.66
2022-04-19 14:00:58,3.50,3,4,4.86
2022-04-19 14:01:00,4,4,4,4.86
2022-04-19 14:01:02,1.50,2,1,4.72
2022-04-19 14:01:04,3.50,4,3,4.83
2022-04-19 14:01:06,2.50,4,1,5
2022-04-19 14:01:08,3.50,2,5,5.24
2022-04-19 14:01:10,2,3,1,5.28
2022-04-19 14:01:12,2.50,4,1,5.28
2022-04-19 14:01:14,0,0,0,5.17
2022-04-19 14:01:16,3,4,2,5.21
2022-04-19 14:01:18,2,1,3,5.31
2022-04-19 14:01:20,2.50,3,2,5.34
2022-04-19 14:01:22,1.50,2,0.995,5.48
2022-04-19 14:01:24,2,2,2,5.52
2022-04-19 14:01:26,5,5,5,5.72
2022-04-19 14:01:28,1.50,0,3,5.66
2022-04-19 14:01:30,2.50,3,2,5.55
2022-04-19 14:01:32,3,4,2,5.52
2022-04-19 14:01:34,1.51,2.01,1,5.48
2022-04-19 14:01:36,1,1,1,5.28
2022-04-19 14:01:38,2.50,2,3,5.21
2022-04-19 14:01:40,3,2,4,5.24
2022-04-19 14:01:42,3.50,3,4,5.31
2022-04-19 14:01:44,2,1,3,5.24
2022-04-19 14:01:46,2.50,3,2,5.03
2022-04-19 14:01:48,4,3,5,5.14
2022-04-19 14:01:50,3,2,4,5.07
2022-04-19 14:01:52,3,4,2,5
2022-04-19 14:01:54,3.50,6,1,5.07
2022-04-19 14:01:56,0.500,1,0,4.83
2022-04-19 14:01:58,2.50,3,2,4.93
2022-04-19 14:02:00,3,1,5,4.93
2022-04-19 14:02:02,1.50,1,2,4.86
2022-04-19 14:02:04,3.50,3,4,5
