"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-hwv29 Memory Usage","edge-server-cv-78d887c496-rpl2c Memory Usage"
2022-04-19 13:59:45,2234556416,1117278208,1092857856,1141698560
2022-04-19 14:00:00,2234556416,1117278208,1092857856,1141698560
2022-04-19 14:00:15,2223071232,1111535616,961179648,1261891584
2022-04-19 14:00:30,2223071232,1111535616,961179648,1261891584
2022-04-19 14:00:45,2138247168,1069123584,896569344,1241677824
2022-04-19 14:01:00,2138247168,1069123584,896569344,1241677824
2022-04-19 14:01:15,2453766144,1226883072,1203367936,1250398208
2022-04-19 14:01:30,2453766144,1226883072,1203367936,1250398208
2022-04-19 14:01:45,2651308032,1325654016,1531805696,1119502336
2022-04-19 14:02:00,2651308032,1325654016,1531805696,1119502336
2022-04-19 14:02:15,1856679936,928339968,933183488,923496448
2022-04-19 14:02:30,1856679936,928339968,933183488,923496448
2022-04-19 14:02:45,2433232896,1216616448,1210576896,1222656000
2022-04-19 14:03:00,2433232896,1216616448,1210576896,1222656000
2022-04-19 14:03:15,2702462976,1351231488,1433518080,1268944896
2022-04-19 14:03:30,2702462976,1351231488,1433518080,1268944896
2022-04-19 14:03:45,1997762560,998881280,1110106112,887656448
2022-04-19 14:04:00,1997762560,998881280,1110106112,887656448
2022-04-19 14:04:15,1798361088,899180544,896811008,901550080
2022-04-19 14:04:30,1798361088,899180544,896811008,901550080
2022-04-19 14:04:45,2514567168,1257283584,1258741760,1255825408
2022-04-19 14:05:00,2514567168,1257283584,1258741760,1255825408
2022-04-19 14:05:15,2279972864,1139986432,1282002944,997969920
2022-04-19 14:05:30,2279972864,1139986432,1282002944,997969920
2022-04-19 14:05:45,2562363392,1281181696,1210855424,1351507968
2022-04-19 14:06:00,2562363392,1281181696,1210855424,1351507968
2022-04-19 14:06:15,2505465856,1252732928,1377746944,1127718912
2022-04-19 14:06:30,2505465856,1252732928,1377746944,1127718912
2022-04-19 14:06:45,2484457472,1242228736,1397346304,1087111168
2022-04-19 14:07:00,2484457472,1242228736,1397346304,1087111168
2022-04-19 14:07:15,2078412800,1039206400,1142198272,936214528
2022-04-19 14:07:30,2078412800,1039206400,1142198272,936214528
2022-04-19 14:07:45,2233245696,1116622848,711041024,1522204672
2022-04-19 14:08:00,2233245696,1116622848,711041024,1522204672
2022-04-19 14:08:15,2842939392,1421469696,1546047488,1296891904
2022-04-19 14:08:30,2842939392,1421469696,1546047488,1296891904
2022-04-19 14:08:45,2474213376,1237106688,1268748288,1205465088
2022-04-19 14:09:00,2474213376,1237106688,1268748288,1205465088
