"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 13:59:50,274 ms,269 ms,279 ms
2022-04-19 13:59:52,288 ms,298 ms,278 ms
2022-04-19 13:59:54,281 ms,303 ms,259 ms
2022-04-19 13:59:56,286 ms,308 ms,264 ms
2022-04-19 13:59:58,290 ms,316 ms,263 ms
2022-04-19 14:00:00,289 ms,278 ms,301 ms
2022-04-19 14:00:02,323 ms,326 ms,321 ms
2022-04-19 14:00:04,359 ms,391 ms,326 ms
2022-04-19 14:00:06,348 ms,380 ms,315 ms
2022-04-19 14:00:08,350 ms,377 ms,323 ms
2022-04-19 14:00:10,353 ms,385 ms,320 ms
2022-04-19 14:00:12,293 ms,292 ms,294 ms
2022-04-19 14:00:14,275 ms,253 ms,297 ms
2022-04-19 14:00:16,273 ms,275 ms,270 ms
2022-04-19 14:00:18,283 ms,295 ms,272 ms
2022-04-19 14:00:20,281 ms,289 ms,273 ms
2022-04-19 14:00:22,288 ms,294 ms,283 ms
2022-04-19 14:00:24,291 ms,297 ms,286 ms
2022-04-19 14:00:26,285 ms,273 ms,297 ms
2022-04-19 14:00:28,282 ms,282 ms,281 ms
2022-04-19 14:00:30,298 ms,314 ms,281 ms
2022-04-19 14:00:32,331 ms,393 ms,268 ms
2022-04-19 14:00:34,353 ms,405 ms,301 ms
2022-04-19 14:00:36,365 ms,406 ms,324 ms
2022-04-19 14:00:38,355 ms,385 ms,325 ms
2022-04-19 14:00:40,297 ms,259 ms,335 ms
2022-04-19 14:00:42,294 ms,259 ms,329 ms
2022-04-19 14:00:44,254 ms,251 ms,257 ms
2022-04-19 14:00:46,273 ms,250 ms,295 ms
2022-04-19 14:00:48,280 ms,262 ms,297 ms
2022-04-19 14:00:50,284 ms,262 ms,305 ms
2022-04-19 14:00:52,287 ms,259 ms,314 ms
2022-04-19 14:00:54,296 ms,272 ms,320 ms
2022-04-19 14:00:56,287 ms,280 ms,294 ms
2022-04-19 14:00:58,278 ms,270 ms,286 ms
2022-04-19 14:01:00,296 ms,267 ms,325 ms
2022-04-19 14:01:02,289 ms,258 ms,320 ms
2022-04-19 14:01:04,286 ms,272 ms,300 ms
