"Time","edge-server-cv-78d887c496-hwv29","edge-server-cv-78d887c496-rpl2c","Average"
2022-04-19 13:59:45,26.1,27.2,26.6
2022-04-19 14:00:00,26.1,27.2,26.6
2022-04-19 14:00:15,22.9,30.1,26.5
2022-04-19 14:00:30,22.9,30.1,26.5
2022-04-19 14:00:45,21.4,29.6,25.5
2022-04-19 14:01:00,21.4,29.6,25.5
2022-04-19 14:01:15,28.7,29.8,29.3
2022-04-19 14:01:30,28.7,29.8,29.3
2022-04-19 14:01:45,36.5,26.7,31.6
2022-04-19 14:02:00,36.5,26.7,31.6
2022-04-19 14:02:15,22.2,22.0,22.1
2022-04-19 14:02:30,22.2,22.0,22.1
2022-04-19 14:02:45,28.9,29.2,29.0
2022-04-19 14:03:00,28.9,29.2,29.0
2022-04-19 14:03:15,34.2,30.3,32.2
2022-04-19 14:03:30,34.2,30.3,32.2
2022-04-19 14:03:45,26.5,21.2,23.8
2022-04-19 14:04:00,26.5,21.2,23.8
2022-04-19 14:04:15,21.4,21.5,21.4
2022-04-19 14:04:30,21.4,21.5,21.4
2022-04-19 14:04:45,30.0,29.9,30.0
2022-04-19 14:05:00,30.0,29.9,30.0
2022-04-19 14:05:15,30.6,23.8,27.2
2022-04-19 14:05:30,30.6,23.8,27.2
2022-04-19 14:05:45,28.9,32.2,30.5
2022-04-19 14:06:00,28.9,32.2,30.5
2022-04-19 14:06:15,32.8,26.9,29.9
2022-04-19 14:06:30,32.8,26.9,29.9
2022-04-19 14:06:45,33.3,25.9,29.6
2022-04-19 14:07:00,33.3,25.9,29.6
2022-04-19 14:07:15,27.2,22.3,24.8
2022-04-19 14:07:30,27.2,22.3,24.8
2022-04-19 14:07:45,17.0,36.3,26.6
2022-04-19 14:08:00,17.0,36.3,26.6
2022-04-19 14:08:15,36.9,30.9,33.9
2022-04-19 14:08:30,36.9,30.9,33.9
2022-04-19 14:08:45,30.2,28.7,29.5
2022-04-19 14:09:00,30.2,28.7,29.5
2022-04-19 14:09:15,21.0,33.1,27.1
2022-04-19 14:09:30,21.0,33.1,27.1
2022-04-19 14:09:45,30.5,27.2,28.9
2022-04-19 14:10:00,30.5,27.2,28.9
2022-04-19 14:10:15,30.9,33.5,32.2
2022-04-19 14:10:30,30.9,33.5,32.2
2022-04-19 14:10:45,33.5,22.9,28.2
2022-04-19 14:11:00,33.5,22.9,28.2
2022-04-19 14:11:15,25.8,28.6,27.2
2022-04-19 14:11:30,25.8,28.6,27.2
2022-04-19 14:11:45,24.8,24.7,24.8
2022-04-19 14:12:00,24.8,24.7,24.8
2022-04-19 14:12:15,25.5,20.9,23.2
2022-04-19 14:12:30,25.5,20.9,23.2
2022-04-19 14:12:45,28.2,27.8,28.0
2022-04-19 14:13:00,28.2,27.8,28.0
2022-04-19 14:13:15,35.4,20.9,28.1
2022-04-19 14:13:30,35.4,20.9,28.1
2022-04-19 14:13:45,27.4,33.1,30.2
2022-04-19 14:14:00,27.4,33.1,30.2
2022-04-19 14:14:15,30.8,23.1,26.9
2022-04-19 14:14:30,30.8,23.1,26.9
2022-04-19 14:14:45,28.5,26.3,27.4
2022-04-19 14:15:00,28.5,26.3,27.4
2022-04-19 14:15:15,23.9,20.3,22.1
2022-04-19 14:15:30,23.9,20.3,22.1
2022-04-19 14:15:45,32.1,26.2,29.2
2022-04-19 14:16:00,32.1,26.2,29.2
2022-04-19 14:16:15,20.9,31.1,26.0
2022-04-19 14:16:30,20.9,31.1,26.0
2022-04-19 14:16:45,23.3,29.1,26.2
2022-04-19 14:17:00,23.3,29.1,26.2
2022-04-19 14:17:15,22.5,27.0,24.8
2022-04-19 14:17:30,22.5,27.0,24.8
2022-04-19 14:17:45,36.7,20.3,28.5
2022-04-19 14:18:00,36.7,20.3,28.5
2022-04-19 14:18:15,23.1,29.6,26.3
2022-04-19 14:18:30,23.1,29.6,26.3
2022-04-19 14:18:45,33.0,25.5,29.3
2022-04-19 14:19:00,33.0,25.5,29.3
2022-04-19 14:19:15,24.9,29.1,27.0
2022-04-19 14:19:30,24.9,29.1,27.0
2022-04-19 14:19:45,18.5,22.0,20.3
2022-04-19 14:20:00,18.5,22.0,20.3
2022-04-19 14:20:15,28.5,29.9,29.2
2022-04-19 14:20:30,28.5,29.9,29.2
2022-04-19 14:20:45,25.5,28.0,26.8
2022-04-19 14:21:00,25.5,28.0,26.8
2022-04-19 14:21:15,26.4,30.1,28.2
2022-04-19 14:21:30,26.4,30.1,28.2
2022-04-19 14:21:45,31.9,37.0,34.5
2022-04-19 14:22:00,31.9,37.0,34.5
2022-04-19 14:22:15,23.0,28.8,25.9
2022-04-19 14:22:30,23.0,28.8,25.9
2022-04-19 14:22:45,38.9,28.8,33.9
2022-04-19 14:23:00,38.9,28.8,33.9
2022-04-19 14:23:15,33.4,23.3,28.3
2022-04-19 14:23:30,33.4,23.3,28.3
2022-04-19 14:23:45,33.6,24.2,28.9
2022-04-19 14:24:00,33.6,24.2,28.9
2022-04-19 14:24:15,29.6,17.6,23.6
2022-04-19 14:24:30,29.6,17.6,23.6
2022-04-19 14:24:45,23.1,38.1,30.6
2022-04-19 14:25:00,23.1,38.1,30.6
2022-04-19 14:25:15,32.1,26.7,29.4
2022-04-19 14:25:30,32.1,26.7,29.4
2022-04-19 14:25:45,32.8,28.4,30.6
2022-04-19 14:26:00,32.8,28.4,30.6
2022-04-19 14:26:15,37.7,33.0,35.4
2022-04-19 14:26:30,37.7,33.0,35.4
2022-04-19 14:26:45,40.5,28.8,34.7
2022-04-19 14:27:00,40.5,28.8,34.7
2022-04-19 14:27:15,32.1,28.6,30.3
2022-04-19 14:27:30,32.1,28.6,30.3
2022-04-19 14:27:45,25.3,26.2,25.8
2022-04-19 14:28:00,25.3,26.2,25.8
2022-04-19 14:28:15,34.3,20.7,27.5
2022-04-19 14:28:30,34.3,20.7,27.5
2022-04-19 14:28:45,30.5,29.2,29.8

