"Time","edge-server-cv-78d887c496-c9b5z","edge-server-cv-78d887c496-pgbtd","average"
2022-04-19 14:34:30,1.44,1.58,1.51
2022-04-19 14:34:45,1.29,0.789,1.04
2022-04-19 14:35:00,1.29,0.789,1.04
2022-04-19 14:35:15,1.25,1.60,1.43
2022-04-19 14:35:30,1.25,1.60,1.43
2022-04-19 14:35:45,1.36,1.29,1.33
2022-04-19 14:36:00,1.36,1.29,1.33
2022-04-19 14:36:15,1.57,0.928,1.25
2022-04-19 14:36:30,1.57,0.928,1.25
2022-04-19 14:36:45,0.580,1.83,1.20
2022-04-19 14:37:00,0.580,1.83,1.20
2022-04-19 14:37:15,1.91,0.821,1.37
2022-04-19 14:37:30,1.91,0.821,1.37
2022-04-19 14:37:45,1.08,2.04,1.56
2022-04-19 14:38:00,1.08,2.04,1.56
2022-04-19 14:38:15,0.867,1.27,1.07
2022-04-19 14:38:30,0.867,1.27,1.07
2022-04-19 14:38:45,1.75,1.41,1.58
2022-04-19 14:39:00,1.75,1.41,1.58
2022-04-19 14:39:15,1.32,0.937,1.13
2022-04-19 14:39:30,1.32,0.937,1.13
2022-04-19 14:39:45,1.53,1.65,1.59
2022-04-19 14:40:00,1.53,1.65,1.59
2022-04-19 14:40:15,0.952,1.13,1.04
2022-04-19 14:40:30,0.952,1.13,1.04
2022-04-19 14:40:45,1.27,1.21,1.24
2022-04-19 14:41:00,1.27,1.21,1.24
2022-04-19 14:41:15,0.602,1.09,0.845
2022-04-19 14:41:30,0.602,1.09,0.845
2022-04-19 14:41:45,1.27,1.30,1.28
2022-04-19 14:42:00,1.27,1.30,1.28
2022-04-19 14:42:15,1.25,1.29,1.27
2022-04-19 14:42:30,1.25,1.29,1.27
2022-04-19 14:42:45,1.72,1.44,1.58
2022-04-19 14:43:00,1.72,1.44,1.58
2022-04-19 14:43:15,1.62,1.53,1.58
2022-04-19 14:43:30,1.62,1.53,1.58
2022-04-19 14:43:45,1.34,1.20,1.27
2022-04-19 14:44:00,1.34,1.20,1.27
2022-04-19 14:44:15,1.34,1.64,1.49
2022-04-19 14:44:30,1.34,1.64,1.49
2022-04-19 14:44:45,1.20,1.78,1.49
2022-04-19 14:45:00,1.20,1.78,1.49
2022-04-19 14:45:15,1.29,1.14,1.21
2022-04-19 14:45:30,1.29,1.14,1.21
2022-04-19 14:45:45,1.46,1.65,1.55
2022-04-19 14:46:00,1.46,1.65,1.55
2022-04-19 14:46:15,1.27,1.09,1.18
2022-04-19 14:46:30,1.27,1.09,1.18
2022-04-19 14:46:45,1.38,0.729,1.05
2022-04-19 14:47:00,1.38,0.729,1.05
2022-04-19 14:47:15,1.17,2.11,1.64
2022-04-19 14:47:30,1.17,2.11,1.64
2022-04-19 14:47:45,1.99,0.615,1.30
2022-04-19 14:48:00,1.99,0.615,1.30
2022-04-19 14:48:15,1.42,1.53,1.48
2022-04-19 14:48:30,1.42,1.53,1.48
2022-04-19 14:48:45,0.997,1.56,1.28
2022-04-19 14:49:00,0.997,1.56,1.28
2022-04-19 14:49:15,1.71,1.76,1.74
2022-04-19 14:49:30,1.71,1.76,1.74
2022-04-19 14:49:45,1.45,1.24,1.35
2022-04-19 14:50:00,1.45,1.24,1.35
2022-04-19 14:50:15,1.45,0.968,1.21
2022-04-19 14:50:30,1.45,0.968,1.21
2022-04-19 14:50:45,0.851,1.43,1.14
2022-04-19 14:51:00,0.851,1.43,1.14
2022-04-19 14:51:15,1.47,1.23,1.35
2022-04-19 14:51:30,1.47,1.23,1.35
2022-04-19 14:51:45,1.44,1.11,1.28
2022-04-19 14:52:00,1.44,1.11,1.28
2022-04-19 14:52:15,1.61,1.58,1.60
2022-04-19 14:52:30,1.61,1.58,1.60
2022-04-19 14:52:45,0.925,1.21,1.07
2022-04-19 14:53:00,0.925,1.21,1.07
2022-04-19 14:53:15,1.83,1.30,1.56
2022-04-19 14:53:30,1.83,1.30,1.56
