"Time","edge-server-cv-78d887c496-c9b5z 60s","edge-server-cv-78d887c496-pgbtd 60s","average"
2022-04-19 14:34:30,1.34,1.41,1.37
2022-04-19 14:34:45,1.17,0.757,0.966
2022-04-19 14:35:00,1.17,0.757,0.966
2022-04-19 14:35:15,1.09,1.26,1.18
2022-04-19 14:35:30,1.09,1.26,1.18
2022-04-19 14:35:45,1.32,1.13,1.22
2022-04-19 14:36:00,1.32,1.13,1.22
2022-04-19 14:36:15,2.37,0.599,1.48
2022-04-19 14:36:30,2.37,0.599,1.48
2022-04-19 14:36:45,0.333,1.25,0.794
2022-04-19 14:37:00,0.333,1.25,0.794
2022-04-19 14:37:15,1.49,0.812,1.15
2022-04-19 14:37:30,1.49,0.812,1.15
2022-04-19 14:37:45,0.595,3.24,1.92
2022-04-19 14:38:00,0.595,3.24,1.92
2022-04-19 14:38:15,0.708,0.876,0.792
2022-04-19 14:38:30,0.708,0.876,0.792
2022-04-19 14:38:45,1.46,1.40,1.43
2022-04-19 14:39:00,1.46,1.40,1.43
2022-04-19 14:39:15,0.954,1.15,1.05
2022-04-19 14:39:30,0.954,1.15,1.05
2022-04-19 14:39:45,1.43,1.40,1.42
2022-04-19 14:40:00,1.43,1.40,1.42
2022-04-19 14:40:15,0.509,0.896,0.702
2022-04-19 14:40:30,0.509,0.896,0.702
2022-04-19 14:40:45,0.902,1.01,0.955
2022-04-19 14:41:00,0.902,1.01,0.955
2022-04-19 14:41:15,0.278,0.651,0.464
2022-04-19 14:41:30,0.278,0.651,0.464
2022-04-19 14:41:45,0.707,0.986,0.847
2022-04-19 14:42:00,0.707,0.986,0.847
2022-04-19 14:42:15,0.896,0.667,0.782
2022-04-19 14:42:30,0.896,0.667,0.782
2022-04-19 14:42:45,1.50,1.23,1.37
2022-04-19 14:43:00,1.50,1.23,1.37
2022-04-19 14:43:15,1.51,2.02,1.76
2022-04-19 14:43:30,1.51,2.02,1.76
2022-04-19 14:43:45,1.55,1.32,1.44
2022-04-19 14:44:00,1.55,1.32,1.44
2022-04-19 14:44:15,1.04,1.38,1.21
2022-04-19 14:44:30,1.04,1.38,1.21
2022-04-19 14:44:45,0.698,3.82,2.26
2022-04-19 14:45:00,0.698,3.82,2.26
2022-04-19 14:45:15,1.86,0.479,1.17
2022-04-19 14:45:30,1.86,0.479,1.17
2022-04-19 14:45:45,1.80,1.61,1.71
