"Time","Average Request Rate","edge-server-cv-78d887c496-c9b5z Requests/2s","edge-server-cv-78d887c496-pgbtd Requests/2s","avg_requests/30"
2022-04-19 14:34:35,3,3,3,7.45
2022-04-19 14:34:36,1.50,3,0,7.35
2022-04-19 14:34:37,3.50,3,4,7.31
2022-04-19 14:34:38,4.50,6,3,7.45
2022-04-19 14:34:39,2.50,2,3,7.41
2022-04-19 14:34:40,4,1,7,7.38
2022-04-19 14:34:41,4,3,5,7.38
2022-04-19 14:34:42,1.50,1,2,7.28
2022-04-19 14:34:43,4,3,5,7.38
2022-04-19 14:34:44,2,2,2,7.24
2022-04-19 14:34:45,4,3,5,7.31
2022-04-19 14:34:46,3.50,4,3,7.41
2022-04-19 14:34:47,4.50,4,5,7.48
2022-04-19 14:34:48,3.50,4,3,7.41
2022-04-19 14:34:49,3.49,2,4.99,7.28
2022-04-19 14:34:50,5.51,6,5.02,7.48
2022-04-19 14:34:51,3.50,3,4,7.48
2022-04-19 14:34:52,4.50,6,3,7.41
2022-04-19 14:34:53,2,2,2,7.31
2022-04-19 14:34:54,4.50,4,5,7.31
2022-04-19 14:34:55,3.50,2,5,7.24
2022-04-19 14:34:56,3.50,3,4,7.24
2022-04-19 14:34:57,4,2,6,7.17
2022-04-19 14:34:58,4.50,6,3,7.21
2022-04-19 14:34:59,5,6,4,7.38
2022-04-19 14:35:00,2.50,3,2,7.34
2022-04-19 14:35:01,2,3,1,7.07
2022-04-19 14:35:02,4,4,4,7.17
2022-04-19 14:35:03,3,6,0,7
2022-04-19 14:35:04,5.50,7,4,7.17
2022-04-19 14:35:05,4,6,2,7.34
2022-04-19 14:35:06,4,6,2,7.38
2022-04-19 14:35:07,3.50,4,3,7.31
2022-04-19 14:35:08,3.50,5,2,7.38
2022-04-19 14:35:09,3,2,4,7.31
2022-04-19 14:35:10,4,2,6,7.31
2022-04-19 14:35:11,3,1,5,7.41
2022-04-19 14:35:12,6,6,6,7.55
2022-04-19 14:35:13,4,5,3,7.69
2022-04-19 14:35:14,3.99,3,4.98,7.69
2022-04-19 14:35:15,2.51,2,3.02,7.62
2022-04-19 14:35:16,1.50,2,1,7.41
2022-04-19 14:35:17,3.50,6,1,7.41
2022-04-19 14:35:18,2,2,2,7.31
2022-04-19 14:35:19,3.50,3,4,7.17
2022-04-19 14:35:20,2.50,4,1,7.10
2022-04-19 14:35:21,2.50,1,4,6.97
2022-04-19 14:35:22,5,6,4,7.17
2022-04-19 14:35:23,4,1,7,7.14
2022-04-19 14:35:24,6,5,7,7.31
2022-04-19 14:35:25,2.50,3,2,7.24
2022-04-19 14:35:26,4.50,3,6,7.28
2022-04-19 14:35:27,4.50,6,3,7.28
2022-04-19 14:35:28,2,2,2,7.07
2022-04-19 14:35:29,3,5,1,7.10
2022-04-19 14:35:30,3,4,2,7.17
2022-04-19 14:35:31,4,4,4,7.17
2022-04-19 14:35:32,4,5,3,7.24
2022-04-19 14:35:33,6.50,9,4,7.31
2022-04-19 14:35:34,5,4,6,7.38
2022-04-19 14:35:35,3.50,4,3,7.34
2022-04-19 14:35:36,3.50,3,4,7.34
2022-04-19 14:35:37,5,6,4,7.45
2022-04-19 14:35:38,5,3,7,7.59
2022-04-19 14:35:39,3,5,1,7.52
2022-04-19 14:35:40,4,5,3,7.59
2022-04-19 14:35:41,4,2,6,7.45
2022-04-19 14:35:42,3.50,3,4,7.41
2022-04-19 14:35:43,4.99,5,4.98,7.48
2022-04-19 14:35:44,3.51,2,5.02,7.55
2022-04-19 14:35:45,4,6,2,7.72
2022-04-19 14:35:46,6.50,7,6,7.93
2022-04-19 14:35:47,5,6,4,8.14
2022-04-19 14:35:48,4,5,3,8.17
2022-04-19 14:35:49,3.50,2,5,8.24
2022-04-19 14:35:50,3,1,5,8.28
2022-04-19 14:35:51,4,2,6,8.21
2022-04-19 14:35:52,4.50,6,3,8.24
2022-04-19 14:35:53,2,3,1,7.97
2022-04-19 14:35:54,7,5,9,8.28
2022-04-19 14:35:55,3.50,3,4,8.21
2022-04-19 14:35:56,4,3,5,8.17
2022-04-19 14:35:57,5.50,5,6,8.41
2022-04-19 14:35:58,2.50,2,3,8.38
