"Time","Total"
2022-04-19 14:34:30,2
2022-04-19 14:34:45,2
2022-04-19 14:35:00,2
2022-04-19 14:35:15,2
2022-04-19 14:35:30,2
2022-04-19 14:35:45,2
2022-04-19 14:36:00,2
2022-04-19 14:36:15,2
2022-04-19 14:36:30,2
2022-04-19 14:36:45,2
2022-04-19 14:37:00,2
2022-04-19 14:37:15,2
2022-04-19 14:37:30,2
2022-04-19 14:37:45,2
2022-04-19 14:38:00,2
2022-04-19 14:38:15,2
2022-04-19 14:38:30,2
2022-04-19 14:38:45,2
2022-04-19 14:39:00,2
2022-04-19 14:39:15,2
2022-04-19 14:39:30,2
2022-04-19 14:39:45,2
2022-04-19 14:40:00,2
2022-04-19 14:40:15,2
2022-04-19 14:40:30,2
2022-04-19 14:40:45,2
2022-04-19 14:41:00,2
2022-04-19 14:41:15,2
2022-04-19 14:41:30,2
2022-04-19 14:41:45,2
2022-04-19 14:42:00,2
2022-04-19 14:42:15,2
2022-04-19 14:42:30,2
2022-04-19 14:42:45,2
2022-04-19 14:43:00,2
2022-04-19 14:43:15,2
2022-04-19 14:43:30,2
2022-04-19 14:43:45,2
2022-04-19 14:44:00,2
2022-04-19 14:44:15,2
2022-04-19 14:44:30,2
2022-04-19 14:44:45,2
2022-04-19 14:45:00,2
2022-04-19 14:45:15,2
2022-04-19 14:45:30,2
2022-04-19 14:45:45,2
2022-04-19 14:46:00,2
2022-04-19 14:46:15,2
2022-04-19 14:46:30,2
2022-04-19 14:46:45,2
2022-04-19 14:47:00,2
2022-04-19 14:47:15,2
2022-04-19 14:47:30,2
2022-04-19 14:47:45,2
2022-04-19 14:48:00,2
2022-04-19 14:48:15,2
2022-04-19 14:48:30,2
2022-04-19 14:48:45,2
2022-04-19 14:49:00,2
2022-04-19 14:49:15,2
2022-04-19 14:49:30,2
2022-04-19 14:49:45,2
2022-04-19 14:50:00,2
2022-04-19 14:50:15,2
2022-04-19 14:50:30,2
2022-04-19 14:50:45,2
2022-04-19 14:51:00,2
2022-04-19 14:51:15,2
2022-04-19 14:51:30,2
2022-04-19 14:51:45,2
2022-04-19 14:52:00,2
2022-04-19 14:52:15,2
2022-04-19 14:52:30,2
2022-04-19 14:52:45,2
2022-04-19 14:53:00,2
2022-04-19 14:53:15,2
2022-04-19 14:53:30,2
2022-04-19 14:53:45,2
2022-04-19 14:54:00,2
2022-04-19 14:54:15,2
2022-04-19 14:54:30,2
2022-04-19 14:54:45,2
2022-04-19 14:55:00,2
2022-04-19 14:55:15,2
2022-04-19 14:55:30,2
2022-04-19 14:55:45,2
2022-04-19 14:56:00,2
2022-04-19 14:56:15,2
2022-04-19 14:56:30,2
2022-04-19 14:56:45,2
2022-04-19 14:57:00,2
2022-04-19 14:57:15,2
2022-04-19 14:57:30,2
2022-04-19 14:57:45,2
2022-04-19 14:58:00,2
2022-04-19 14:58:15,2
2022-04-19 14:58:30,2
2022-04-19 14:58:45,2
2022-04-19 14:59:00,2
2022-04-19 14:59:15,2
2022-04-19 14:59:30,2
2022-04-19 14:59:45,2
2022-04-19 15:00:00,2
2022-04-19 15:00:15,2
2022-04-19 15:00:30,2
2022-04-19 15:00:45,2
2022-04-19 15:01:00,2
2022-04-19 15:01:15,2
2022-04-19 15:01:30,2
2022-04-19 15:01:45,2
2022-04-19 15:02:00,2
2022-04-19 15:02:15,2
2022-04-19 15:02:30,2
2022-04-19 15:02:45,2
2022-04-19 15:03:00,2
2022-04-19 15:03:15,2
2022-04-19 15:03:30,2

