"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:34:34,418 ms,460 ms,375 ms
2022-04-19 14:34:36,427 ms,485 ms,369 ms
2022-04-19 14:34:38,380 ms,499 ms,261 ms
2022-04-19 14:34:40,404 ms,486 ms,321 ms
2022-04-19 14:34:42,356 ms,351 ms,361 ms
2022-04-19 14:34:44,355 ms,339 ms,370 ms
2022-04-19 14:34:46,379 ms,320 ms,437 ms
2022-04-19 14:34:48,471 ms,282 ms,659 ms
2022-04-19 14:34:50,527 ms,326 ms,728 ms
2022-04-19 14:34:52,530 ms,334 ms,726 ms
2022-04-19 14:34:54,513 ms,334 ms,692 ms
2022-04-19 14:34:56,432 ms,341 ms,523 ms
2022-04-19 14:34:58,317 ms,326 ms,307 ms
2022-04-19 14:35:00,330 ms,350 ms,310 ms
2022-04-19 14:35:02,350 ms,393 ms,308 ms
2022-04-19 14:35:04,402 ms,502 ms,303 ms
2022-04-19 14:35:06,419 ms,545 ms,293 ms
2022-04-19 14:35:08,436 ms,601 ms,272 ms
2022-04-19 14:35:10,478 ms,583 ms,372 ms
2022-04-19 14:35:12,463 ms,517 ms,409 ms
2022-04-19 14:35:14,385 ms,369 ms,402 ms
2022-04-19 14:35:16,356 ms,310 ms,402 ms
2022-04-19 14:35:18,367 ms,321 ms,414 ms
2022-04-19 14:35:20,317 ms,313 ms,320 ms
2022-04-19 14:35:22,411 ms,376 ms,446 ms
2022-04-19 14:35:24,504 ms,385 ms,623 ms
2022-04-19 14:35:26,466 ms,345 ms,587 ms
2022-04-19 14:35:28,468 ms,357 ms,580 ms
2022-04-19 14:35:30,490 ms,410 ms,571 ms
2022-04-19 14:35:32,447 ms,573 ms,322 ms
2022-04-19 14:35:34,588 ms,817 ms,360 ms
2022-04-19 14:35:36,610 ms,861 ms,358 ms
2022-04-19 14:35:38,636 ms,877 ms,395 ms
2022-04-19 14:35:40,589 ms,771 ms,407 ms
2022-04-19 14:35:42,445 ms,483 ms,407 ms
2022-04-19 14:35:44,395 ms,436 ms,355 ms
2022-04-19 14:35:46,412 ms,499 ms,325 ms
2022-04-19 14:35:48,397 ms,484 ms,310 ms
2022-04-19 14:35:50,396 ms,480 ms,311 ms
2022-04-19 14:35:52,465 ms,580 ms,351 ms
2022-04-19 14:35:54,476 ms,491 ms,462 ms
2022-04-19 14:35:56,469 ms,482 ms,456 ms
2022-04-19 14:35:58,487 ms,484 ms,489 ms
2022-04-19 14:36:00,489 ms,465 ms,513 ms
2022-04-19 14:36:02,500 ms,539 ms,461 ms
2022-04-19 14:36:04,539 ms,709 ms,368 ms
2022-04-19 14:36:06,598 ms,821 ms,376 ms
2022-04-19 14:36:08,694 ms,1.01 s,380 ms
2022-04-19 14:36:10,753 ms,1.13 s,379 ms
2022-04-19 14:36:12,735 ms,1.07 s,396 ms
2022-04-19 14:36:14,755 ms,1.10 s,407 ms
2022-04-19 14:36:16,611 ms,867 ms,356 ms
2022-04-19 14:36:18,513 ms,668 ms,357 ms
2022-04-19 14:36:20,391 ms,377 ms,404 ms
2022-04-19 14:36:22,379 ms,367 ms,390 ms
2022-04-19 14:36:24,355 ms,318 ms,392 ms
2022-04-19 14:36:26,380 ms,358 ms,403 ms
2022-04-19 14:36:28,404 ms,402 ms,407 ms
2022-04-19 14:36:30,394 ms,461 ms,326 ms
2022-04-19 14:36:32,413 ms,495 ms,331 ms
2022-04-19 14:36:34,413 ms,530 ms,297 ms
2022-04-19 14:36:36,444 ms,471 ms,417 ms
2022-04-19 14:36:38,403 ms,362 ms,444 ms
2022-04-19 14:36:40,437 ms,390 ms,483 ms
2022-04-19 14:36:42,446 ms,380 ms,511 ms
2022-04-19 14:36:44,474 ms,449 ms,499 ms
2022-04-19 14:36:46,422 ms,452 ms,392 ms
2022-04-19 14:36:48,423 ms,464 ms,382 ms
2022-04-19 14:36:50,414 ms,530 ms,299 ms
2022-04-19 14:36:52,398 ms,480 ms,315 ms
2022-04-19 14:36:54,379 ms,434 ms,324 ms
2022-04-19 14:36:56,435 ms,475 ms,396 ms
2022-04-19 14:36:58,442 ms,436 ms,448 ms
2022-04-19 14:37:00,530 ms,391 ms,669 ms
2022-04-19 14:37:02,627 ms,442 ms,813 ms
2022-04-19 14:37:04,628 ms,463 ms,794 ms
2022-04-19 14:37:06,708 ms,435 ms,981 ms
2022-04-19 14:37:08,671 ms,429 ms,913 ms
2022-04-19 14:37:10,538 ms,350 ms,726 ms
2022-04-19 14:37:12,485 ms,280 ms,690 ms
2022-04-19 14:37:14,389 ms,260 ms,518 ms
2022-04-19 14:37:16,297 ms,264 ms,331 ms
2022-04-19 14:37:18,301 ms,264 ms,337 ms
2022-04-19 14:37:20,348 ms,339 ms,356 ms
2022-04-19 14:37:22,414 ms,392 ms,436 ms
2022-04-19 14:37:24,456 ms,386 ms,527 ms
2022-04-19 14:37:26,458 ms,382 ms,534 ms
2022-04-19 14:37:28,443 ms,339 ms,547 ms
2022-04-19 14:37:30,439 ms,278 ms,600 ms
2022-04-19 14:37:32,398 ms,303 ms,493 ms
2022-04-19 14:37:34,769 ms,304 ms,1.23 s
2022-04-19 14:37:36,865 ms,314 ms,1.42 s
2022-04-19 14:37:38,672 ms,333 ms,1.01 s
2022-04-19 14:37:40,634 ms,331 ms,937 ms
2022-04-19 14:37:42,650 ms,318 ms,981 ms
2022-04-19 14:37:44,583 ms,319 ms,847 ms
2022-04-19 14:37:46,509 ms,319 ms,699 ms
2022-04-19 14:37:48,500 ms,395 ms,604 ms
2022-04-19 14:37:50,513 ms,534 ms,491 ms
2022-04-19 14:37:52,415 ms,507 ms,324 ms
2022-04-19 14:37:54,427 ms,561 ms,292 ms
2022-04-19 14:37:56,438 ms,578 ms,299 ms
2022-04-19 14:37:58,345 ms,430 ms,261 ms
2022-04-19 14:38:00,327 ms,396 ms,257 ms
2022-04-19 14:38:02,304 ms,334 ms,274 ms
2022-04-19 14:38:04,299 ms,310 ms,288 ms
2022-04-19 14:38:06,296 ms,304 ms,288 ms
2022-04-19 14:38:08,277 ms,272 ms,282 ms
2022-04-19 14:38:10,314 ms,311 ms,316 ms
2022-04-19 14:38:12,310 ms,322 ms,297 ms
2022-04-19 14:38:14,422 ms,356 ms,488 ms
2022-04-19 14:38:16,541 ms,403 ms,678 ms
2022-04-19 14:38:18,547 ms,393 ms,702 ms
2022-04-19 14:38:20,545 ms,390 ms,700 ms
2022-04-19 14:38:22,545 ms,391 ms,698 ms
2022-04-19 14:38:24,501 ms,491 ms,512 ms
2022-04-19 14:38:26,500 ms,460 ms,540 ms
2022-04-19 14:38:28,469 ms,439 ms,499 ms
2022-04-19 14:38:30,474 ms,434 ms,515 ms
2022-04-19 14:38:32,405 ms,413 ms,397 ms
2022-04-19 14:38:34,366 ms,332 ms,400 ms
2022-04-19 14:38:36,471 ms,585 ms,357 ms
2022-04-19 14:38:38,498 ms,669 ms,327 ms
2022-04-19 14:38:40,518 ms,697 ms,339 ms
2022-04-19 14:38:42,539 ms,744 ms,335 ms
2022-04-19 14:38:44,422 ms,506 ms,338 ms
2022-04-19 14:38:46,321 ms,336 ms,305 ms
2022-04-19 14:38:48,302 ms,326 ms,277 ms
2022-04-19 14:38:50,431 ms,340 ms,523 ms
2022-04-19 14:38:52,611 ms,338 ms,884 ms
2022-04-19 14:38:54,636 ms,322 ms,951 ms
2022-04-19 14:38:56,619 ms,327 ms,911 ms
2022-04-19 14:38:58,637 ms,475 ms,799 ms
2022-04-19 14:39:00,551 ms,511 ms,591 ms
