"Time","edge-server-cv-78d887c496-c9b5z","edge-server-cv-78d887c496-pgbtd","Average"
2022-04-19 14:34:30,32.4,28.7,30.5
2022-04-19 14:34:45,25.3,28.3,26.8
2022-04-19 14:35:00,25.3,28.3,26.8
2022-04-19 14:35:15,21.9,30.1,26.0
2022-04-19 14:35:30,21.9,30.1,26.0
2022-04-19 14:35:45,32.2,30.7,31.4
2022-04-19 14:36:00,32.2,30.7,31.4
2022-04-19 14:36:15,32.1,15.1,23.6
2022-04-19 14:36:30,32.1,15.1,23.6
2022-04-19 14:36:45,39.4,34.0,36.7
2022-04-19 14:37:00,39.4,34.0,36.7
2022-04-19 14:37:15,32.8,26.3,29.6
2022-04-19 14:37:30,32.8,26.3,29.6
2022-04-19 14:37:45,27.3,23.6,25.4
2022-04-19 14:38:00,27.3,23.6,25.4
2022-04-19 14:38:15,26.8,25.4,26.1
2022-04-19 14:38:30,26.8,25.4,26.1
2022-04-19 14:38:45,32.2,33.8,33.0
2022-04-19 14:39:00,32.2,33.8,33.0
2022-04-19 14:39:15,35.1,29.6,32.3
2022-04-19 14:39:30,35.1,29.6,32.3
2022-04-19 14:39:45,23.2,29.8,26.5
2022-04-19 14:40:00,23.2,29.8,26.5
2022-04-19 14:40:15,34.6,36.6,35.6
2022-04-19 14:40:30,34.6,36.6,35.6
2022-04-19 14:40:45,27.0,17.8,22.4
2022-04-19 14:41:00,27.0,17.8,22.4
2022-04-19 14:41:15,29.8,31.8,30.8
2022-04-19 14:41:30,29.8,31.8,30.8
2022-04-19 14:41:45,31.5,29.5,30.5
2022-04-19 14:42:00,31.5,29.5,30.5
2022-04-19 14:42:15,32.1,27.6,29.9
2022-04-19 14:42:30,32.1,27.6,29.9
2022-04-19 14:42:45,27.1,35.3,31.2
2022-04-19 14:43:00,27.1,35.3,31.2
2022-04-19 14:43:15,22.5,28.5,25.5
2022-04-19 14:43:30,22.5,28.5,25.5
2022-04-19 14:43:45,35.1,21.0,28.0
2022-04-19 14:44:00,35.1,21.0,28.0
2022-04-19 14:44:15,23.5,35.0,29.3
2022-04-19 14:44:30,23.5,35.0,29.3
2022-04-19 14:44:45,29.9,25.7,27.8
2022-04-19 14:45:00,29.9,25.7,27.8
2022-04-19 14:45:15,23.9,36.6,30.2
2022-04-19 14:45:30,23.9,36.6,30.2
2022-04-19 14:45:45,29.2,33.0,31.1
2022-04-19 14:46:00,29.2,33.0,31.1
2022-04-19 14:46:15,28.6,32.0,30.3
2022-04-19 14:46:30,28.6,32.0,30.3
2022-04-19 14:46:45,29.5,25.1,27.3
2022-04-19 14:47:00,29.5,25.1,27.3
2022-04-19 14:47:15,26.7,25.8,26.2
2022-04-19 14:47:30,26.7,25.8,26.2
2022-04-19 14:47:45,32.3,32.9,32.6
2022-04-19 14:48:00,32.3,32.9,32.6
2022-04-19 14:48:15,26.6,17.6,22.1
2022-04-19 14:48:30,26.6,17.6,22.1
2022-04-19 14:48:45,34.8,32.6,33.7
2022-04-19 14:49:00,34.8,32.6,33.7
2022-04-19 14:49:15,30.1,31.1,30.6
2022-04-19 14:49:30,30.1,31.1,30.6
2022-04-19 14:49:45,25.4,29.4,27.4
2022-04-19 14:50:00,25.4,29.4,27.4
2022-04-19 14:50:15,31.2,25.1,28.1
2022-04-19 14:50:30,31.2,25.1,28.1
2022-04-19 14:50:45,40.3,28.4,34.4
2022-04-19 14:51:00,40.3,28.4,34.4
2022-04-19 14:51:15,28.1,29.3,28.7
2022-04-19 14:51:30,28.1,29.3,28.7
2022-04-19 14:51:45,36.2,32.2,34.2
2022-04-19 14:52:00,36.2,32.2,34.2
2022-04-19 14:52:15,40.3,37.8,39.1
2022-04-19 14:52:30,40.3,37.8,39.1
2022-04-19 14:52:45,25.9,37.4,31.6
2022-04-19 14:53:00,25.9,37.4,31.6
2022-04-19 14:53:15,28.0,27.6,27.8
2022-04-19 14:53:30,28.0,27.6,27.8
2022-04-19 14:53:45,24.9,34.9,29.9
2022-04-19 14:54:00,24.9,34.9,29.9
2022-04-19 14:54:15,29.4,28.3,28.9
2022-04-19 14:54:30,29.4,28.3,28.9
2022-04-19 14:54:45,22.4,21.9,22.1
2022-04-19 14:55:00,22.4,21.9,22.1
2022-04-19 14:55:15,32.7,28.5,30.6
2022-04-19 14:55:30,32.7,28.5,30.6
2022-04-19 14:55:45,21.0,39.3,30.2
2022-04-19 14:56:00,21.0,39.3,30.2
2022-04-19 14:56:15,18.5,17.5,18.0
2022-04-19 14:56:30,18.5,17.5,18.0
2022-04-19 14:56:45,34.8,27.5,31.1
2022-04-19 14:57:00,34.8,27.5,31.1
2022-04-19 14:57:15,29.0,33.2,31.1
2022-04-19 14:57:30,29.0,33.2,31.1
2022-04-19 14:57:45,21.4,29.5,25.5
2022-04-19 14:58:00,21.4,29.5,25.5
