"Time","edge-server-cv-78d887c496-qwz6r","edge-server-cv-78d887c496-jfgxb","average"
2022-04-19 13:24:00,0.476,0.439,0.458
2022-04-19 13:24:15,0.421,0.574,0.497
2022-04-19 13:24:30,0.421,0.574,0.497
2022-04-19 13:24:45,0.554,0.355,0.454
2022-04-19 13:25:00,0.554,0.355,0.454
2022-04-19 13:25:15,0.511,0.511,0.511
2022-04-19 13:25:30,0.511,0.511,0.511
2022-04-19 13:25:45,0.893,0.577,0.735
2022-04-19 13:26:00,0.893,0.577,0.735
2022-04-19 13:26:15,0.523,0.495,0.509
2022-04-19 13:26:30,0.523,0.495,0.509
2022-04-19 13:26:45,0.439,0.428,0.433
2022-04-19 13:27:00,0.439,0.428,0.433
2022-04-19 13:27:15,0.266,0.378,0.322
2022-04-19 13:27:30,0.266,0.378,0.322
2022-04-19 13:27:45,0.618,0.413,0.516
2022-04-19 13:28:00,0.618,0.413,0.516
2022-04-19 13:28:15,0.757,0.456,0.606
2022-04-19 13:28:30,0.757,0.456,0.606
2022-04-19 13:28:45,0.464,0.460,0.462
2022-04-19 13:29:00,0.464,0.460,0.462
2022-04-19 13:29:15,0.413,0.600,0.507
2022-04-19 13:29:30,0.413,0.600,0.507
2022-04-19 13:29:45,0.320,0.413,0.367
2022-04-19 13:30:00,0.320,0.413,0.367
2022-04-19 13:30:15,0.585,0.710,0.647
2022-04-19 13:30:30,0.585,0.710,0.647
2022-04-19 13:30:45,0.542,0.528,0.535
2022-04-19 13:31:00,0.542,0.528,0.535
2022-04-19 13:31:15,0.604,0.498,0.551
2022-04-19 13:31:30,0.604,0.498,0.551
2022-04-19 13:31:45,0.537,0.655,0.596
2022-04-19 13:32:00,0.537,0.655,0.596
2022-04-19 13:32:15,0.392,0.495,0.443
2022-04-19 13:32:30,0.392,0.495,0.443
2022-04-19 13:32:45,0.541,0.408,0.474
2022-04-19 13:33:00,0.541,0.408,0.474
2022-04-19 13:33:15,0.387,0.842,0.615
2022-04-19 13:33:30,0.387,0.842,0.615
2022-04-19 13:33:45,0.597,0.641,0.619
2022-04-19 13:34:00,0.597,0.641,0.619
2022-04-19 13:34:15,0.744,0.323,0.533
2022-04-19 13:34:30,0.744,0.323,0.533
2022-04-19 13:34:45,0.591,0.680,0.635
2022-04-19 13:35:00,0.591,0.680,0.635
2022-04-19 13:35:15,0.501,0.224,0.363
2022-04-19 13:35:30,0.501,0.224,0.363
2022-04-19 13:35:45,0.680,0.844,0.762
2022-04-19 13:36:00,0.680,0.844,0.762
2022-04-19 13:36:15,0.383,0.538,0.460
2022-04-19 13:36:30,0.383,0.538,0.460
2022-04-19 13:36:45,0.644,0.454,0.549
2022-04-19 13:37:00,0.644,0.454,0.549
2022-04-19 13:37:15,0.465,0.621,0.543
2022-04-19 13:37:30,0.465,0.621,0.543
2022-04-19 13:37:45,0.793,0.736,0.764
2022-04-19 13:38:00,0.793,0.736,0.764
2022-04-19 13:38:15,0.635,0.482,0.558
2022-04-19 13:38:30,0.635,0.482,0.558
2022-04-19 13:38:45,0.396,0.805,0.601
2022-04-19 13:39:00,0.396,0.805,0.601
2022-04-19 13:39:15,0.659,0.584,0.621
2022-04-19 13:39:30,0.659,0.584,0.621
2022-04-19 13:39:45,0.507,0.598,0.552
2022-04-19 13:40:00,0.507,0.598,0.552
2022-04-19 13:40:15,0.881,0.505,0.693
2022-04-19 13:40:30,0.881,0.505,0.693
2022-04-19 13:40:45,0.508,0.462,0.485
2022-04-19 13:41:00,0.508,0.462,0.485
2022-04-19 13:41:15,0.545,0.500,0.522
2022-04-19 13:41:30,0.545,0.500,0.522
2022-04-19 13:41:45,0.545,0.597,0.571
2022-04-19 13:42:00,0.545,0.597,0.571
2022-04-19 13:42:15,0.597,0.482,0.540
2022-04-19 13:42:30,0.597,0.482,0.540
2022-04-19 13:42:45,0.515,0.389,0.452
2022-04-19 13:43:00,0.515,0.389,0.452
2022-04-19 13:43:15,0.698,0.699,0.698
2022-04-19 13:43:30,0.698,0.699,0.698
2022-04-19 13:43:45,0.579,0.709,0.644
2022-04-19 13:44:00,0.579,0.709,0.644
2022-04-19 13:44:15,0.474,0.683,0.578
2022-04-19 13:44:30,0.474,0.683,0.578
2022-04-19 13:44:45,0.617,0.707,0.662
2022-04-19 13:45:00,0.617,0.707,0.662
2022-04-19 13:45:15,0.531,0.491,0.511
2022-04-19 13:45:30,0.531,0.491,0.511
2022-04-19 13:45:45,0.513,0.509,0.511
2022-04-19 13:46:00,0.513,0.509,0.511
2022-04-19 13:46:15,0.487,0.777,0.632
2022-04-19 13:46:30,0.487,0.777,0.632
2022-04-19 13:46:45,0.380,0.458,0.419
2022-04-19 13:47:00,0.380,0.458,0.419
2022-04-19 13:47:15,0.661,0.629,0.645
2022-04-19 13:47:30,0.661,0.629,0.645
2022-04-19 13:47:45,0.647,0.586,0.616
2022-04-19 13:48:00,0.647,0.586,0.616
2022-04-19 13:48:15,0.494,0.662,0.578
2022-04-19 13:48:30,0.494,0.662,0.578
2022-04-19 13:48:45,0.502,0.530,0.516
2022-04-19 13:49:00,0.502,0.530,0.516
2022-04-19 13:49:15,0.609,0.593,0.601
2022-04-19 13:49:30,0.609,0.593,0.601
2022-04-19 13:49:45,0.684,0.465,0.574
2022-04-19 13:50:00,0.684,0.465,0.574
2022-04-19 13:50:15,0.225,0.848,0.536
2022-04-19 13:50:30,0.225,0.848,0.536
2022-04-19 13:50:45,1.01,0.368,0.688
2022-04-19 13:51:00,1.01,0.368,0.688
2022-04-19 13:51:15,0.312,0.438,0.375
2022-04-19 13:51:30,0.312,0.438,0.375
2022-04-19 13:51:45,0.633,0.859,0.746
2022-04-19 13:52:00,0.633,0.859,0.746
2022-04-19 13:52:15,0.785,0.455,0.620
2022-04-19 13:52:30,0.785,0.455,0.620
2022-04-19 13:52:45,0.538,0.743,0.641
2022-04-19 13:53:00,0.538,0.743,0.641

