"Time","edge-server-cv-78d887c496-qwz6r 60s","edge-server-cv-78d887c496-jfgxb 60s","average"
2022-04-19 13:24:00,0.301,0.199,0.250
2022-04-19 13:24:15,0.181,0.245,0.213
2022-04-19 13:24:30,0.181,0.245,0.213
2022-04-19 13:24:45,0.297,0.198,0.247
2022-04-19 13:25:00,0.297,0.198,0.247
2022-04-19 13:25:15,0.230,0.222,0.226
2022-04-19 13:25:30,0.230,0.222,0.226
2022-04-19 13:25:45,0.425,0.363,0.394
2022-04-19 13:26:00,0.425,0.363,0.394
2022-04-19 13:26:15,0.219,0.170,0.194
2022-04-19 13:26:30,0.219,0.170,0.194
2022-04-19 13:26:45,0.231,0.161,0.196
2022-04-19 13:27:00,0.231,0.161,0.196
2022-04-19 13:27:15,0.153,0.223,0.188
2022-04-19 13:27:30,0.153,0.223,0.188
2022-04-19 13:27:45,0.282,0.103,0.193
2022-04-19 13:28:00,0.282,0.103,0.193
2022-04-19 13:28:15,0.461,0.198,0.330
2022-04-19 13:28:30,0.461,0.198,0.330
2022-04-19 13:28:45,0.112,0.202,0.157
2022-04-19 13:29:00,0.112,0.202,0.157
2022-04-19 13:29:15,0.320,0.371,0.346
2022-04-19 13:29:30,0.320,0.371,0.346
2022-04-19 13:29:45,0.188,0.176,0.182
2022-04-19 13:30:00,0.188,0.176,0.182
2022-04-19 13:30:15,0.165,0.288,0.227
2022-04-19 13:30:30,0.165,0.288,0.227
2022-04-19 13:30:45,0.321,0.369,0.345
2022-04-19 13:31:00,0.321,0.369,0.345
2022-04-19 13:31:15,0.159,0.138,0.149
2022-04-19 13:31:30,0.159,0.138,0.149
2022-04-19 13:31:45,0.311,0.354,0.333
2022-04-19 13:32:00,0.311,0.354,0.333
2022-04-19 13:32:15,0.107,0.337,0.222
2022-04-19 13:32:30,0.107,0.337,0.222
2022-04-19 13:32:45,0.318,0.110,0.214
2022-04-19 13:33:00,0.318,0.110,0.214
2022-04-19 13:33:15,0.0519,0.403,0.227
2022-04-19 13:33:30,0.0519,0.403,0.227
2022-04-19 13:33:45,0.338,0.252,0.295
2022-04-19 13:34:00,0.338,0.252,0.295
2022-04-19 13:34:15,0.315,0.134,0.225
2022-04-19 13:34:30,0.315,0.134,0.225
2022-04-19 13:34:45,0.329,0.301,0.315
2022-04-19 13:35:00,0.329,0.301,0.315
2022-04-19 13:35:15,0.252,0.114,0.183
2022-04-19 13:35:30,0.252,0.114,0.183
2022-04-19 13:35:45,0.237,0.328,0.283
2022-04-19 13:36:00,0.237,0.328,0.283
2022-04-19 13:36:15,0.136,0.281,0.208
2022-04-19 13:36:30,0.136,0.281,0.208
2022-04-19 13:36:45,0.280,0.235,0.257
2022-04-19 13:37:00,0.280,0.235,0.257
2022-04-19 13:37:15,0.296,0.344,0.320
2022-04-19 13:37:30,0.296,0.344,0.320
2022-04-19 13:37:45,0.256,0.316,0.286
2022-04-19 13:38:00,0.256,0.316,0.286
2022-04-19 13:38:15,0.281,0.229,0.255
2022-04-19 13:38:30,0.281,0.229,0.255
2022-04-19 13:38:45,0.146,0.437,0.292
2022-04-19 13:39:00,0.146,0.437,0.292
2022-04-19 13:39:15,0.362,0.247,0.304
