"Time","Average Request Rate","edge-server-cv-78d887c496-jfgxb Requests/2s","edge-server-cv-78d887c496-qwz6r Requests/2s","avg_requests/30"
2022-04-19 13:24:06,1,2,0,3.07
2022-04-19 13:24:08,1.49,1.98,1,3.10
2022-04-19 13:24:10,3,4,2,2.97
2022-04-19 13:24:12,1.50,2,1,2.90
2022-04-19 13:24:14,1.50,1,2,2.83
2022-04-19 13:24:16,1.50,2,1,2.86
2022-04-19 13:24:18,1.50,3,0,2.69
2022-04-19 13:24:20,1.50,2,1,2.69
2022-04-19 13:24:22,1,2,0,2.76
2022-04-19 13:24:24,1.50,1,2,2.76
2022-04-19 13:24:26,1,2,0,2.93
2022-04-19 13:24:28,0.500,1,0,2.86
2022-04-19 13:24:30,1.50,2,1,2.66
2022-04-19 13:24:32,0.500,0,1,2.66
2022-04-19 13:24:34,1,1,1,2.48
2022-04-19 13:24:36,1.50,1,2,2.55
2022-04-19 13:24:38,2.50,0,5,2.66
2022-04-19 13:24:40,3.49,3.98,3,2.76
2022-04-19 13:24:42,3,2,4,2.93
2022-04-19 13:24:44,1.50,2,1,2.97
2022-04-19 13:24:46,1,0,2,3.07
2022-04-19 13:24:48,0.500,1,0,2.93
2022-04-19 13:24:50,3,1,5,3.21
2022-04-19 13:24:52,1,0,2,3.17
2022-04-19 13:24:54,1,2,0,3.17
2022-04-19 13:24:56,3,3,3,3.34
2022-04-19 13:24:58,2,0,4,3.52
2022-04-19 13:25:00,2,2,2,3.48
2022-04-19 13:25:02,1,2,0,3.48
2022-04-19 13:25:04,0,0,0,3.52
2022-04-19 13:25:06,2,0,4,3.69
2022-04-19 13:25:08,3.50,4,3,3.79
2022-04-19 13:25:10,1,0,2,3.66
2022-04-19 13:25:12,2.50,3,2,3.52
2022-04-19 13:25:14,3,1,5,3.48
2022-04-19 13:25:16,1,1,1,3.52
2022-04-19 13:25:18,2.50,3,2,3.48
2022-04-19 13:25:20,0.500,1,0,3.38
2022-04-19 13:25:22,0.500,0,1,3.41
2022-04-19 13:25:24,2,1,3,3.48
2022-04-19 13:25:26,2,1,3,3.48
2022-04-19 13:25:28,0.500,0,1,3.59
2022-04-19 13:25:30,1.50,2,1,3.69
2022-04-19 13:25:32,1.50,1,2,3.62
2022-04-19 13:25:34,1.50,0,3,3.55
2022-04-19 13:25:36,2.50,4,1,3.48
2022-04-19 13:25:38,3.50,2,5,3.41
2022-04-19 13:25:40,1.50,2,1,3.59
2022-04-19 13:25:42,1.51,2.01,1,3.59
2022-04-19 13:25:44,1.50,1,2,3.45
2022-04-19 13:25:46,0.500,1,0,3.45
2022-04-19 13:25:48,0.502,1.00,0,3.21
2022-04-19 13:25:50,1.50,1,2,3.17
2022-04-19 13:25:52,2,2,2,3.31
2022-04-19 13:25:54,1,1,1,3.07
2022-04-19 13:25:56,1.50,1,2,2.90
2022-04-19 13:25:58,1.50,1,2,2.86
2022-04-19 13:26:00,1.50,1,2,2.83
2022-04-19 13:26:02,1,1,1,2.83
2022-04-19 13:26:04,2.50,2,3,3.03
2022-04-19 13:26:06,3.49,3.98,3,3.07
2022-04-19 13:26:08,1.50,1,2,2.90
2022-04-19 13:26:10,2,1,3,2.90
2022-04-19 13:26:12,0,0,0,2.97
2022-04-19 13:26:14,2.50,4,1,2.93
2022-04-19 13:26:16,2.50,2,3,3.00
2022-04-19 13:26:18,2.50,2,3,3.07
2022-04-19 13:26:20,1,0,2,2.90
2022-04-19 13:26:22,0.500,1,0,2.90
2022-04-19 13:26:24,2.50,2,3,2.97
2022-04-19 13:26:26,1,0,2,2.97
2022-04-19 13:26:28,1,0,2,2.93
2022-04-19 13:26:30,0,0,0,2.90
2022-04-19 13:26:32,2,3,1,2.90
2022-04-19 13:26:34,2,3,1,2.90
2022-04-19 13:26:36,1,2,0,2.62
2022-04-19 13:26:38,1,1,1,2.66
2022-04-19 13:26:40,1,1,1,2.48
2022-04-19 13:26:42,0.500,1,0,2.52
2022-04-19 13:26:44,1,1,1,2.48
2022-04-19 13:26:46,0.500,0,1,2.31
2022-04-19 13:26:48,0.500,0,1,2.21
2022-04-19 13:26:50,0,0,0,2.10
2022-04-19 13:26:52,1,0,2,2.14
2022-04-19 13:26:54,1,1,1,2.07
2022-04-19 13:26:56,0.500,1,0,2.10
2022-04-19 13:26:58,1,1,1,2.10
2022-04-19 13:27:00,1.50,0,3,2.10
2022-04-19 13:27:02,1.50,1,2,2.07
2022-04-19 13:27:04,1,2,0,2.03
2022-04-19 13:27:06,0.500,0,1,2
2022-04-19 13:27:08,0.500,1,0,2
2022-04-19 13:27:10,2,2,2,2.14
2022-04-19 13:27:12,2,1,3,2.31
2022-04-19 13:27:14,1.50,1,2,2.45
2022-04-19 13:27:16,0.500,0,1,2.55
2022-04-19 13:27:18,2,1,3,2.59
2022-04-19 13:27:20,2,2,2,2.79
2022-04-19 13:27:22,0,0,0,2.76
2022-04-19 13:27:24,2.50,3,2,2.83
2022-04-19 13:27:26,0.500,0,1,2.79
2022-04-19 13:27:28,4.50,5,4,3.21
2022-04-19 13:27:30,1.50,0,3,3.24
2022-04-19 13:27:32,5,5,5,3.52
2022-04-19 13:27:34,2,2,2,3.55
2022-04-19 13:27:36,3.50,4,3,3.76
2022-04-19 13:27:38,1.50,3,0,3.83
2022-04-19 13:27:40,1.50,0,3,3.69
2022-04-19 13:27:42,1,0,2,3.55
2022-04-19 13:27:44,2.50,1,4,3.72
2022-04-19 13:27:46,2,0,4,3.93
2022-04-19 13:27:48,3.50,4,3,4.03
2022-04-19 13:27:50,2,2,2,3.93
2022-04-19 13:27:52,0.500,0,1,3.93
2022-04-19 13:27:54,1,2,0,3.79
2022-04-19 13:27:56,1.50,1,2,3.69
2022-04-19 13:27:58,0.500,0,1,3.34
2022-04-19 13:28:00,1.50,0,3,3.28
2022-04-19 13:28:02,1,2,0,3
