"Time","Average Response Rate","edge-server-cv-78d887c496-jfgxb Response","edge-server-cv-78d887c496-qwz6r Response"
2022-04-19 13:24:06,247 ms,248 ms,246 ms
2022-04-19 13:24:08,245 ms,246 ms,243 ms
2022-04-19 13:24:10,243 ms,244 ms,243 ms
2022-04-19 13:24:12,241 ms,239 ms,243 ms
2022-04-19 13:24:14,241 ms,235 ms,248 ms
2022-04-19 13:24:16,244 ms,240 ms,248 ms
2022-04-19 13:24:18,267 ms,285 ms,249 ms
2022-04-19 13:24:20,320 ms,394 ms,245 ms
2022-04-19 13:24:22,330 ms,416 ms,243 ms
2022-04-19 13:24:24,331 ms,421 ms,240 ms
2022-04-19 13:24:26,325 ms,405 ms,245 ms
2022-04-19 13:24:28,266 ms,286 ms,246 ms
2022-04-19 13:24:30,252 ms,253 ms,251 ms
2022-04-19 13:24:32,250 ms,241 ms,258 ms
2022-04-19 13:24:34,244 ms,237 ms,251 ms
2022-04-19 13:24:36,238 ms,234 ms,242 ms
2022-04-19 13:24:38,246 ms,233 ms,259 ms
2022-04-19 13:24:40,263 ms,266 ms,261 ms
2022-04-19 13:24:42,276 ms,294 ms,259 ms
2022-04-19 13:24:44,281 ms,301 ms,260 ms
2022-04-19 13:24:46,286 ms,304 ms,267 ms
2022-04-19 13:24:48,280 ms,301 ms,260 ms
2022-04-19 13:24:50,339 ms,341 ms,337 ms
2022-04-19 13:24:52,334 ms,318 ms,349 ms
2022-04-19 13:24:54,331 ms,302 ms,361 ms
2022-04-19 13:24:56,332 ms,302 ms,362 ms
2022-04-19 13:24:58,314 ms,262 ms,365 ms
2022-04-19 13:25:00,270 ms,257 ms,283 ms
2022-04-19 13:25:02,269 ms,257 ms,280 ms
2022-04-19 13:25:04,278 ms,281 ms,275 ms
2022-04-19 13:25:06,275 ms,288 ms,261 ms
2022-04-19 13:25:08,278 ms,307 ms,249 ms
2022-04-19 13:25:10,282 ms,314 ms,251 ms
2022-04-19 13:25:12,271 ms,293 ms,249 ms
2022-04-19 13:25:14,271 ms,285 ms,258 ms
2022-04-19 13:25:16,270 ms,284 ms,256 ms
2022-04-19 13:25:18,260 ms,265 ms,255 ms
2022-04-19 13:25:20,281 ms,268 ms,294 ms
2022-04-19 13:25:22,297 ms,261 ms,332 ms
2022-04-19 13:25:24,305 ms,279 ms,331 ms
2022-04-19 13:25:26,295 ms,276 ms,313 ms
2022-04-19 13:25:28,285 ms,275 ms,295 ms
2022-04-19 13:25:30,285 ms,305 ms,264 ms
2022-04-19 13:25:32,304 ms,287 ms,321 ms
2022-04-19 13:25:34,301 ms,285 ms,318 ms
2022-04-19 13:25:36,300 ms,280 ms,321 ms
2022-04-19 13:25:38,276 ms,239 ms,313 ms
2022-04-19 13:25:40,244 ms,245 ms,243 ms
2022-04-19 13:25:42,248 ms,246 ms,251 ms
2022-04-19 13:25:44,249 ms,240 ms,259 ms
2022-04-19 13:25:46,250 ms,248 ms,252 ms
2022-04-19 13:25:48,234 ms,233 ms,235 ms
2022-04-19 13:25:50,231 ms,234 ms,228 ms
2022-04-19 13:25:52,251 ms,244 ms,258 ms
2022-04-19 13:25:54,259 ms,250 ms,269 ms
2022-04-19 13:25:56,264 ms,260 ms,268 ms
2022-04-19 13:25:58,268 ms,257 ms,279 ms
2022-04-19 13:26:00,257 ms,239 ms,275 ms
2022-04-19 13:26:02,254 ms,246 ms,262 ms
2022-04-19 13:26:04,242 ms,234 ms,250 ms
2022-04-19 13:26:06,243 ms,235 ms,250 ms
2022-04-19 13:26:08,243 ms,243 ms,243 ms
2022-04-19 13:26:10,253 ms,254 ms,253 ms
2022-04-19 13:26:12,254 ms,257 ms,251 ms
2022-04-19 13:26:14,260 ms,269 ms,251 ms
2022-04-19 13:26:16,265 ms,278 ms,252 ms
2022-04-19 13:26:18,282 ms,269 ms,295 ms
2022-04-19 13:26:20,290 ms,270 ms,309 ms
2022-04-19 13:26:22,278 ms,264 ms,292 ms
2022-04-19 13:26:24,298 ms,264 ms,332 ms
2022-04-19 13:26:26,308 ms,264 ms,351 ms
2022-04-19 13:26:28,286 ms,268 ms,304 ms
2022-04-19 13:26:30,293 ms,258 ms,328 ms
2022-04-19 13:26:32,281 ms,244 ms,318 ms
2022-04-19 13:26:34,235 ms,231 ms,238 ms
2022-04-19 13:26:36,235 ms,229 ms,240 ms
2022-04-19 13:26:38,232 ms,227 ms,236 ms
2022-04-19 13:26:40,243 ms,233 ms,252 ms
2022-04-19 13:26:42,245 ms,231 ms,260 ms
2022-04-19 13:26:44,238 ms,223 ms,253 ms
2022-04-19 13:26:46,243 ms,230 ms,256 ms
2022-04-19 13:26:48,238 ms,226 ms,250 ms
2022-04-19 13:26:50,234 ms,225 ms,244 ms
2022-04-19 13:26:52,244 ms,238 ms,250 ms
2022-04-19 13:26:54,252 ms,235 ms,270 ms
2022-04-19 13:26:56,257 ms,247 ms,267 ms
2022-04-19 13:26:58,266 ms,243 ms,290 ms
2022-04-19 13:27:00,260 ms,241 ms,279 ms
2022-04-19 13:27:02,260 ms,246 ms,273 ms
2022-04-19 13:27:04,255 ms,241 ms,269 ms
2022-04-19 13:27:06,233 ms,232 ms,234 ms
2022-04-19 13:27:08,238 ms,240 ms,236 ms
2022-04-19 13:27:10,240 ms,232 ms,247 ms
2022-04-19 13:27:12,234 ms,223 ms,244 ms
2022-04-19 13:27:14,236 ms,227 ms,246 ms
2022-04-19 13:27:16,233 ms,227 ms,239 ms
2022-04-19 13:27:18,232 ms,233 ms,230 ms
2022-04-19 13:27:20,233 ms,232 ms,235 ms
2022-04-19 13:27:22,247 ms,262 ms,233 ms
2022-04-19 13:27:24,247 ms,253 ms,242 ms
2022-04-19 13:27:26,251 ms,252 ms,249 ms
2022-04-19 13:27:28,272 ms,256 ms,288 ms
2022-04-19 13:27:30,267 ms,252 ms,283 ms
2022-04-19 13:27:32,261 ms,252 ms,271 ms
2022-04-19 13:27:34,265 ms,260 ms,271 ms
2022-04-19 13:27:36,286 ms,263 ms,309 ms
2022-04-19 13:27:38,285 ms,272 ms,297 ms
2022-04-19 13:27:40,294 ms,276 ms,311 ms
2022-04-19 13:27:42,306 ms,283 ms,328 ms
2022-04-19 13:27:44,359 ms,323 ms,395 ms
2022-04-19 13:27:46,335 ms,329 ms,340 ms
2022-04-19 13:27:48,318 ms,304 ms,332 ms
2022-04-19 13:27:50,318 ms,301 ms,336 ms
2022-04-19 13:27:52,289 ms,264 ms,315 ms
2022-04-19 13:27:54,265 ms,263 ms,267 ms
2022-04-19 13:27:56,257 ms,254 ms,260 ms
2022-04-19 13:27:58,250 ms,244 ms,256 ms
2022-04-19 13:28:00,246 ms,237 ms,255 ms
2022-04-19 13:28:02,248 ms,240 ms,257 ms
2022-04-19 13:28:04,258 ms,240 ms,275 ms
2022-04-19 13:28:06,266 ms,256 ms,276 ms
2022-04-19 13:28:08,279 ms,291 ms,266 ms
2022-04-19 13:28:10,278 ms,293 ms,262 ms
2022-04-19 13:28:12,267 ms,295 ms,238 ms
2022-04-19 13:28:14,284 ms,310 ms,259 ms
2022-04-19 13:28:16,284 ms,314 ms,254 ms
2022-04-19 13:28:18,276 ms,295 ms,256 ms
2022-04-19 13:28:20,279 ms,294 ms,264 ms
2022-04-19 13:28:22,275 ms,305 ms,246 ms
2022-04-19 13:28:24,251 ms,253 ms,248 ms
2022-04-19 13:28:26,247 ms,254 ms,240 ms
2022-04-19 13:28:28,248 ms,252 ms,245 ms
2022-04-19 13:28:30,250 ms,256 ms,244 ms
2022-04-19 13:28:32,247 ms,258 ms,236 ms
2022-04-19 13:28:34,248 ms,258 ms,238 ms
2022-04-19 13:28:36,257 ms,276 ms,238 ms
2022-04-19 13:28:38,255 ms,283 ms,227 ms
2022-04-19 13:28:40,258 ms,289 ms,228 ms
2022-04-19 13:28:42,274 ms,318 ms,230 ms
2022-04-19 13:28:44,277 ms,283 ms,270 ms
2022-04-19 13:28:46,285 ms,279 ms,291 ms
2022-04-19 13:28:48,284 ms,272 ms,296 ms
2022-04-19 13:28:50,269 ms,250 ms,289 ms
2022-04-19 13:28:52,261 ms,240 ms,281 ms
2022-04-19 13:28:54,260 ms,281 ms,240 ms
2022-04-19 13:28:56,264 ms,287 ms,240 ms
2022-04-19 13:28:58,275 ms,287 ms,263 ms
2022-04-19 13:29:00,301 ms,304 ms,298 ms
2022-04-19 13:29:02,299 ms,310 ms,287 ms
2022-04-19 13:29:04,293 ms,305 ms,280 ms
2022-04-19 13:29:06,293 ms,312 ms,274 ms
2022-04-19 13:29:08,272 ms,307 ms,237 ms
2022-04-19 13:29:10,253 ms,265 ms,241 ms
2022-04-19 13:29:12,263 ms,281 ms,245 ms
2022-04-19 13:29:14,254 ms,265 ms,244 ms
2022-04-19 13:29:16,262 ms,269 ms,255 ms
2022-04-19 13:29:18,261 ms,266 ms,257 ms
2022-04-19 13:29:20,265 ms,275 ms,255 ms
2022-04-19 13:29:22,239 ms,225 ms,252 ms
2022-04-19 13:29:24,247 ms,238 ms,256 ms
2022-04-19 13:29:26,245 ms,245 ms,244 ms
2022-04-19 13:29:28,244 ms,245 ms,243 ms
2022-04-19 13:29:30,248 ms,261 ms,235 ms
2022-04-19 13:29:32,248 ms,265 ms,231 ms
2022-04-19 13:29:34,249 ms,257 ms,240 ms
2022-04-19 13:29:36,244 ms,252 ms,237 ms
2022-04-19 13:29:38,241 ms,244 ms,239 ms
2022-04-19 13:29:40,235 ms,227 ms,244 ms
2022-04-19 13:29:42,235 ms,223 ms,247 ms
2022-04-19 13:29:44,234 ms,227 ms,242 ms
2022-04-19 13:29:46,242 ms,232 ms,251 ms
2022-04-19 13:29:48,274 ms,253 ms,296 ms
2022-04-19 13:29:50,338 ms,401 ms,274 ms
2022-04-19 13:29:52,330 ms,390 ms,270 ms
2022-04-19 13:29:54,318 ms,372 ms,264 ms
2022-04-19 13:29:56,305 ms,368 ms,241 ms
2022-04-19 13:29:58,268 ms,295 ms,241 ms
2022-04-19 13:30:00,243 ms,255 ms,230 ms
2022-04-19 13:30:02,249 ms,253 ms,244 ms
2022-04-19 13:30:04,254 ms,259 ms,249 ms
2022-04-19 13:30:06,241 ms,243 ms,238 ms
2022-04-19 13:30:08,244 ms,252 ms,237 ms
2022-04-19 13:30:10,246 ms,256 ms,236 ms
2022-04-19 13:30:12,250 ms,276 ms,223 ms
2022-04-19 13:30:14,252 ms,280 ms,225 ms
2022-04-19 13:30:16,258 ms,280 ms,235 ms
2022-04-19 13:30:18,259 ms,279 ms,238 ms
2022-04-19 13:30:20,245 ms,251 ms,239 ms
2022-04-19 13:30:22,251 ms,255 ms,247 ms
2022-04-19 13:30:24,250 ms,253 ms,246 ms
2022-04-19 13:30:26,240 ms,232 ms,248 ms
2022-04-19 13:30:28,249 ms,231 ms,266 ms
2022-04-19 13:30:30,291 ms,243 ms,340 ms
2022-04-19 13:30:32,330 ms,302 ms,357 ms
2022-04-19 13:30:34,358 ms,371 ms,344 ms
2022-04-19 13:30:36,346 ms,359 ms,333 ms
2022-04-19 13:30:38,341 ms,354 ms,329 ms
2022-04-19 13:30:40,307 ms,347 ms,267 ms
2022-04-19 13:30:42,273 ms,280 ms,265 ms
2022-04-19 13:30:44,252 ms,238 ms,267 ms
2022-04-19 13:30:46,250 ms,240 ms,260 ms
2022-04-19 13:30:48,248 ms,245 ms,252 ms
2022-04-19 13:30:50,247 ms,248 ms,245 ms
2022-04-19 13:30:52,263 ms,255 ms,272 ms
2022-04-19 13:30:54,264 ms,252 ms,275 ms
2022-04-19 13:30:56,266 ms,252 ms,280 ms
2022-04-19 13:30:58,272 ms,255 ms,290 ms
2022-04-19 13:31:00,275 ms,254 ms,295 ms
2022-04-19 13:31:02,259 ms,252 ms,267 ms
2022-04-19 13:31:04,246 ms,235 ms,256 ms
2022-04-19 13:31:06,247 ms,240 ms,255 ms
2022-04-19 13:31:08,247 ms,241 ms,253 ms
2022-04-19 13:31:10,261 ms,240 ms,281 ms
2022-04-19 13:31:12,262 ms,244 ms,279 ms
2022-04-19 13:31:14,278 ms,247 ms,308 ms
2022-04-19 13:31:16,272 ms,244 ms,299 ms
2022-04-19 13:31:18,313 ms,290 ms,337 ms
2022-04-19 13:31:20,461 ms,572 ms,351 ms
2022-04-19 13:31:22,493 ms,613 ms,372 ms
2022-04-19 13:31:24,459 ms,541 ms,378 ms
2022-04-19 13:31:26,454 ms,542 ms,365 ms
2022-04-19 13:31:28,302 ms,298 ms,305 ms
2022-04-19 13:31:30,282 ms,269 ms,294 ms
2022-04-19 13:31:32,275 ms,277 ms,273 ms
2022-04-19 13:31:34,280 ms,288 ms,273 ms
2022-04-19 13:31:36,265 ms,277 ms,253 ms
2022-04-19 13:31:38,262 ms,271 ms,254 ms
2022-04-19 13:31:40,261 ms,272 ms,249 ms
2022-04-19 13:31:42,258 ms,274 ms,243 ms
2022-04-19 13:31:44,251 ms,260 ms,241 ms
2022-04-19 13:31:46,261 ms,281 ms,242 ms
2022-04-19 13:31:48,307 ms,369 ms,246 ms
2022-04-19 13:31:50,282 ms,317 ms,246 ms
2022-04-19 13:31:52,273 ms,298 ms,248 ms
2022-04-19 13:31:54,265 ms,282 ms,248 ms
2022-04-19 13:31:56,244 ms,230 ms,258 ms
2022-04-19 13:31:58,245 ms,233 ms,257 ms
2022-04-19 13:32:00,241 ms,222 ms,261 ms
2022-04-19 13:32:02,250 ms,238 ms,262 ms
2022-04-19 13:32:04,264 ms,246 ms,281 ms
2022-04-19 13:32:06,274 ms,255 ms,293 ms
2022-04-19 13:32:08,280 ms,262 ms,298 ms
2022-04-19 13:32:10,276 ms,261 ms,290 ms
2022-04-19 13:32:12,281 ms,258 ms,303 ms
2022-04-19 13:32:14,258 ms,255 ms,262 ms
