"Time","Average"
2022-04-19 13:24:00,22.9
2022-04-19 13:24:15,24.9
2022-04-19 13:24:30,24.9
2022-04-19 13:24:45,22.7
2022-04-19 13:25:00,22.7
2022-04-19 13:25:15,25.5
2022-04-19 13:25:30,25.5
2022-04-19 13:25:45,36.8
2022-04-19 13:26:00,36.8
2022-04-19 13:26:15,25.5
2022-04-19 13:26:30,25.5
2022-04-19 13:26:45,21.7
2022-04-19 13:27:00,21.7
2022-04-19 13:27:15,16.1
2022-04-19 13:27:30,16.1
2022-04-19 13:27:45,25.8
2022-04-19 13:28:00,25.8
2022-04-19 13:28:15,30.3
2022-04-19 13:28:30,30.3
2022-04-19 13:28:45,23.1
2022-04-19 13:29:00,23.1
2022-04-19 13:29:15,25.3
2022-04-19 13:29:30,25.3
2022-04-19 13:29:45,18.3
2022-04-19 13:30:00,18.3
2022-04-19 13:30:15,32.4
2022-04-19 13:30:30,32.4
2022-04-19 13:30:45,26.7
2022-04-19 13:31:00,26.7
2022-04-19 13:31:15,27.5
2022-04-19 13:31:30,27.5
2022-04-19 13:31:45,29.8
2022-04-19 13:32:00,29.8
2022-04-19 13:32:15,22.2
2022-04-19 13:32:30,22.2
2022-04-19 13:32:45,23.7
2022-04-19 13:33:00,23.7
2022-04-19 13:33:15,30.7
2022-04-19 13:33:30,30.7
2022-04-19 13:33:45,30.9
2022-04-19 13:34:00,30.9
2022-04-19 13:34:15,26.7
2022-04-19 13:34:30,26.7
2022-04-19 13:34:45,31.8
2022-04-19 13:35:00,31.8
2022-04-19 13:35:15,18.1
2022-04-19 13:35:30,18.1
2022-04-19 13:35:45,38.1
2022-04-19 13:36:00,38.1
2022-04-19 13:36:15,23.0
2022-04-19 13:36:30,23.0
2022-04-19 13:36:45,27.5
2022-04-19 13:37:00,27.5
2022-04-19 13:37:15,27.2
2022-04-19 13:37:30,27.2
2022-04-19 13:37:45,38.2
2022-04-19 13:38:00,38.2
2022-04-19 13:38:15,27.9
2022-04-19 13:38:30,27.9
2022-04-19 13:38:45,30.0
2022-04-19 13:39:00,30.0
2022-04-19 13:39:15,31.1
2022-04-19 13:39:30,31.1
2022-04-19 13:39:45,27.6
2022-04-19 13:40:00,27.6
2022-04-19 13:40:15,34.6
2022-04-19 13:40:30,34.6
2022-04-19 13:40:45,24.2
2022-04-19 13:41:00,24.2
2022-04-19 13:41:15,26.1
2022-04-19 13:41:30,26.1
2022-04-19 13:41:45,28.6
2022-04-19 13:42:00,28.6
2022-04-19 13:42:15,27.0
2022-04-19 13:42:30,27.0
2022-04-19 13:42:45,22.6
2022-04-19 13:43:00,22.6
2022-04-19 13:43:15,34.9
2022-04-19 13:43:30,34.9
2022-04-19 13:43:45,32.2
2022-04-19 13:44:00,32.2
2022-04-19 13:44:15,28.9
2022-04-19 13:44:30,28.9
2022-04-19 13:44:45,33.1
2022-04-19 13:45:00,33.1
2022-04-19 13:45:15,25.5
2022-04-19 13:45:30,25.5
2022-04-19 13:45:45,25.5
2022-04-19 13:46:00,25.5
2022-04-19 13:46:15,31.6
2022-04-19 13:46:30,31.6
2022-04-19 13:46:45,21.0
2022-04-19 13:47:00,21.0
2022-04-19 13:47:15,32.3
2022-04-19 13:47:30,32.3
2022-04-19 13:47:45,30.8
2022-04-19 13:48:00,30.8
2022-04-19 13:48:15,28.9
2022-04-19 13:48:30,28.9
2022-04-19 13:48:45,25.8
2022-04-19 13:49:00,25.8
2022-04-19 13:49:15,30.1
2022-04-19 13:49:30,30.1
2022-04-19 13:49:45,28.7
2022-04-19 13:50:00,28.7
2022-04-19 13:50:15,26.8
2022-04-19 13:50:30,26.8
2022-04-19 13:50:45,34.4
2022-04-19 13:51:00,34.4
2022-04-19 13:51:15,18.7
2022-04-19 13:51:30,18.7
2022-04-19 13:51:45,37.3
2022-04-19 13:52:00,37.3
2022-04-19 13:52:15,31.0
2022-04-19 13:52:30,31.0
2022-04-19 13:52:45,32.0
2022-04-19 13:53:00,32.0

