"Time","edge-server-cv-78d887c496-pr2rl","edge-server-cv-78d887c496-r2wgp","edge-server-cv-78d887c496-kcrxl","average"
2022-04-19 17:50:30,0.506,0.544,0.497,0.516
2022-04-19 17:50:45,0.460,0.561,0.382,0.468
2022-04-19 17:51:00,0.460,0.561,0.382,0.468
2022-04-19 17:51:15,0.389,0.593,0.821,0.601
2022-04-19 17:51:30,0.389,0.593,0.821,0.601
2022-04-19 17:51:45,0.619,0.426,0.397,0.481
2022-04-19 17:52:00,0.619,0.426,0.397,0.481
2022-04-19 17:52:15,0.569,0.291,0.528,0.463
2022-04-19 17:52:30,0.569,0.291,0.528,0.463
2022-04-19 17:52:45,0.485,0.573,0.401,0.487
2022-04-19 17:53:00,0.485,0.573,0.401,0.487
2022-04-19 17:53:15,0.361,0.556,0.437,0.451
2022-04-19 17:53:30,0.361,0.556,0.437,0.451
2022-04-19 17:53:45,0.443,0.463,0.463,0.456
2022-04-19 17:54:00,0.443,0.463,0.463,0.456
2022-04-19 17:54:15,0.694,0.437,0.462,0.531
2022-04-19 17:54:30,0.694,0.437,0.462,0.531
2022-04-19 17:54:45,0.469,0.279,0.452,0.400
2022-04-19 17:55:00,0.469,0.279,0.452,0.400
2022-04-19 17:55:15,0.543,0.603,0.354,0.500
2022-04-19 17:55:30,0.543,0.603,0.354,0.500
2022-04-19 17:55:45,0.511,0.350,0.466,0.442
2022-04-19 17:56:00,0.511,0.350,0.466,0.442
2022-04-19 17:56:15,0.648,0.470,0.631,0.583
2022-04-19 17:56:30,0.648,0.470,0.631,0.583
2022-04-19 17:56:45,0.455,0.441,0.490,0.462
2022-04-19 17:57:00,0.455,0.441,0.490,0.462
2022-04-19 17:57:15,0.431,0.571,0.759,0.587
2022-04-19 17:57:30,0.431,0.571,0.759,0.587
2022-04-19 17:57:45,0.220,0.549,0.290,0.353
2022-04-19 17:58:00,0.220,0.549,0.290,0.353
2022-04-19 17:58:15,0.569,0.405,0.558,0.511
2022-04-19 17:58:30,0.569,0.405,0.558,0.511
2022-04-19 17:58:45,0.607,0.420,0.208,0.412
2022-04-19 17:59:00,0.607,0.420,0.208,0.412
2022-04-19 17:59:15,0.566,0.741,0.629,0.645
2022-04-19 17:59:30,0.566,0.741,0.629,0.645
2022-04-19 17:59:45,0.548,0.555,0.381,0.495
2022-04-19 18:00:00,0.548,0.555,0.381,0.495
2022-04-19 18:00:15,0.146,0.482,0.466,0.365
2022-04-19 18:00:30,0.146,0.482,0.466,0.365
2022-04-19 18:00:45,0.565,0.584,0.339,0.496
2022-04-19 18:01:00,0.565,0.584,0.339,0.496
2022-04-19 18:01:15,0.624,0.421,0.420,0.488
2022-04-19 18:01:30,0.624,0.421,0.420,0.488
2022-04-19 18:01:45,0.319,0.541,0.491,0.450
2022-04-19 18:02:00,0.319,0.541,0.491,0.450
2022-04-19 18:02:15,0.702,0.550,0.476,0.576
2022-04-19 18:02:30,0.702,0.550,0.476,0.576
2022-04-19 18:02:45,0.280,0.430,0.315,0.342
2022-04-19 18:03:00,0.280,0.430,0.315,0.342
2022-04-19 18:03:15,0.759,0.575,0.720,0.685
2022-04-19 18:03:30,0.759,0.575,0.720,0.685
2022-04-19 18:03:45,0.626,0.588,0.492,0.568
2022-04-19 18:04:00,0.626,0.588,0.492,0.568
2022-04-19 18:04:15,0.364,0.414,0.624,0.467
2022-04-19 18:04:30,0.364,0.414,0.624,0.467
2022-04-19 18:04:45,0.438,0.628,0.413,0.493
2022-04-19 18:05:00,0.438,0.628,0.413,0.493
2022-04-19 18:05:15,0.569,0.396,0.488,0.484
2022-04-19 18:05:30,0.569,0.396,0.488,0.484
2022-04-19 18:05:45,0.320,0.625,0.651,0.532
2022-04-19 18:06:00,0.320,0.625,0.651,0.532
2022-04-19 18:06:15,0.756,0.445,0.337,0.513
2022-04-19 18:06:30,0.756,0.445,0.337,0.513
2022-04-19 18:06:45,0.253,0.310,0.378,0.314
2022-04-19 18:07:00,0.253,0.310,0.378,0.314
2022-04-19 18:07:15,0.515,0.577,0.576,0.556
2022-04-19 18:07:30,0.515,0.577,0.576,0.556
2022-04-19 18:07:45,0.487,0.416,0.448,0.450
2022-04-19 18:08:00,0.487,0.416,0.448,0.450
2022-04-19 18:08:15,0.547,0.458,0.596,0.534
2022-04-19 18:08:30,0.547,0.458,0.596,0.534
2022-04-19 18:08:45,0.574,0.553,0.629,0.585
2022-04-19 18:09:00,0.574,0.553,0.629,0.585
2022-04-19 18:09:15,0.747,0.447,0.448,0.547
2022-04-19 18:09:30,0.747,0.447,0.448,0.547
2022-04-19 18:09:45,0.575,0.603,0.472,0.550
2022-04-19 18:10:00,0.575,0.603,0.472,0.550
2022-04-19 18:10:15,0.316,0.410,0.540,0.422
2022-04-19 18:10:30,0.316,0.410,0.540,0.422
2022-04-19 18:10:45,0.756,0.699,0.754,0.737
2022-04-19 18:11:00,0.756,0.699,0.754,0.737
2022-04-19 18:11:15,0.590,0.325,0.670,0.528
2022-04-19 18:11:30,0.590,0.325,0.670,0.528
2022-04-19 18:11:45,0.476,0.691,0.255,0.474
2022-04-19 18:12:00,0.476,0.691,0.255,0.474
2022-04-19 18:12:15,0.547,0.470,0.716,0.578
2022-04-19 18:12:30,0.547,0.470,0.716,0.578
2022-04-19 18:12:45,0.581,0.413,0.530,0.508
2022-04-19 18:13:00,0.581,0.413,0.530,0.508
2022-04-19 18:13:15,0.453,0.498,0.569,0.507
2022-04-19 18:13:30,0.453,0.498,0.569,0.507
2022-04-19 18:13:45,0.490,0.678,0.542,0.570
2022-04-19 18:14:00,0.490,0.678,0.542,0.570
2022-04-19 18:14:15,0.375,0.528,0.645,0.516
2022-04-19 18:14:30,0.375,0.528,0.645,0.516
2022-04-19 18:14:45,0.574,0.516,0.601,0.564
2022-04-19 18:15:00,0.574,0.516,0.601,0.564
2022-04-19 18:15:15,0.277,0.542,0.592,0.470
2022-04-19 18:15:30,0.277,0.542,0.592,0.470
2022-04-19 18:15:45,0.610,0.618,0.529,0.586
2022-04-19 18:16:00,0.610,0.618,0.529,0.586
2022-04-19 18:16:15,0.462,0.332,0.446,0.413
2022-04-19 18:16:30,0.462,0.332,0.446,0.413
2022-04-19 18:16:45,0.494,0.499,0.721,0.571
2022-04-19 18:17:00,0.494,0.499,0.721,0.571
2022-04-19 18:17:15,0.824,0.782,0.606,0.737
2022-04-19 18:17:30,0.824,0.782,0.606,0.737
2022-04-19 18:17:45,0.419,0.745,0.570,0.578
2022-04-19 18:18:00,0.419,0.745,0.570,0.578
2022-04-19 18:18:15,0.293,0.294,0.421,0.336
2022-04-19 18:18:30,0.293,0.294,0.421,0.336
2022-04-19 18:18:45,0.672,0.539,0.654,0.622
2022-04-19 18:19:00,0.672,0.539,0.654,0.622
2022-04-19 18:19:15,0.667,0.591,0.418,0.559
2022-04-19 18:19:30,0.667,0.591,0.418,0.559

