"Time","edge-server-cv-78d887c496-pr2rl 60s","edge-server-cv-78d887c496-r2wgp 60s","edge-server-cv-78d887c496-kcrxl 60s","average"
2022-04-19 17:50:30,0.239,0.127,0.239,0.202
2022-04-19 17:50:45,0.250,0.256,0.177,0.228
2022-04-19 17:51:00,0.250,0.256,0.177,0.228
2022-04-19 17:51:15,0.121,0.264,0.391,0.259
2022-04-19 17:51:30,0.121,0.264,0.391,0.259
2022-04-19 17:51:45,0.288,0.216,0.155,0.220
2022-04-19 17:52:00,0.288,0.216,0.155,0.220
2022-04-19 17:52:15,0.298,0.109,0.292,0.233
2022-04-19 17:52:30,0.298,0.109,0.292,0.233
2022-04-19 17:52:45,0.138,0.243,0.191,0.191
2022-04-19 17:53:00,0.138,0.243,0.191,0.191
2022-04-19 17:53:15,0.208,0.181,0.259,0.216
2022-04-19 17:53:30,0.208,0.181,0.259,0.216
2022-04-19 17:53:45,0.193,0.294,0.121,0.203
2022-04-19 17:54:00,0.193,0.294,0.121,0.203
2022-04-19 17:54:15,0.257,0.161,0.229,0.216
2022-04-19 17:54:30,0.257,0.161,0.229,0.216
2022-04-19 17:54:45,0.206,0.158,0.258,0.207
2022-04-19 17:55:00,0.206,0.158,0.258,0.207
2022-04-19 17:55:15,0.242,0.287,0.186,0.238
2022-04-19 17:55:30,0.242,0.287,0.186,0.238
2022-04-19 17:55:45,0.212,0.161,0.137,0.170
2022-04-19 17:56:00,0.212,0.161,0.137,0.170
2022-04-19 17:56:15,0.342,0.194,0.309,0.282
2022-04-19 17:56:30,0.342,0.194,0.309,0.282
2022-04-19 17:56:45,0.251,0.215,0.176,0.214
2022-04-19 17:57:00,0.251,0.215,0.176,0.214
2022-04-19 17:57:15,0.163,0.328,0.418,0.303
2022-04-19 17:57:30,0.163,0.328,0.418,0.303
2022-04-19 17:57:45,0.0631,0.176,0.127,0.122
2022-04-19 17:58:00,0.0631,0.176,0.127,0.122
2022-04-19 17:58:15,0.240,0.206,0.254,0.234
2022-04-19 17:58:30,0.240,0.206,0.254,0.234
2022-04-19 17:58:45,0.276,0.155,0.0456,0.159
2022-04-19 17:59:00,0.276,0.155,0.0456,0.159
2022-04-19 17:59:15,0.351,0.301,0.282,0.311
2022-04-19 17:59:30,0.351,0.301,0.282,0.311
2022-04-19 17:59:45,0.256,0.317,0.224,0.266
2022-04-19 18:00:00,0.256,0.317,0.224,0.266
2022-04-19 18:00:15,0.00989,0.187,0.257,0.151
2022-04-19 18:00:30,0.00989,0.187,0.257,0.151
2022-04-19 18:00:45,0.364,0.304,0.129,0.265
