"Time","Average Request Rate","edge-server-cv-78d887c496-kcrxl Requests/2s","edge-server-cv-78d887c496-pr2rl Requests/2s","edge-server-cv-78d887c496-r2wgp Requests/2s","avg_requests/30"
2022-04-19 17:50:30,1.67,3,1.00,1,4.07
2022-04-19 17:50:32,1.67,2,1,2,4.21
2022-04-19 17:50:34,0.998,0,1.99,1,4.34
2022-04-19 17:50:36,1,0,0,3,4.45
2022-04-19 17:50:38,1,1,1,1,4.48
2022-04-19 17:50:40,2,2,3,1,4.28
2022-04-19 17:50:42,0.667,2,0,0,4.14
2022-04-19 17:50:44,0.667,0,1,1,3.90
2022-04-19 17:50:46,1.33,2,0,2,3.97
2022-04-19 17:50:48,2,2,3,1,4.21
2022-04-19 17:50:50,1,1,0,2,4.34
2022-04-19 17:50:52,0,0,0,0,4.00
2022-04-19 17:50:54,3,6,1,2,4.14
2022-04-19 17:50:56,0.333,0,1,0,4.10
2022-04-19 17:50:58,1,1,0,2,4.14
2022-04-19 17:51:00,2.00,1,2.01,3,4.21
2022-04-19 17:51:02,0.667,0,0,2,4.14
2022-04-19 17:51:04,1,2,1,0,4.03
2022-04-19 17:51:06,1.33,1,1,2,4.00
2022-04-19 17:51:08,1.33,3,0,1,4.31
2022-04-19 17:51:10,1.33,3,0,1,4.41
2022-04-19 17:51:12,0.666,1,0.997,0,4.38
2022-04-19 17:51:14,1,0,1,2,4.45
2022-04-19 17:51:16,0.667,1,1,0,4.21
2022-04-19 17:51:18,2,0,3,3,4.07
2022-04-19 17:51:20,2.33,3,2,2,4.31
2022-04-19 17:51:22,1,0,0,3,4.52
2022-04-19 17:51:24,0.670,2.01,0,0,4.17
2022-04-19 17:51:26,1.33,2,1,1,4.28
2022-04-19 17:51:28,1.67,1,2,2,4.38
2022-04-19 17:51:30,0.667,1,0,1,4.34
2022-04-19 17:51:32,1,1,2,0,4.31
2022-04-19 17:51:34,1.33,2,1,1,4.31
2022-04-19 17:51:36,1,0,2,1,4.28
2022-04-19 17:51:38,1,2,1,0,4.24
2022-04-19 17:51:40,0.667,0,2,0,4.34
2022-04-19 17:51:42,2.67,3,2,3.01,4.45
2022-04-19 17:51:44,2.33,3,2,2,4.76
2022-04-19 17:51:46,1.67,1,3,1,5.07
2022-04-19 17:51:48,1.33,1,3,0,4.83
2022-04-19 17:51:50,0.333,0,1,0,4.45
2022-04-19 17:51:52,1.67,3,2,0,4.59
2022-04-19 17:51:54,0.333,1,0,0,4.62
