"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-pr2rl Memory Usage","edge-server-cv-78d887c496-r2wgp Memory Usage","edge-server-cv-78d887c496-kcrxl Memory Usage"
2022-04-19 17:50:30,3519983616,1173327872,940253184,1427775488,1151954944
2022-04-19 17:50:45,3346321408,1115440469,925986816,1333919744,1086414848
2022-04-19 17:51:00,3346321408,1115440469,925986816,1333919744,1086414848
2022-04-19 17:51:15,3287584768,1095861589,1087143936,914595840,1285844992
2022-04-19 17:51:30,3287584768,1095861589,1087143936,914595840,1285844992
2022-04-19 17:51:45,3656663040,1218887680,1348018176,922439680,1386205184
2022-04-19 17:52:00,3656663040,1218887680,1348018176,922439680,1386205184
2022-04-19 17:52:15,2680979456,893659819,869158912,875962368,935858176
2022-04-19 17:52:30,2680979456,893659819,869158912,875962368,935858176
2022-04-19 17:52:45,3127402496,1042467499,1266659328,808689664,1052053504
2022-04-19 17:53:00,3127402496,1042467499,1266659328,808689664,1052053504
2022-04-19 17:53:15,2811338752,937112917,1007845376,1209339904,594153472
2022-04-19 17:53:30,2811338752,937112917,1007845376,1209339904,594153472
2022-04-19 17:53:45,3173310464,1057770155,893333504,949686272,1330290688
2022-04-19 17:54:00,3173310464,1057770155,893333504,949686272,1330290688
2022-04-19 17:54:15,3622162432,1207387477,803860480,1153802240,1664499712
2022-04-19 17:54:30,3622162432,1207387477,803860480,1153802240,1664499712
2022-04-19 17:54:45,2854400000,951466667,766644224,872415232,1215340544
2022-04-19 17:55:00,2854400000,951466667,766644224,872415232,1215340544
2022-04-19 17:55:15,2526109696,842036565,1085091840,474091520,966926336
2022-04-19 17:55:30,2526109696,842036565,1085091840,474091520,966926336
2022-04-19 17:55:45,3081326592,1027108864,1257713664,773701632,1049911296
2022-04-19 17:56:00,3081326592,1027108864,1257713664,773701632,1049911296
2022-04-19 17:56:15,2851688448,950562816,993812480,813293568,1044582400
2022-04-19 17:56:30,2851688448,950562816,993812480,813293568,1044582400
2022-04-19 17:56:45,3683700736,1227900245,811495424,1390653440,1481551872
2022-04-19 17:57:00,3683700736,1227900245,811495424,1390653440,1481551872
2022-04-19 17:57:15,2223493120,741164373,785072128,885624832,552796160
2022-04-19 17:57:30,2223493120,741164373,785072128,885624832,552796160
2022-04-19 17:57:45,2980446208,993482069,1149194240,1178066944,653185024
2022-04-19 17:58:00,2980446208,993482069,1149194240,1178066944,653185024
2022-04-19 17:58:15,2756681728,918893909,949850112,980434944,826396672
2022-04-19 17:58:30,2756681728,918893909,949850112,980434944,826396672
2022-04-19 17:58:45,3562115072,1187371691,1083252736,1266450432,1212411904
2022-04-19 17:59:00,3562115072,1187371691,1083252736,1266450432,1212411904
2022-04-19 17:59:15,3291443200,1097147733,993476608,1079193600,1218772992
2022-04-19 17:59:30,3291443200,1097147733,993476608,1079193600,1218772992
2022-04-19 17:59:45,3020464128,1006821376,953810944,946028544,1120624640
2022-04-19 18:00:00,3020464128,1006821376,953810944,946028544,1120624640
2022-04-19 18:00:15,3168862208,1056287403,1125998592,1077661696,965201920
2022-04-19 18:00:30,3168862208,1056287403,1125998592,1077661696,965201920
2022-04-19 18:00:45,2987741184,995913728,1018929152,1002762240,966049792
2022-04-19 18:01:00,2987741184,995913728,1018929152,1002762240,966049792
2022-04-19 18:01:15,3065896960,1021965653,1005465600,1369645056,690786304
2022-04-19 18:01:30,3065896960,1021965653,1005465600,1369645056,690786304
2022-04-19 18:01:45,2746884096,915628032,1033056256,1096896512,616931328
2022-04-19 18:02:00,2746884096,915628032,1033056256,1096896512,616931328
2022-04-19 18:02:15,2367082496,789027499,810881024,756318208,799883264
2022-04-19 18:02:30,2367082496,789027499,810881024,756318208,799883264
2022-04-19 18:02:45,2991632384,997210795,837951488,982847488,1170833408
2022-04-19 18:03:00,2991632384,997210795,837951488,982847488,1170833408
2022-04-19 18:03:15,3044913152,1014971051,708722688,1403568128,932622336
2022-04-19 18:03:30,3044913152,1014971051,708722688,1403568128,932622336
2022-04-19 18:03:45,2999046144,999682048,1061859328,942268416,994918400
2022-04-19 18:04:00,2999046144,999682048,1061859328,942268416,994918400
2022-04-19 18:04:15,2926575616,975525205,1100718080,845996032,979861504
2022-04-19 18:04:30,2926575616,975525205,1100718080,845996032,979861504
2022-04-19 18:04:45,3187503104,1062501035,1245986816,688328704,1253187584
2022-04-19 18:05:00,3187503104,1062501035,1245986816,688328704,1253187584
2022-04-19 18:05:15,3325734912,1108578304,1179516928,1203556352,942661632
2022-04-19 18:05:30,3325734912,1108578304,1179516928,1203556352,942661632
2022-04-19 18:05:45,3722010624,1240670208,1314516992,1269006336,1138487296
2022-04-19 18:06:00,3722010624,1240670208,1314516992,1269006336,1138487296
2022-04-19 18:06:15,2805018624,935006208,658292736,955080704,1191645184
2022-04-19 18:06:30,2805018624,935006208,658292736,955080704,1191645184
2022-04-19 18:06:45,3090956288,1030318763,974311424,964894720,1151750144
2022-04-19 18:07:00,3090956288,1030318763,974311424,964894720,1151750144
2022-04-19 18:07:15,2872160256,957386752,1217933312,907358208,746868736
2022-04-19 18:07:30,2872160256,957386752,1217933312,907358208,746868736
2022-04-19 18:07:45,3425624064,1141874688,1061322752,1161932800,1202368512
2022-04-19 18:08:00,3425624064,1141874688,1061322752,1161932800,1202368512
2022-04-19 18:08:15,3349336064,1116445355,1168261120,971706368,1209368576
2022-04-19 18:08:30,3349336064,1116445355,1168261120,971706368,1209368576
2022-04-19 18:08:45,2615238656,871746219,1081737216,770867200,762634240
2022-04-19 18:09:00,2615238656,871746219,1081737216,770867200,762634240
2022-04-19 18:09:15,2798714880,932904960,863232000,1027190784,908292096
2022-04-19 18:09:30,2798714880,932904960,863232000,1027190784,908292096
2022-04-19 18:09:45,2774093824,924697941,738848768,1153691648,881553408
2022-04-19 18:10:00,2774093824,924697941,738848768,1153691648,881553408
2022-04-19 18:10:15,2925744128,975248043,942592000,1159987200,823164928
2022-04-19 18:10:30,2925744128,975248043,942592000,1159987200,823164928
2022-04-19 18:10:45,3380453376,1126817792,1482895360,625700864,1271857152
2022-04-19 18:11:00,3380453376,1126817792,1482895360,625700864,1271857152
2022-04-19 18:11:15,3775963136,1258654379,1132568576,1217298432,1426096128
2022-04-19 18:11:30,3775963136,1258654379,1132568576,1217298432,1426096128
2022-04-19 18:11:45,3101335552,1033778517,688459776,1130622976,1282252800
