"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 17:50:30,285 ms,243 ms,306 ms,305 ms
2022-04-19 17:50:32,263 ms,254 ms,271 ms,266 ms
2022-04-19 17:50:34,267 ms,260 ms,273 ms,266 ms
2022-04-19 17:50:36,268 ms,270 ms,265 ms,269 ms
2022-04-19 17:50:38,261 ms,271 ms,248 ms,264 ms
2022-04-19 17:50:40,258 ms,272 ms,249 ms,254 ms
2022-04-19 17:50:42,255 ms,263 ms,242 ms,258 ms
2022-04-19 17:50:44,260 ms,256 ms,257 ms,266 ms
2022-04-19 17:50:46,263 ms,258 ms,261 ms,269 ms
2022-04-19 17:50:48,280 ms,256 ms,300 ms,284 ms
2022-04-19 17:50:50,272 ms,249 ms,299 ms,268 ms
2022-04-19 17:50:52,271 ms,255 ms,295 ms,264 ms
2022-04-19 17:50:54,274 ms,278 ms,291 ms,252 ms
2022-04-19 17:50:56,268 ms,287 ms,279 ms,239 ms
2022-04-19 17:50:58,259 ms,296 ms,228 ms,252 ms
2022-04-19 17:51:00,265 ms,308 ms,229 ms,258 ms
2022-04-19 17:51:02,265 ms,300 ms,229 ms,266 ms
2022-04-19 17:51:04,261 ms,280 ms,242 ms,261 ms
2022-04-19 17:51:06,264 ms,283 ms,250 ms,259 ms
2022-04-19 17:51:08,262 ms,274 ms,255 ms,257 ms
2022-04-19 17:51:10,280 ms,318 ms,265 ms,258 ms
2022-04-19 17:51:12,282 ms,310 ms,270 ms,265 ms
2022-04-19 17:51:14,280 ms,316 ms,260 ms,264 ms
2022-04-19 17:51:16,277 ms,321 ms,258 ms,252 ms
2022-04-19 17:51:18,256 ms,252 ms,262 ms,255 ms
2022-04-19 17:51:20,254 ms,260 ms,251 ms,251 ms
2022-04-19 17:51:22,265 ms,287 ms,258 ms,251 ms
2022-04-19 17:51:24,278 ms,329 ms,256 ms,250 ms
2022-04-19 17:51:26,280 ms,326 ms,259 ms,256 ms
2022-04-19 17:51:28,287 ms,330 ms,276 ms,254 ms
2022-04-19 17:51:30,290 ms,323 ms,288 ms,259 ms
2022-04-19 17:51:32,282 ms,306 ms,278 ms,262 ms
2022-04-19 17:51:34,258 ms,239 ms,274 ms,262 ms
2022-04-19 17:51:36,262 ms,235 ms,265 ms,285 ms
2022-04-19 17:51:38,256 ms,236 ms,258 ms,274 ms
2022-04-19 17:51:40,292 ms,337 ms,267 ms,271 ms
2022-04-19 17:51:42,297 ms,337 ms,267 ms,287 ms
2022-04-19 17:51:44,299 ms,346 ms,270 ms,280 ms
2022-04-19 17:51:46,296 ms,337 ms,261 ms,289 ms
2022-04-19 17:51:48,276 ms,279 ms,258 ms,292 ms
2022-04-19 17:51:50,274 ms,266 ms,262 ms,292 ms
2022-04-19 17:51:52,274 ms,291 ms,261 ms,271 ms
2022-04-19 17:51:54,267 ms,306 ms,257 ms,238 ms
2022-04-19 17:51:56,278 ms,291 ms,275 ms,269 ms
2022-04-19 17:51:58,270 ms,277 ms,261 ms,272 ms
2022-04-19 17:52:00,269 ms,271 ms,265 ms,273 ms
2022-04-19 17:52:02,268 ms,260 ms,277 ms,268 ms
2022-04-19 17:52:04,263 ms,267 ms,256 ms,267 ms
2022-04-19 17:52:06,263 ms,271 ms,260 ms,257 ms
2022-04-19 17:52:08,257 ms,276 ms,246 ms,250 ms
2022-04-19 17:52:10,252 ms,275 ms,243 ms,240 ms
2022-04-19 17:52:12,244 ms,250 ms,242 ms,238 ms
2022-04-19 17:52:14,254 ms,286 ms,242 ms,232 ms
2022-04-19 17:52:16,261 ms,290 ms,259 ms,235 ms
2022-04-19 17:52:18,267 ms,278 ms,255 ms,269 ms
2022-04-19 17:52:20,270 ms,280 ms,260 ms,270 ms
2022-04-19 17:52:22,264 ms,273 ms,246 ms,274 ms
2022-04-19 17:52:24,250 ms,244 ms,225 ms,281 ms
2022-04-19 17:52:26,252 ms,252 ms,231 ms,273 ms
2022-04-19 17:52:28,251 ms,251 ms,236 ms,265 ms
2022-04-19 17:52:30,258 ms,253 ms,258 ms,262 ms
2022-04-19 17:52:32,277 ms,293 ms,276 ms,264 ms
2022-04-19 17:52:34,290 ms,298 ms,267 ms,304 ms
2022-04-19 17:52:36,299 ms,302 ms,282 ms,313 ms
2022-04-19 17:52:38,294 ms,300 ms,285 ms,297 ms
2022-04-19 17:52:40,289 ms,287 ms,278 ms,302 ms
2022-04-19 17:52:42,260 ms,230 ms,297 ms,255 ms
2022-04-19 17:52:44,272 ms,244 ms,297 ms,275 ms
2022-04-19 17:52:46,286 ms,303 ms,284 ms,272 ms
2022-04-19 17:52:48,293 ms,314 ms,288 ms,277 ms
2022-04-19 17:52:50,293 ms,310 ms,270 ms,299 ms
2022-04-19 17:52:52,302 ms,320 ms,291 ms,294 ms
2022-04-19 17:52:54,306 ms,333 ms,297 ms,289 ms
2022-04-19 17:52:56,285 ms,264 ms,299 ms,292 ms
2022-04-19 17:52:58,284 ms,266 ms,302 ms,285 ms
2022-04-19 17:53:00,276 ms,261 ms,283 ms,284 ms
2022-04-19 17:53:02,279 ms,259 ms,281 ms,298 ms
2022-04-19 17:53:04,280 ms,261 ms,284 ms,296 ms
2022-04-19 17:53:06,275 ms,256 ms,283 ms,287 ms
2022-04-19 17:53:08,277 ms,287 ms,271 ms,273 ms
2022-04-19 17:53:10,273 ms,283 ms,265 ms,271 ms
2022-04-19 17:53:12,286 ms,338 ms,262 ms,259 ms
2022-04-19 17:53:14,274 ms,320 ms,239 ms,262 ms
2022-04-19 17:53:16,283 ms,306 ms,280 ms,263 ms
