"Time","edge-server-cv-78d887c496-pr2rl","edge-server-cv-78d887c496-r2wgp","edge-server-cv-78d887c496-kcrxl","Average"
2022-04-19 17:50:30,22.4,34.0,27.5,28.0
2022-04-19 17:50:45,22.1,31.8,25.9,26.6
2022-04-19 17:51:00,22.1,31.8,25.9,26.6
2022-04-19 17:51:15,25.9,21.8,30.7,26.1
2022-04-19 17:51:30,25.9,21.8,30.7,26.1
2022-04-19 17:51:45,32.1,22.0,33.0,29.1
2022-04-19 17:52:00,32.1,22.0,33.0,29.1
2022-04-19 17:52:15,20.7,20.9,22.3,21.3
2022-04-19 17:52:30,20.7,20.9,22.3,21.3
2022-04-19 17:52:45,30.2,19.3,25.1,24.9
2022-04-19 17:53:00,30.2,19.3,25.1,24.9
2022-04-19 17:53:15,24.0,28.8,14.2,22.3
2022-04-19 17:53:30,24.0,28.8,14.2,22.3
2022-04-19 17:53:45,21.3,22.6,31.7,25.2
2022-04-19 17:54:00,21.3,22.6,31.7,25.2
2022-04-19 17:54:15,19.2,27.5,39.7,28.8
2022-04-19 17:54:30,19.2,27.5,39.7,28.8
2022-04-19 17:54:45,18.3,20.8,29.0,22.7
2022-04-19 17:55:00,18.3,20.8,29.0,22.7
2022-04-19 17:55:15,25.9,11.3,23.1,20.1
2022-04-19 17:55:30,25.9,11.3,23.1,20.1
2022-04-19 17:55:45,30.0,18.4,25.0,24.5
2022-04-19 17:56:00,30.0,18.4,25.0,24.5
2022-04-19 17:56:15,23.7,19.4,24.9,22.7
2022-04-19 17:56:30,23.7,19.4,24.9,22.7
2022-04-19 17:56:45,19.3,33.2,35.3,29.3
2022-04-19 17:57:00,19.3,33.2,35.3,29.3
2022-04-19 17:57:15,18.7,21.1,13.2,17.7
2022-04-19 17:57:30,18.7,21.1,13.2,17.7
2022-04-19 17:57:45,27.4,28.1,15.6,23.7
2022-04-19 17:58:00,27.4,28.1,15.6,23.7
2022-04-19 17:58:15,22.6,23.4,19.7,21.9
2022-04-19 17:58:30,22.6,23.4,19.7,21.9
2022-04-19 17:58:45,25.8,30.2,28.9,28.3
2022-04-19 17:59:00,25.8,30.2,28.9,28.3
2022-04-19 17:59:15,23.7,25.7,29.1,26.2
2022-04-19 17:59:30,23.7,25.7,29.1,26.2
2022-04-19 17:59:45,22.7,22.6,26.7,24.0
2022-04-19 18:00:00,22.7,22.6,26.7,24.0
2022-04-19 18:00:15,26.8,25.7,23.0,25.2
2022-04-19 18:00:30,26.8,25.7,23.0,25.2
