"Time","edge-server-cv-78d887c496-s6h4q","edge-server-cv-78d887c496-wf72b","edge-server-cv-78d887c496-cqvkm","average"
2022-04-19 17:15:30,0.897,0.610,0.850,0.786
2022-04-19 17:15:45,0.785,0.791,0.480,0.685
2022-04-19 17:16:00,0.785,0.791,0.480,0.685
2022-04-19 17:16:15,0.707,1.36,0.793,0.955
2022-04-19 17:16:30,0.707,1.36,0.793,0.955
2022-04-19 17:16:45,1.07,0.658,0.918,0.883
2022-04-19 17:17:00,1.07,0.658,0.918,0.883
2022-04-19 17:17:15,0.692,0.820,0.440,0.651
2022-04-19 17:17:30,0.692,0.820,0.440,0.651
2022-04-19 17:17:45,0.454,0.391,0.840,0.562
2022-04-19 17:18:00,0.454,0.391,0.840,0.562
2022-04-19 17:18:15,1.14,0.882,0.920,0.982
2022-04-19 17:18:30,1.14,0.882,0.920,0.982
2022-04-19 17:18:45,0.443,0.807,0.800,0.684
2022-04-19 17:19:00,0.443,0.807,0.800,0.684
2022-04-19 17:19:15,0.902,0.711,0.548,0.720
2022-04-19 17:19:30,0.902,0.711,0.548,0.720
2022-04-19 17:19:45,0.717,0.716,0.927,0.787
2022-04-19 17:20:00,0.717,0.716,0.927,0.787
2022-04-19 17:20:15,0.600,1.10,1.10,0.935
2022-04-19 17:20:30,0.600,1.10,1.10,0.935
2022-04-19 17:20:45,0.799,0.743,0.790,0.777
2022-04-19 17:21:00,0.799,0.743,0.790,0.777
2022-04-19 17:21:15,0.657,0.926,0.706,0.763
2022-04-19 17:21:30,0.657,0.926,0.706,0.763
2022-04-19 17:21:45,1.14,0.793,0.550,0.829
2022-04-19 17:22:00,1.14,0.793,0.550,0.829
2022-04-19 17:22:15,0.830,0.334,0.757,0.640
2022-04-19 17:22:30,0.830,0.334,0.757,0.640
2022-04-19 17:22:45,0.328,0.699,0.630,0.553
2022-04-19 17:23:00,0.328,0.699,0.630,0.553
2022-04-19 17:23:15,0.717,0.736,1.25,0.902
2022-04-19 17:23:30,0.717,0.736,1.25,0.902
2022-04-19 17:23:45,0.677,0.822,0.387,0.629
2022-04-19 17:24:00,0.677,0.822,0.387,0.629
2022-04-19 17:24:15,0.858,0.922,0.631,0.804
2022-04-19 17:24:30,0.858,0.922,0.631,0.804
2022-04-19 17:24:45,0.965,0.804,0.917,0.895
2022-04-19 17:25:00,0.965,0.804,0.917,0.895
2022-04-19 17:25:15,0.435,0.945,0.860,0.747
2022-04-19 17:25:30,0.435,0.945,0.860,0.747
2022-04-19 17:25:45,1.24,0.783,0.496,0.841
2022-04-19 17:26:00,1.24,0.783,0.496,0.841
2022-04-19 17:26:15,0.402,0.812,0.917,0.711
2022-04-19 17:26:30,0.402,0.812,0.917,0.711
2022-04-19 17:26:45,0.889,0.351,0.537,0.592
2022-04-19 17:27:00,0.889,0.351,0.537,0.592
2022-04-19 17:27:15,0.525,0.961,0.964,0.816
2022-04-19 17:27:30,0.525,0.961,0.964,0.816
2022-04-19 17:27:45,1.23,0.830,0.716,0.924
2022-04-19 17:28:00,1.23,0.830,0.716,0.924
2022-04-19 17:28:15,0.785,0.905,0.955,0.881
2022-04-19 17:28:30,0.785,0.905,0.955,0.881
2022-04-19 17:28:45,0.781,0.761,0.591,0.711
2022-04-19 17:29:00,0.781,0.761,0.591,0.711
2022-04-19 17:29:15,0.414,0.822,0.894,0.710
2022-04-19 17:29:30,0.414,0.822,0.894,0.710
2022-04-19 17:29:45,1.08,0.763,0.653,0.831
2022-04-19 17:30:00,1.08,0.763,0.653,0.831
2022-04-19 17:30:15,0.720,0.641,0.782,0.714
2022-04-19 17:30:30,0.720,0.641,0.782,0.714
2022-04-19 17:30:45,0.807,0.759,0.856,0.807
2022-04-19 17:31:00,0.807,0.759,0.856,0.807
2022-04-19 17:31:15,0.789,1.25,0.848,0.961
2022-04-19 17:31:30,0.789,1.25,0.848,0.961
2022-04-19 17:31:45,0.969,0.506,0.587,0.687
2022-04-19 17:32:00,0.969,0.506,0.587,0.687
2022-04-19 17:32:15,0.798,0.726,0.706,0.743
2022-04-19 17:32:30,0.798,0.726,0.706,0.743
2022-04-19 17:32:45,0.933,0.819,0.682,0.811
2022-04-19 17:33:00,0.933,0.819,0.682,0.811
2022-04-19 17:33:15,0.627,0.803,0.925,0.785
2022-04-19 17:33:30,0.627,0.803,0.925,0.785
2022-04-19 17:33:45,0.952,0.827,1.04,0.940
2022-04-19 17:34:00,0.952,0.827,1.04,0.940
2022-04-19 17:34:15,0.432,0.954,0.613,0.666
2022-04-19 17:34:30,0.432,0.954,0.613,0.666
2022-04-19 17:34:45,1.02,0.831,0.884,0.910
2022-04-19 17:35:00,1.02,0.831,0.884,0.910
2022-04-19 17:35:15,1.23,0.883,0.902,1.01
2022-04-19 17:35:30,1.23,0.883,0.902,1.01
2022-04-19 17:35:45,0.862,0.678,0.716,0.752
2022-04-19 17:36:00,0.862,0.678,0.716,0.752
2022-04-19 17:36:15,0.855,0.862,0.313,0.677
2022-04-19 17:36:30,0.855,0.862,0.313,0.677
2022-04-19 17:36:45,0.589,0.466,0.798,0.618
2022-04-19 17:37:00,0.589,0.466,0.798,0.618
2022-04-19 17:37:15,0.800,0.872,1.07,0.915
2022-04-19 17:37:30,0.800,0.872,1.07,0.915
2022-04-19 17:37:45,0.731,0.644,1.07,0.815
2022-04-19 17:38:00,0.731,0.644,1.07,0.815
2022-04-19 17:38:15,0.707,0.922,0.673,0.767
2022-04-19 17:38:30,0.707,0.922,0.673,0.767
2022-04-19 17:38:45,0.649,0.876,1.07,0.864
2022-04-19 17:39:00,0.649,0.876,1.07,0.864
2022-04-19 17:39:15,0.853,0.914,0.885,0.884
2022-04-19 17:39:30,0.853,0.914,0.885,0.884
2022-04-19 17:39:45,0.830,0.860,0.809,0.833
2022-04-19 17:40:00,0.830,0.860,0.809,0.833
2022-04-19 17:40:15,0.942,0.715,1.13,0.928
2022-04-19 17:40:30,0.942,0.715,1.13,0.928
2022-04-19 17:40:45,1.16,0.842,0.736,0.914
2022-04-19 17:41:00,1.16,0.842,0.736,0.914
2022-04-19 17:41:15,0.505,0.738,0.930,0.724
2022-04-19 17:41:30,0.505,0.738,0.930,0.724
2022-04-19 17:41:45,1.06,0.797,0.887,0.916
2022-04-19 17:42:00,1.06,0.797,0.887,0.916
2022-04-19 17:42:15,1.08,0.580,0.696,0.786
2022-04-19 17:42:30,1.08,0.580,0.696,0.786
2022-04-19 17:42:45,0.675,0.991,0.705,0.790
2022-04-19 17:43:00,0.675,0.991,0.705,0.790
2022-04-19 17:43:15,0.904,0.980,0.897,0.927
2022-04-19 17:43:30,0.904,0.980,0.897,0.927
2022-04-19 17:43:45,0.882,0.644,0.789,0.772
2022-04-19 17:44:00,0.882,0.644,0.789,0.772
2022-04-19 17:44:15,0.983,0.720,0.947,0.884
2022-04-19 17:44:30,0.983,0.720,0.947,0.884

