"Time","edge-server-cv-78d887c496-s6h4q 60s","edge-server-cv-78d887c496-wf72b 60s","edge-server-cv-78d887c496-cqvkm 60s","average"
2022-04-19 17:15:30,0.346,0.255,0.251,0.284
2022-04-19 17:15:45,0.435,0.381,0.327,0.381
2022-04-19 17:16:00,0.435,0.381,0.327,0.381
2022-04-19 17:16:15,0.421,0.818,0.319,0.519
2022-04-19 17:16:30,0.421,0.818,0.319,0.519
2022-04-19 17:16:45,0.495,0.266,0.605,0.455
2022-04-19 17:17:00,0.495,0.266,0.605,0.455
2022-04-19 17:17:15,0.251,0.396,0.181,0.276
2022-04-19 17:17:30,0.251,0.396,0.181,0.276
2022-04-19 17:17:45,0.136,0.139,0.432,0.236
2022-04-19 17:18:00,0.136,0.139,0.432,0.236
2022-04-19 17:18:15,0.511,0.436,0.338,0.428
2022-04-19 17:18:30,0.511,0.436,0.338,0.428
2022-04-19 17:18:45,0.244,0.342,0.282,0.289
2022-04-19 17:19:00,0.244,0.342,0.282,0.289
2022-04-19 17:19:15,0.533,0.399,0.377,0.436
2022-04-19 17:19:30,0.533,0.399,0.377,0.436
2022-04-19 17:19:45,0.285,0.256,0.437,0.326
2022-04-19 17:20:00,0.285,0.256,0.437,0.326
2022-04-19 17:20:15,0.341,0.451,0.433,0.408
2022-04-19 17:20:30,0.341,0.451,0.433,0.408
2022-04-19 17:20:45,0.311,0.308,0.340,0.320
2022-04-19 17:21:00,0.311,0.308,0.340,0.320
2022-04-19 17:21:15,0.283,0.485,0.299,0.356
2022-04-19 17:21:30,0.283,0.485,0.299,0.356
2022-04-19 17:21:45,0.549,0.512,0.122,0.394
2022-04-19 17:22:00,0.549,0.512,0.122,0.394
2022-04-19 17:22:15,0.426,0.0996,0.358,0.295
2022-04-19 17:22:30,0.426,0.0996,0.358,0.295
2022-04-19 17:22:45,0.0811,0.283,0.136,0.167
2022-04-19 17:23:00,0.0811,0.283,0.136,0.167
2022-04-19 17:23:15,0.392,0.271,0.659,0.441
2022-04-19 17:23:30,0.392,0.271,0.659,0.441
2022-04-19 17:23:45,0.246,0.383,0.0898,0.240
2022-04-19 17:24:00,0.246,0.383,0.0898,0.240
2022-04-19 17:24:15,0.364,0.440,0.224,0.343
2022-04-19 17:24:30,0.364,0.440,0.224,0.343
2022-04-19 17:24:45,0.356,0.559,0.294,0.403
2022-04-19 17:25:00,0.356,0.559,0.294,0.403
2022-04-19 17:25:15,0.129,0.383,0.350,0.287
2022-04-19 17:25:30,0.129,0.383,0.350,0.287
2022-04-19 17:25:45,0.598,0.425,0.256,0.426
2022-04-19 17:26:00,0.598,0.425,0.256,0.426
2022-04-19 17:26:15,0.139,0.313,0.455,0.302
2022-04-19 17:26:30,0.139,0.313,0.455,0.302
2022-04-19 17:26:45,0.359,0.0855,0.270,0.238
2022-04-19 17:27:00,0.359,0.0855,0.270,0.238
2022-04-19 17:27:15,0.254,0.470,0.336,0.354
2022-04-19 17:27:30,0.254,0.470,0.336,0.354
2022-04-19 17:27:45,0.615,0.307,0.465,0.462
2022-04-19 17:28:00,0.615,0.307,0.465,0.462
2022-04-19 17:28:15,0.245,0.418,0.405,0.356
2022-04-19 17:28:30,0.245,0.418,0.405,0.356
2022-04-19 17:28:45,0.292,0.408,0.179,0.293
2022-04-19 17:29:00,0.292,0.408,0.179,0.293
2022-04-19 17:29:15,0.169,0.253,0.603,0.342
2022-04-19 17:29:30,0.169,0.253,0.603,0.342
2022-04-19 17:29:45,0.523,0.406,0.389,0.439
2022-04-19 17:30:00,0.523,0.406,0.389,0.439
2022-04-19 17:30:15,0.256,0.228,0.442,0.309
2022-04-19 17:30:30,0.256,0.228,0.442,0.309
2022-04-19 17:30:45,0.269,0.359,0.313,0.313
2022-04-19 17:31:00,0.269,0.359,0.313,0.313
2022-04-19 17:31:15,0.331,0.674,0.378,0.461
2022-04-19 17:31:30,0.331,0.674,0.378,0.461
2022-04-19 17:31:45,0.374,0.156,0.146,0.225
2022-04-19 17:32:00,0.374,0.156,0.146,0.225
2022-04-19 17:32:15,0.411,0.315,0.245,0.324
2022-04-19 17:32:30,0.411,0.315,0.245,0.324
2022-04-19 17:32:45,0.280,0.261,0.347,0.296
2022-04-19 17:33:00,0.280,0.261,0.347,0.296
2022-04-19 17:33:15,0.272,0.264,0.323,0.287
2022-04-19 17:33:30,0.272,0.264,0.323,0.287
2022-04-19 17:33:45,0.395,0.357,0.580,0.444
2022-04-19 17:34:00,0.395,0.357,0.580,0.444
2022-04-19 17:34:15,0.197,0.365,0.160,0.241
2022-04-19 17:34:30,0.197,0.365,0.160,0.241
2022-04-19 17:34:45,0.444,0.395,0.444,0.428
2022-04-19 17:35:00,0.444,0.395,0.444,0.428
2022-04-19 17:35:15,0.676,0.403,0.463,0.514
2022-04-19 17:35:30,0.676,0.403,0.463,0.514
2022-04-19 17:35:45,0.369,0.227,0.233,0.276
2022-04-19 17:36:00,0.369,0.227,0.233,0.276
2022-04-19 17:36:15,0.246,0.441,0.0919,0.260
