"Time","Average Request Rate","edge-server-cv-78d887c496-cqvkm Requests/2s","edge-server-cv-78d887c496-s6h4q Requests/2s","edge-server-cv-78d887c496-wf72b Requests/2s","avg_requests/30"
2022-04-19 17:15:30,1,0,2,1,6.66
2022-04-19 17:15:32,2.34,1.000,2,4.01,6.72
2022-04-19 17:15:34,4,2.00,3,7,6.83
2022-04-19 17:15:36,2,1.000,1,4,7.00
2022-04-19 17:15:38,2.33,5.00,1,1,6.97
2022-04-19 17:15:40,4,2.00,6,4,7.41
2022-04-19 17:15:42,3.33,4.00,4,2,7.83
2022-04-19 17:15:44,3,3.00,2,4,7.83
2022-04-19 17:15:46,3,4.00,1,4,7.97
2022-04-19 17:15:48,2.33,2.00,1,4,7.93
2022-04-19 17:15:50,2.00,0,3,2.99,8.00
2022-04-19 17:15:52,0.667,1.000,0,1,7.66
2022-04-19 17:15:54,1,0,2,1,7.45
2022-04-19 17:15:56,2.00,3.00,0,3,7.41
2022-04-19 17:15:58,1.34,2.02,2,0,7.28
2022-04-19 17:16:00,2,1.000,2,3,7.55
2022-04-19 17:16:02,3,4.00,2,3,7.55
2022-04-19 17:16:04,3.67,3.00,4,4,7.52
2022-04-19 17:16:06,2.33,3.00,1,3,7.59
2022-04-19 17:16:08,2,2.00,2,2,7.62
2022-04-19 17:16:10,3.34,4.01,4,2,7.34
2022-04-19 17:16:12,4.34,2.01,5,6,7.52
2022-04-19 17:16:14,1.33,1.000,2,1,7.24
2022-04-19 17:16:16,2.67,2.00,4,2,7.24
2022-04-19 17:16:18,2.67,3.00,5,0,7.28
2022-04-19 17:16:20,2.67,2.00,2,4,7.21
2022-04-19 17:16:22,1.33,2.00,1,1,7.24
2022-04-19 17:16:24,1.67,2.00,1,2,7.24
2022-04-19 17:16:26,2.67,4.00,3,1,7.28
2022-04-19 17:16:28,2.67,3.00,3,2,7.14
2022-04-19 17:16:30,1.67,2.00,2,1,7.38
2022-04-19 17:16:32,3,3.00,3,3,7.31
2022-04-19 17:16:34,2.33,5.00,0,2,7.38
2022-04-19 17:16:36,2,4.00,2,0,7.17
2022-04-19 17:16:38,2.67,4.00,4,0,7.14
2022-04-19 17:16:40,2,3.00,2,1,6.76
2022-04-19 17:16:42,1.67,1.000,3,1,6.62
2022-04-19 17:16:44,3.33,3.98,3,3,6.79
2022-04-19 17:16:46,1,1.000,2,0,6.69
2022-04-19 17:16:48,3.33,2.00,4,4,6.76
2022-04-19 17:16:50,2.67,2.00,1,5,6.83
2022-04-19 17:16:52,3.00,5.00,2,2,7.17
2022-04-19 17:16:54,2,2.00,2,2,7.28
2022-04-19 17:16:56,1.33,2.00,1,1,7.03
2022-04-19 17:16:58,2.00,2.00,0,4,6.76
2022-04-19 17:17:00,1.33,2.00,0,2,6.52
2022-04-19 17:17:02,2.33,4.00,2,1,6.28
2022-04-19 17:17:04,2.33,4.00,2,1,6.38
2022-04-19 17:17:06,2.00,3.00,1.99,1,6.52
2022-04-19 17:17:08,3.00,5.00,1,3.01,6.69
2022-04-19 17:17:10,0.333,0,1,0,6.41
2022-04-19 17:17:12,1,1.000,1,1,6.24
2022-04-19 17:17:14,1,1.000,1,1,6.14
2022-04-19 17:17:16,2.33,2.00,4,1,6.38
2022-04-19 17:17:18,1.67,1.000,1,3,6.31
2022-04-19 17:17:20,1.33,1.000,0,3,6.03
2022-04-19 17:17:22,2.33,2.00,3,2,6.00
2022-04-19 17:17:24,2,3.00,2,1,6.10
2022-04-19 17:17:26,5,2.00,6,7,6.48
2022-04-19 17:17:28,2.33,3.00,3,1,6.72
2022-04-19 17:17:30,2.00,2.00,0,4,6.90
2022-04-19 17:17:32,1,1.000,1,1,6.76
2022-04-19 17:17:34,1.33,1.000,1,2,6.48
2022-04-19 17:17:36,2.33,1.000,5,1,6.41
2022-04-19 17:17:38,1.33,2.00,1,1,6.21
2022-04-19 17:17:40,2.00,2.00,3,1,6.62
2022-04-19 17:17:42,3,3.00,3,3,6.72
2022-04-19 17:17:44,2.67,4.00,4,0,6.97
2022-04-19 17:17:46,4,8.00,1,3,6.97
2022-04-19 17:17:48,2,0,3,3,7.21
2022-04-19 17:17:50,3.67,3.00,4,4,7.34
2022-04-19 17:17:52,0.667,1.000,0,1,7.24
2022-04-19 17:17:54,3,3.00,2,4,7.34
2022-04-19 17:17:56,2,1.000,3,2,7.07
2022-04-19 17:17:58,1.33,2.00,1,1,6.69
2022-04-19 17:18:00,1.000,2.00,0,1,6.55
2022-04-19 17:18:02,1,1.000,0,2,6.52
2022-04-19 17:18:04,1.33,2.00,0,2,6.72
2022-04-19 17:18:06,4,2.00,7,3,7.07
2022-04-19 17:18:08,2,1.000,3,2,7.00
2022-04-19 17:18:10,1.33,4.00,0,0,6.83
2022-04-19 17:18:12,0.667,0,1,1,6.41
2022-04-19 17:18:14,1.33,1.000,1,2,6.45
2022-04-19 17:18:16,2,1.000,4,1,6.07
2022-04-19 17:18:18,1,1.000,1,1,6
2022-04-19 17:18:20,2.67,5.00,2,1,5.83
2022-04-19 17:18:22,1.67,2.00,0,3,5.90
2022-04-19 17:18:24,3.33,4.00,3,3,5.79
2022-04-19 17:18:26,1.67,2.00,2,1,6.00
2022-04-19 17:18:28,2.33,2.00,2,3,6.10
2022-04-19 17:18:30,2.34,3.00,1,3.01,6.38
2022-04-19 17:18:32,2.33,3.00,0,4,6.38
2022-04-19 17:18:34,2.67,6.00,1,1,6.59
2022-04-19 17:18:36,1.33,2.00,1,0.985,6.24
2022-04-19 17:18:38,1.01,2.00,0,1.02,6.17
