"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-s6h4q Memory Usage","edge-server-cv-78d887c496-wf72b Memory Usage","edge-server-cv-78d887c496-cqvkm Memory Usage"
2022-04-19 17:15:30,4204572672,1401524224,1554067456,1241587712,1408917504
2022-04-19 17:15:45,3719892992,1239964331,1043177472,1258713088,1418002432
2022-04-19 17:16:00,3719892992,1239964331,1043177472,1258713088,1418002432
2022-04-19 17:16:15,3640766464,1213588821,1108975616,1109254144,1422536704
2022-04-19 17:16:30,3640766464,1213588821,1108975616,1109254144,1422536704
2022-04-19 17:16:45,3506974720,1168991573,1226579968,1186988032,1093406720
2022-04-19 17:17:00,3506974720,1168991573,1226579968,1186988032,1093406720
2022-04-19 17:17:15,3389976576,1129992192,1237008384,1048862720,1104105472
2022-04-19 17:17:30,3389976576,1129992192,1237008384,1048862720,1104105472
2022-04-19 17:17:45,3674349568,1224783189,1430867968,1113161728,1130319872
2022-04-19 17:18:00,3674349568,1224783189,1430867968,1113161728,1130319872
2022-04-19 17:18:15,3607044096,1202348032,1549426688,998744064,1058873344
2022-04-19 17:18:30,3607044096,1202348032,1549426688,998744064,1058873344
2022-04-19 17:18:45,3991011328,1330337109,1371922432,1295265792,1323823104
2022-04-19 17:19:00,3991011328,1330337109,1371922432,1295265792,1323823104
2022-04-19 17:19:15,3596734464,1198911488,1080393728,1118072832,1398267904
2022-04-19 17:19:30,3596734464,1198911488,1080393728,1118072832,1398267904
2022-04-19 17:19:45,3475779584,1158593195,1331687424,1252134912,891957248
2022-04-19 17:20:00,3475779584,1158593195,1331687424,1252134912,891957248
2022-04-19 17:20:15,2540220416,846740139,629276672,861331456,1049612288
2022-04-19 17:20:30,2540220416,846740139,629276672,861331456,1049612288
2022-04-19 17:20:45,3368644608,1122881536,1153449984,959750144,1255444480
2022-04-19 17:21:00,3368644608,1122881536,1153449984,959750144,1255444480
2022-04-19 17:21:15,3352735744,1117578581,1082458112,1259728896,1010548736
2022-04-19 17:21:30,3352735744,1117578581,1082458112,1259728896,1010548736
2022-04-19 17:21:45,3172519936,1057506645,951316480,939667456,1281536000
2022-04-19 17:22:00,3172519936,1057506645,951316480,939667456,1281536000
