"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:15:30,325 ms,373 ms,271 ms,332 ms
2022-04-19 17:15:32,294 ms,275 ms,279 ms,327 ms
2022-04-19 17:15:34,344 ms,279 ms,285 ms,467 ms
2022-04-19 17:15:36,340 ms,253 ms,284 ms,483 ms
2022-04-19 17:15:38,353 ms,309 ms,281 ms,470 ms
2022-04-19 17:15:40,411 ms,318 ms,462 ms,455 ms
2022-04-19 17:15:42,408 ms,363 ms,485 ms,376 ms
2022-04-19 17:15:44,382 ms,356 ms,483 ms,309 ms
2022-04-19 17:15:46,376 ms,364 ms,487 ms,276 ms
2022-04-19 17:15:48,390 ms,346 ms,479 ms,345 ms
2022-04-19 17:15:50,324 ms,301 ms,319 ms,353 ms
2022-04-19 17:15:52,319 ms,296 ms,317 ms,345 ms
2022-04-19 17:15:54,307 ms,300 ms,262 ms,358 ms
2022-04-19 17:15:56,292 ms,272 ms,262 ms,340 ms
2022-04-19 17:15:58,269 ms,272 ms,274 ms,262 ms
2022-04-19 17:16:00,281 ms,270 ms,297 ms,275 ms
2022-04-19 17:16:02,284 ms,264 ms,315 ms,273 ms
2022-04-19 17:16:04,304 ms,272 ms,326 ms,313 ms
2022-04-19 17:16:06,319 ms,270 ms,325 ms,362 ms
2022-04-19 17:16:08,330 ms,278 ms,299 ms,414 ms
2022-04-19 17:16:10,341 ms,284 ms,320 ms,419 ms
2022-04-19 17:16:12,360 ms,286 ms,379 ms,416 ms
2022-04-19 17:16:14,354 ms,276 ms,383 ms,404 ms
2022-04-19 17:16:16,328 ms,290 ms,372 ms,321 ms
2022-04-19 17:16:18,351 ms,358 ms,380 ms,315 ms
2022-04-19 17:16:20,333 ms,369 ms,357 ms,274 ms
2022-04-19 17:16:22,310 ms,372 ms,282 ms,275 ms
2022-04-19 17:16:24,307 ms,359 ms,286 ms,277 ms
2022-04-19 17:16:26,293 ms,306 ms,307 ms,265 ms
2022-04-19 17:16:28,285 ms,301 ms,269 ms,285 ms
2022-04-19 17:16:30,317 ms,302 ms,276 ms,375 ms
2022-04-19 17:16:32,325 ms,340 ms,284 ms,352 ms
2022-04-19 17:16:34,364 ms,443 ms,288 ms,362 ms
2022-04-19 17:16:36,366 ms,434 ms,282 ms,383 ms
2022-04-19 17:16:38,345 ms,450 ms,287 ms,297 ms
2022-04-19 17:16:40,345 ms,459 ms,282 ms,295 ms
2022-04-19 17:16:42,288 ms,313 ms,292 ms,260 ms
2022-04-19 17:16:44,289 ms,303 ms,280 ms,285 ms
2022-04-19 17:16:46,285 ms,296 ms,276 ms,284 ms
2022-04-19 17:16:48,285 ms,261 ms,282 ms,313 ms
2022-04-19 17:16:50,292 ms,268 ms,284 ms,325 ms
2022-04-19 17:16:52,290 ms,288 ms,269 ms,312 ms
2022-04-19 17:16:54,291 ms,293 ms,274 ms,307 ms
2022-04-19 17:16:56,292 ms,288 ms,280 ms,307 ms
2022-04-19 17:16:58,283 ms,286 ms,274 ms,287 ms
2022-04-19 17:17:00,266 ms,272 ms,267 ms,259 ms
2022-04-19 17:17:02,251 ms,255 ms,241 ms,258 ms
2022-04-19 17:17:04,260 ms,256 ms,253 ms,272 ms
2022-04-19 17:17:06,263 ms,270 ms,249 ms,270 ms
2022-04-19 17:17:08,282 ms,305 ms,252 ms,287 ms
2022-04-19 17:17:10,292 ms,309 ms,257 ms,311 ms
2022-04-19 17:17:12,289 ms,314 ms,264 ms,291 ms
2022-04-19 17:17:14,294 ms,323 ms,272 ms,287 ms
2022-04-19 17:17:16,277 ms,289 ms,268 ms,274 ms
2022-04-19 17:17:18,269 ms,286 ms,270 ms,250 ms
2022-04-19 17:17:20,269 ms,285 ms,267 ms,254 ms
2022-04-19 17:17:22,267 ms,307 ms,250 ms,242 ms
2022-04-19 17:17:24,265 ms,309 ms,239 ms,249 ms
2022-04-19 17:17:26,278 ms,289 ms,256 ms,289 ms
2022-04-19 17:17:28,281 ms,292 ms,266 ms,285 ms
2022-04-19 17:17:30,283 ms,288 ms,281 ms,280 ms
2022-04-19 17:17:32,276 ms,266 ms,281 ms,281 ms
2022-04-19 17:17:34,282 ms,260 ms,310 ms,276 ms
2022-04-19 17:17:36,293 ms,260 ms,369 ms,251 ms
2022-04-19 17:17:38,301 ms,261 ms,382 ms,258 ms
2022-04-19 17:17:40,291 ms,261 ms,363 ms,248 ms
2022-04-19 17:17:42,291 ms,260 ms,346 ms,268 ms
2022-04-19 17:17:44,293 ms,262 ms,347 ms,268 ms
2022-04-19 17:17:46,320 ms,303 ms,313 ms,343 ms
2022-04-19 17:17:48,357 ms,303 ms,323 ms,446 ms
2022-04-19 17:17:50,347 ms,307 ms,306 ms,429 ms
2022-04-19 17:17:52,351 ms,314 ms,297 ms,442 ms
2022-04-19 17:17:54,339 ms,315 ms,272 ms,431 ms
2022-04-19 17:17:56,296 ms,314 ms,284 ms,290 ms
2022-04-19 17:17:58,295 ms,316 ms,276 ms,293 ms
2022-04-19 17:18:00,305 ms,317 ms,298 ms,298 ms
2022-04-19 17:18:02,304 ms,313 ms,303 ms,297 ms
2022-04-19 17:18:04,282 ms,281 ms,310 ms,253 ms
2022-04-19 17:18:06,307 ms,277 ms,371 ms,272 ms
2022-04-19 17:18:08,307 ms,277 ms,349 ms,294 ms
2022-04-19 17:18:10,328 ms,278 ms,344 ms,361 ms
2022-04-19 17:18:12,330 ms,282 ms,335 ms,374 ms
2022-04-19 17:18:14,330 ms,282 ms,333 ms,374 ms
2022-04-19 17:18:16,306 ms,282 ms,262 ms,374 ms
2022-04-19 17:18:18,276 ms,290 ms,267 ms,269 ms
2022-04-19 17:18:20,277 ms,295 ms,266 ms,270 ms
2022-04-19 17:18:22,267 ms,265 ms,270 ms,266 ms
