"Time","edge-server-cv-78d887c496-s6h4q","edge-server-cv-78d887c496-wf72b","edge-server-cv-78d887c496-cqvkm","Average"
2022-04-19 17:15:30,37.1,29.6,33.6,33.4
2022-04-19 17:15:45,24.9,30.0,33.8,29.6
2022-04-19 17:16:00,24.9,30.0,33.8,29.6
2022-04-19 17:16:15,26.4,26.4,33.9,28.9
2022-04-19 17:16:30,26.4,26.4,33.9,28.9
2022-04-19 17:16:45,29.2,28.3,26.1,27.9
2022-04-19 17:17:00,29.2,28.3,26.1,27.9
2022-04-19 17:17:15,29.5,25.0,26.3,26.9
2022-04-19 17:17:30,29.5,25.0,26.3,26.9
2022-04-19 17:17:45,34.1,26.5,26.9,29.2
2022-04-19 17:18:00,34.1,26.5,26.9,29.2
2022-04-19 17:18:15,36.9,23.8,25.2,28.7
2022-04-19 17:18:30,36.9,23.8,25.2,28.7
2022-04-19 17:18:45,32.7,30.9,31.6,31.7
2022-04-19 17:19:00,32.7,30.9,31.6,31.7
2022-04-19 17:19:15,25.8,26.7,33.3,28.6
2022-04-19 17:19:30,25.8,26.7,33.3,28.6
2022-04-19 17:19:45,31.7,29.9,21.3,27.6
2022-04-19 17:20:00,31.7,29.9,21.3,27.6
2022-04-19 17:20:15,15.0,20.5,25.0,20.2
2022-04-19 17:20:30,15.0,20.5,25.0,20.2
2022-04-19 17:20:45,27.5,22.9,29.9,26.8
2022-04-19 17:21:00,27.5,22.9,29.9,26.8
2022-04-19 17:21:15,25.8,30.0,24.1,26.6
2022-04-19 17:21:30,25.8,30.0,24.1,26.6
2022-04-19 17:21:45,22.7,22.4,30.6,25.2
2022-04-19 17:22:00,22.7,22.4,30.6,25.2
2022-04-19 17:22:15,22.4,25.4,25.7,24.5
2022-04-19 17:22:30,22.4,25.4,25.7,24.5
2022-04-19 17:22:45,29.1,33.1,30.2,30.8
2022-04-19 17:23:00,29.1,33.1,30.2,30.8
2022-04-19 17:23:15,18.4,31.8,21.2,23.8
2022-04-19 17:23:30,18.4,31.8,21.2,23.8
2022-04-19 17:23:45,23.8,28.6,20.9,24.4
2022-04-19 17:24:00,23.8,28.6,20.9,24.4
2022-04-19 17:24:15,26.6,28.1,26.6,27.1
2022-04-19 17:24:30,26.6,28.1,26.6,27.1
2022-04-19 17:24:45,25.3,22.1,31.7,26.4
2022-04-19 17:25:00,25.3,22.1,31.7,26.4
2022-04-19 17:25:15,30.6,28.3,21.8,26.9
2022-04-19 17:25:30,30.6,28.3,21.8,26.9
2022-04-19 17:25:45,23.7,20.1,30.8,24.9
2022-04-19 17:26:00,23.7,20.1,30.8,24.9
2022-04-19 17:26:15,26.6,33.6,28.2,29.5
2022-04-19 17:26:30,26.6,33.6,28.2,29.5
2022-04-19 17:26:45,27.6,25.2,20.6,24.5
2022-04-19 17:27:00,27.6,25.2,20.6,24.5
2022-04-19 17:27:15,25.2,26.0,26.2,25.8
2022-04-19 17:27:30,25.2,26.0,26.2,25.8
2022-04-19 17:27:45,26.4,32.2,21.6,26.7
2022-04-19 17:28:00,26.4,32.2,21.6,26.7
2022-04-19 17:28:15,24.0,31.5,22.1,25.9
2022-04-19 17:28:30,24.0,31.5,22.1,25.9
2022-04-19 17:28:45,40.7,26.3,26.2,31.1
2022-04-19 17:29:00,40.7,26.3,26.2,31.1
2022-04-19 17:29:15,35.5,25.4,30.4,30.5
2022-04-19 17:29:30,35.5,25.4,30.4,30.5
2022-04-19 17:29:45,30.1,31.0,22.4,27.8
