"Time","edge-server-cv-78d887c496-f2l75","edge-server-cv-78d887c496-wrh5q","edge-server-cv-78d887c496-fczhb","average"
2022-04-19 18:24:45,1.13,1.01,1.22,1.12
2022-04-19 18:25:00,1.13,1.01,1.32,1.16
2022-04-19 18:25:15,1.09,1.40,1.48,1.32
2022-04-19 18:25:30,1.09,1.40,1.48,1.32
2022-04-19 18:25:45,1.33,0.992,1.23,1.18
2022-04-19 18:26:00,1.33,0.992,1.23,1.18
2022-04-19 18:26:15,1.44,1.40,1.22,1.35
2022-04-19 18:26:30,1.44,1.40,1.22,1.35
2022-04-19 18:26:45,0.732,0.986,1.24,0.986
2022-04-19 18:27:00,0.732,0.986,1.24,0.986
2022-04-19 18:27:15,1.32,1.49,1.33,1.38
2022-04-19 18:27:30,1.32,1.49,1.33,1.38
2022-04-19 18:27:45,0.972,1.17,1.32,1.15
2022-04-19 18:28:00,0.972,1.17,1.32,1.15
2022-04-19 18:28:15,1.56,1.49,0.706,1.25
2022-04-19 18:28:30,1.56,1.49,0.706,1.25
2022-04-19 18:28:45,1.46,0.889,1.43,1.26
2022-04-19 18:29:00,1.46,0.889,1.43,1.26
2022-04-19 18:29:15,1.35,1.32,1.46,1.38
2022-04-19 18:29:30,1.35,1.32,1.46,1.38
2022-04-19 18:29:45,1.03,1.54,1.32,1.30
2022-04-19 18:30:00,1.03,1.54,1.32,1.30
2022-04-19 18:30:15,1.48,1.13,1.16,1.26
2022-04-19 18:30:30,1.48,1.13,1.16,1.26
2022-04-19 18:30:45,0.889,0.917,1.38,1.06
2022-04-19 18:31:00,0.889,0.917,1.38,1.06
2022-04-19 18:31:15,1.48,1.16,1.16,1.27
2022-04-19 18:31:30,1.48,1.16,1.16,1.27
2022-04-19 18:31:45,1.29,1.69,0.830,1.27
2022-04-19 18:32:00,1.29,1.69,0.830,1.27
2022-04-19 18:32:15,1.54,1.32,1.39,1.42
2022-04-19 18:32:30,1.54,1.32,1.39,1.42
2022-04-19 18:32:45,0.857,1.14,1.13,1.04
2022-04-19 18:33:00,0.857,1.14,1.13,1.04
2022-04-19 18:33:15,1.22,1.30,1.42,1.32
2022-04-19 18:33:30,1.22,1.30,1.42,1.32
2022-04-19 18:33:45,1.86,1.26,1.43,1.51
2022-04-19 18:34:00,1.86,1.26,1.43,1.51
2022-04-19 18:34:15,1.35,1.65,1.53,1.51
2022-04-19 18:34:30,1.35,1.65,1.53,1.51
2022-04-19 18:34:45,1.06,1.66,1.56,1.43
2022-04-19 18:35:00,1.06,1.66,1.56,1.43
2022-04-19 18:35:15,1.36,0.988,1.42,1.26
2022-04-19 18:35:30,1.36,0.988,1.42,1.26
2022-04-19 18:35:45,1.03,1.13,0.632,0.930
2022-04-19 18:36:00,1.03,1.13,0.632,0.930
2022-04-19 18:36:15,1.44,1.26,1.87,1.52
2022-04-19 18:36:30,1.44,1.26,1.87,1.52
2022-04-19 18:36:45,1.40,1.22,1.23,1.28
2022-04-19 18:37:00,1.40,1.22,1.23,1.28
2022-04-19 18:37:15,1.08,1.36,1.29,1.24
2022-04-19 18:37:30,1.08,1.36,1.29,1.24
2022-04-19 18:37:45,1.38,1.02,1.26,1.22
2022-04-19 18:38:00,1.38,1.02,1.26,1.22
2022-04-19 18:38:15,1.60,1.58,0.874,1.35
2022-04-19 18:38:30,1.60,1.58,0.874,1.35
2022-04-19 18:38:45,1.14,1.19,1.59,1.31
2022-04-19 18:39:00,1.14,1.19,1.59,1.31
2022-04-19 18:39:15,1.01,1.28,1.43,1.24
2022-04-19 18:39:30,1.01,1.28,1.43,1.24
2022-04-19 18:39:45,1.38,0.701,0.969,1.02
2022-04-19 18:40:00,1.38,0.701,0.969,1.02
2022-04-19 18:40:15,1.23,1.47,1.53,1.41
2022-04-19 18:40:30,1.23,1.47,1.53,1.41
2022-04-19 18:40:45,1.29,1.86,1.51,1.55
2022-04-19 18:41:00,1.29,1.86,1.51,1.55
2022-04-19 18:41:15,1.30,1.56,1.57,1.48
2022-04-19 18:41:30,1.30,1.56,1.57,1.48
2022-04-19 18:41:45,1.33,0.771,1.03,1.04
2022-04-19 18:42:00,1.33,0.771,1.03,1.04
2022-04-19 18:42:15,1.29,1.44,1.32,1.35
2022-04-19 18:42:30,1.29,1.44,1.32,1.35
2022-04-19 18:42:45,1.53,1.79,1.39,1.57
2022-04-19 18:43:00,1.53,1.79,1.39,1.57
2022-04-19 18:43:15,1.03,0.719,1.15,0.967
2022-04-19 18:43:30,1.03,0.719,1.15,0.967
2022-04-19 18:43:45,1.65,1.48,1.17,1.43
2022-04-19 18:44:00,1.65,1.48,1.17,1.43
2022-04-19 18:44:15,1.03,1.91,1.44,1.46
2022-04-19 18:44:30,1.03,1.91,1.44,1.46
2022-04-19 18:44:45,1.37,1.04,1.25,1.22
2022-04-19 18:45:00,1.37,1.04,1.25,1.22
