"Time","edge-server-cv-78d887c496-f2l75 60s","edge-server-cv-78d887c496-wrh5q 60s","edge-server-cv-78d887c496-fczhb 60s","average"
2022-04-19 18:24:45,0.838,0.597,0.562,0.665
2022-04-19 18:25:00,0.838,0.597,0.562,0.665
2022-04-19 18:25:15,0.662,2.05,1.01,1.24
2022-04-19 18:25:30,0.662,2.05,1.01,1.24
2022-04-19 18:25:45,0.831,0.405,0.776,0.671
2022-04-19 18:26:00,0.831,0.405,0.776,0.671
2022-04-19 18:26:15,1.24,1.15,0.650,1.01
2022-04-19 18:26:30,1.24,1.15,0.650,1.01
2022-04-19 18:26:45,0.440,0.607,1.09,0.714
2022-04-19 18:27:00,0.440,0.607,1.09,0.714
2022-04-19 18:27:15,1.25,1.13,1.68,1.35
2022-04-19 18:27:30,1.25,1.13,1.68,1.35
2022-04-19 18:27:45,0.640,0.946,0.800,0.795
2022-04-19 18:28:00,0.640,0.946,0.800,0.795
2022-04-19 18:28:15,0.881,0.871,0.576,0.776
2022-04-19 18:28:30,0.881,0.871,0.576,0.776
2022-04-19 18:28:45,1.26,0.376,0.940,0.860
2022-04-19 18:29:00,1.26,0.376,0.940,0.860
2022-04-19 18:29:15,0.743,1.52,0.927,1.06
2022-04-19 18:29:30,0.743,1.52,0.927,1.06
2022-04-19 18:29:45,0.470,1.47,0.933,0.957
2022-04-19 18:30:00,0.470,1.47,0.933,0.957
2022-04-19 18:30:15,0.705,0.729,0.641,0.692
2022-04-19 18:30:30,0.705,0.729,0.641,0.692
2022-04-19 18:30:45,0.746,0.619,0.993,0.786
2022-04-19 18:31:00,0.746,0.619,0.993,0.786
2022-04-19 18:31:15,1.33,0.679,0.808,0.941
2022-04-19 18:31:30,1.33,0.679,0.808,0.941
2022-04-19 18:31:45,1.53,1.44,0.375,1.12
2022-04-19 18:32:00,1.53,1.44,0.375,1.12
2022-04-19 18:32:15,2.07,0.647,0.944,1.22
2022-04-19 18:32:30,2.07,0.647,0.944,1.22
2022-04-19 18:32:45,0.349,0.579,0.544,0.491
2022-04-19 18:33:00,0.349,0.579,0.544,0.491
2022-04-19 18:33:15,0.800,1.90,0.932,1.21
2022-04-19 18:33:30,0.800,1.90,0.932,1.21
2022-04-19 18:33:45,1.38,1.49,2.16,1.68
2022-04-19 18:34:00,1.38,1.49,2.16,1.68
2022-04-19 18:34:15,0.997,2.77,1.88,1.88
2022-04-19 18:34:30,0.997,2.77,1.88,1.88
2022-04-19 18:34:45,0.595,1.42,1.21,1.08
2022-04-19 18:35:00,0.595,1.42,1.21,1.08
2022-04-19 18:35:15,1.01,0.837,1.17,1.01
2022-04-19 18:35:30,1.01,0.837,1.17,1.01
2022-04-19 18:35:45,0.722,0.594,0.363,0.560
2022-04-19 18:36:00,0.722,0.594,0.363,0.560
2022-04-19 18:36:15,1.06,0.525,2.30,1.30
2022-04-19 18:36:30,1.06,0.525,2.30,1.30
2022-04-19 18:36:45,0.836,1.03,0.587,0.816
2022-04-19 18:37:00,0.836,1.03,0.587,0.816
2022-04-19 18:37:15,0.481,0.635,0.865,0.660
2022-04-19 18:37:30,0.481,0.635,0.865,0.660
2022-04-19 18:37:45,0.675,0.937,0.887,0.833
2022-04-19 18:38:00,0.675,0.937,0.887,0.833
2022-04-19 18:38:15,1.80,0.757,0.498,1.02
2022-04-19 18:38:30,1.80,0.757,0.498,1.02
2022-04-19 18:38:45,0.922,0.719,0.904,0.848
2022-04-19 18:39:00,0.922,0.719,0.904,0.848
2022-04-19 18:39:15,0.527,1.26,1.39,1.06
2022-04-19 18:39:30,0.527,1.26,1.39,1.06
2022-04-19 18:39:45,1.04,0.446,0.878,0.788
2022-04-19 18:40:00,1.04,0.446,0.878,0.788
2022-04-19 18:40:15,0.966,0.989,1.45,1.13
2022-04-19 18:40:30,0.966,0.989,1.45,1.13
2022-04-19 18:40:45,1.18,1.28,1.14,1.20
2022-04-19 18:41:00,1.18,1.28,1.14,1.20
2022-04-19 18:41:15,1.36,1.63,1.97,1.65
2022-04-19 18:41:30,1.36,1.63,1.97,1.65
2022-04-19 18:41:45,0.553,0.389,0.573,0.505
2022-04-19 18:42:00,0.553,0.389,0.573,0.505
2022-04-19 18:42:15,1.84,0.972,1.01,1.27
2022-04-19 18:42:30,1.84,0.972,1.01,1.27
2022-04-19 18:42:45,1.22,1.15,0.953,1.11
2022-04-19 18:43:00,1.22,1.15,0.953,1.11
2022-04-19 18:43:15,0.899,0.596,0.710,0.735
2022-04-19 18:43:30,0.899,0.596,0.710,0.735
2022-04-19 18:43:45,1.38,1.000,0.562,0.979
2022-04-19 18:44:00,1.38,1.000,0.562,0.979
2022-04-19 18:44:15,0.537,1.66,1.38,1.19
2022-04-19 18:44:30,0.537,1.66,1.38,1.19
2022-04-19 18:44:45,0.952,0.627,1.35,0.975
2022-04-19 18:45:00,0.952,0.627,1.35,0.975
2022-04-19 18:45:15,1.15,0.868,0.884,0.967
2022-04-19 18:45:30,1.15,0.868,0.884,0.967
2022-04-19 18:45:45,0.754,2.21,1.18,1.38
2022-04-19 18:46:00,0.754,2.21,1.18,1.38
2022-04-19 18:46:15,1.07,2.04,0.901,1.34
2022-04-19 18:46:30,1.07,2.04,0.901,1.34
2022-04-19 18:46:45,0.971,1.29,0.822,1.03
2022-04-19 18:47:00,0.971,1.29,0.822,1.03
2022-04-19 18:47:15,0.735,1.30,1.29,1.11
2022-04-19 18:47:30,0.735,1.30,1.29,1.11
2022-04-19 18:47:45,0.545,1.25,2.82,1.54
2022-04-19 18:48:00,0.545,1.25,2.82,1.54
2022-04-19 18:48:15,2.34,0.494,0.880,1.24
2022-04-19 18:48:30,2.34,0.494,0.880,1.24
2022-04-19 18:48:45,0.661,1.15,1.55,1.12
2022-04-19 18:49:00,0.661,1.15,1.55,1.12
2022-04-19 18:49:15,0.812,1.70,1.08,1.20
2022-04-19 18:49:30,0.812,1.70,1.08,1.20
2022-04-19 18:49:45,1.05,0.192,1.88,1.04
2022-04-19 18:50:00,1.05,0.192,1.88,1.04
2022-04-19 18:50:15,1.10,1.96,1.46,1.51
2022-04-19 18:50:30,1.10,1.96,1.46,1.51
2022-04-19 18:50:45,1.41,0.984,1.25,1.22
2022-04-19 18:51:00,1.41,0.984,1.25,1.22
2022-04-19 18:51:15,0.859,2.72,0.662,1.41
2022-04-19 18:51:30,0.859,2.72,0.662,1.41
2022-04-19 18:51:45,0.627,1.03,0.640,0.766
2022-04-19 18:52:00,0.627,1.03,0.640,0.766
2022-04-19 18:52:15,1.87,1.75,2.84,2.15
2022-04-19 18:52:30,1.87,1.75,2.84,2.15
2022-04-19 18:52:45,0.430,1.14,0.555,0.708
2022-04-19 18:53:00,0.430,1.14,0.555,0.708
2022-04-19 18:53:15,2.13,3.85,0.679,2.22
2022-04-19 18:53:30,2.13,3.85,0.679,2.22
2022-04-19 18:53:45,4.93,1.79,1.54,2.75

