"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:24:46,425 ms,286 ms,336 ms,652 ms
2022-04-19 18:24:48,500 ms,284 ms,358 ms,858 ms
2022-04-19 18:24:50,523 ms,281 ms,256 ms,1.03 s
2022-04-19 18:24:52,597 ms,303 ms,355 ms,1.13 s
2022-04-19 18:24:54,654 ms,332 ms,583 ms,1.05 s
2022-04-19 18:24:56,577 ms,325 ms,559 ms,848 ms
2022-04-19 18:24:58,540 ms,366 ms,561 ms,692 ms
2022-04-19 18:25:00,482 ms,389 ms,511 ms,545 ms
2022-04-19 18:25:02,367 ms,377 ms,401 ms,323 ms
2022-04-19 18:25:04,367 ms,467 ms,350 ms,284 ms
2022-04-19 18:25:06,390 ms,443 ms,430 ms,297 ms
2022-04-19 18:25:08,371 ms,435 ms,376 ms,302 ms
2022-04-19 18:25:10,368 ms,419 ms,392 ms,293 ms
2022-04-19 18:25:12,369 ms,322 ms,428 ms,358 ms
2022-04-19 18:25:14,293 ms,259 ms,277 ms,344 ms
2022-04-19 18:25:16,297 ms,254 ms,287 ms,350 ms
2022-04-19 18:25:18,353 ms,276 ms,416 ms,365 ms
2022-04-19 18:25:20,332 ms,281 ms,407 ms,307 ms
2022-04-19 18:25:22,372 ms,292 ms,460 ms,363 ms
2022-04-19 18:25:24,379 ms,301 ms,471 ms,365 ms
2022-04-19 18:25:26,378 ms,363 ms,419 ms,352 ms
2022-04-19 18:25:28,381 ms,416 ms,390 ms,337 ms
2022-04-19 18:25:30,357 ms,411 ms,301 ms,359 ms
2022-04-19 18:25:32,341 ms,408 ms,308 ms,306 ms
2022-04-19 18:25:34,425 ms,546 ms,404 ms,326 ms
2022-04-19 18:25:36,428 ms,582 ms,376 ms,327 ms
2022-04-19 18:25:38,415 ms,566 ms,369 ms,309 ms
2022-04-19 18:25:40,413 ms,555 ms,387 ms,298 ms
2022-04-19 18:25:42,395 ms,519 ms,341 ms,325 ms
2022-04-19 18:25:44,330 ms,358 ms,299 ms,333 ms
2022-04-19 18:25:46,328 ms,342 ms,295 ms,348 ms
2022-04-19 18:25:48,341 ms,326 ms,262 ms,436 ms
2022-04-19 18:25:50,339 ms,325 ms,259 ms,434 ms
2022-04-19 18:25:52,365 ms,318 ms,349 ms,429 ms
2022-04-19 18:25:54,374 ms,351 ms,341 ms,431 ms
2022-04-19 18:25:56,411 ms,445 ms,372 ms,415 ms
2022-04-19 18:25:58,434 ms,450 ms,409 ms,442 ms
2022-04-19 18:26:00,496 ms,457 ms,400 ms,630 ms
2022-04-19 18:26:02,521 ms,447 ms,429 ms,687 ms
2022-04-19 18:26:04,467 ms,341 ms,420 ms,641 ms
2022-04-19 18:26:06,446 ms,345 ms,398 ms,595 ms
2022-04-19 18:26:08,397 ms,374 ms,369 ms,449 ms
2022-04-19 18:26:10,408 ms,465 ms,371 ms,389 ms
2022-04-19 18:26:12,459 ms,718 ms,399 ms,260 ms
2022-04-19 18:26:14,523 ms,778 ms,402 ms,389 ms
2022-04-19 18:26:16,547 ms,805 ms,421 ms,415 ms
2022-04-19 18:26:18,538 ms,780 ms,436 ms,398 ms
2022-04-19 18:26:20,473 ms,612 ms,429 ms,379 ms
2022-04-19 18:26:22,432 ms,440 ms,461 ms,394 ms
2022-04-19 18:26:24,394 ms,360 ms,470 ms,352 ms
2022-04-19 18:26:26,388 ms,358 ms,442 ms,365 ms
2022-04-19 18:26:28,377 ms,322 ms,434 ms,375 ms
2022-04-19 18:26:30,348 ms,294 ms,338 ms,413 ms
2022-04-19 18:26:32,386 ms,397 ms,366 ms,396 ms
2022-04-19 18:26:34,436 ms,483 ms,322 ms,504 ms
2022-04-19 18:26:36,461 ms,472 ms,335 ms,578 ms
2022-04-19 18:26:38,476 ms,486 ms,334 ms,607 ms
2022-04-19 18:26:40,529 ms,500 ms,475 ms,611 ms
2022-04-19 18:26:42,600 ms,486 ms,680 ms,633 ms
2022-04-19 18:26:44,672 ms,639 ms,865 ms,514 ms
2022-04-19 18:26:46,739 ms,825 ms,864 ms,529 ms
2022-04-19 18:26:48,699 ms,833 ms,815 ms,447 ms
2022-04-19 18:26:50,602 ms,749 ms,619 ms,438 ms
2022-04-19 18:26:52,485 ms,602 ms,450 ms,402 ms
2022-04-19 18:26:54,522 ms,463 ms,706 ms,397 ms
2022-04-19 18:26:56,496 ms,301 ms,773 ms,415 ms
2022-04-19 18:26:58,502 ms,311 ms,803 ms,393 ms
2022-04-19 18:27:00,427 ms,308 ms,562 ms,411 ms
2022-04-19 18:27:02,384 ms,335 ms,504 ms,313 ms
2022-04-19 18:27:04,364 ms,362 ms,418 ms,310 ms
2022-04-19 18:27:06,370 ms,444 ms,353 ms,313 ms
2022-04-19 18:27:08,360 ms,412 ms,349 ms,319 ms
2022-04-19 18:27:10,347 ms,393 ms,340 ms,307 ms
2022-04-19 18:27:12,357 ms,367 ms,325 ms,380 ms
2022-04-19 18:27:14,384 ms,339 ms,382 ms,431 ms
2022-04-19 18:27:16,373 ms,287 ms,405 ms,427 ms
2022-04-19 18:27:18,422 ms,316 ms,394 ms,554 ms
2022-04-19 18:27:20,462 ms,299 ms,402 ms,684 ms
2022-04-19 18:27:22,451 ms,292 ms,372 ms,689 ms
2022-04-19 18:27:24,426 ms,290 ms,340 ms,649 ms
2022-04-19 18:27:26,505 ms,471 ms,381 ms,664 ms
2022-04-19 18:27:28,485 ms,614 ms,412 ms,431 ms
2022-04-19 18:27:30,423 ms,569 ms,438 ms,264 ms
2022-04-19 18:27:32,417 ms,556 ms,421 ms,275 ms
2022-04-19 18:27:34,401 ms,532 ms,382 ms,289 ms
2022-04-19 18:27:36,377 ms,439 ms,389 ms,303 ms
2022-04-19 18:27:38,350 ms,423 ms,281 ms,345 ms
2022-04-19 18:27:40,415 ms,447 ms,446 ms,353 ms
2022-04-19 18:27:42,425 ms,419 ms,509 ms,346 ms
2022-04-19 18:27:44,427 ms,396 ms,536 ms,349 ms
2022-04-19 18:27:46,402 ms,334 ms,536 ms,337 ms
2022-04-19 18:27:48,359 ms,335 ms,424 ms,317 ms
2022-04-19 18:27:50,335 ms,343 ms,360 ms,301 ms
2022-04-19 18:27:52,327 ms,320 ms,283 ms,377 ms
2022-04-19 18:27:54,346 ms,344 ms,320 ms,374 ms
2022-04-19 18:27:56,396 ms,479 ms,331 ms,377 ms
2022-04-19 18:27:58,404 ms,471 ms,317 ms,423 ms
2022-04-19 18:28:00,401 ms,477 ms,315 ms,412 ms
2022-04-19 18:28:02,409 ms,458 ms,319 ms,452 ms
2022-04-19 18:28:04,367 ms,345 ms,299 ms,456 ms
2022-04-19 18:28:06,353 ms,296 ms,332 ms,430 ms
2022-04-19 18:28:08,362 ms,283 ms,356 ms,448 ms
2022-04-19 18:28:10,387 ms,307 ms,432 ms,421 ms
2022-04-19 18:28:12,398 ms,301 ms,574 ms,319 ms
2022-04-19 18:28:14,392 ms,318 ms,572 ms,286 ms
2022-04-19 18:28:16,412 ms,379 ms,570 ms,287 ms
2022-04-19 18:28:18,493 ms,613 ms,543 ms,322 ms
2022-04-19 18:28:20,439 ms,628 ms,311 ms,378 ms
2022-04-19 18:28:22,493 ms,776 ms,309 ms,393 ms
2022-04-19 18:28:24,486 ms,765 ms,302 ms,390 ms
2022-04-19 18:28:26,444 ms,577 ms,374 ms,382 ms
2022-04-19 18:28:28,394 ms,487 ms,387 ms,308 ms
2022-04-19 18:28:30,394 ms,460 ms,410 ms,312 ms
2022-04-19 18:28:32,369 ms,388 ms,411 ms,310 ms
2022-04-19 18:28:34,374 ms,404 ms,397 ms,320 ms
2022-04-19 18:28:36,389 ms,454 ms,368 ms,346 ms
2022-04-19 18:28:38,393 ms,464 ms,362 ms,353 ms
2022-04-19 18:28:40,383 ms,434 ms,364 ms,351 ms
2022-04-19 18:28:42,406 ms,501 ms,339 ms,377 ms
2022-04-19 18:28:44,423 ms,513 ms,283 ms,474 ms
2022-04-19 18:28:46,429 ms,452 ms,281 ms,554 ms
2022-04-19 18:28:48,423 ms,420 ms,295 ms,554 ms
2022-04-19 18:28:50,497 ms,399 ms,372 ms,721 ms
2022-04-19 18:28:52,500 ms,352 ms,401 ms,747 ms
2022-04-19 18:28:54,502 ms,320 ms,392 ms,795 ms
2022-04-19 18:28:56,530 ms,315 ms,395 ms,880 ms
