"Time","edge-server-cv-78d887c496-f2l75","edge-server-cv-78d887c496-wrh5q","edge-server-cv-78d887c496-fczhb","Average"
2022-04-19 18:24:45,28.4,32.7,36.3,32.5
2022-04-19 18:25:00,28.4,32.7,36.3,32.5
2022-04-19 18:25:15,27.4,21.9,23.8,24.4
2022-04-19 18:25:30,27.4,21.9,23.8,24.4
2022-04-19 18:25:45,33.3,30.1,30.0,31.1
2022-04-19 18:26:00,33.3,30.1,30.0,31.1
2022-04-19 18:26:15,35.8,25.5,20.8,27.4
2022-04-19 18:26:30,35.8,25.5,20.8,27.4
2022-04-19 18:26:45,31.7,31.8,32.8,32.1
2022-04-19 18:27:00,31.7,31.8,32.8,32.1
2022-04-19 18:27:15,22.2,30.4,22.1,24.9
2022-04-19 18:27:30,22.2,30.4,22.1,24.9
2022-04-19 18:27:45,32.3,28.9,23.6,28.3
2022-04-19 18:28:00,32.3,28.9,23.6,28.3
2022-04-19 18:28:15,37.3,28.8,21.1,29.1
2022-04-19 18:28:30,37.3,28.8,21.1,29.1
2022-04-19 18:28:45,35.0,29.2,28.1,30.8
2022-04-19 18:29:00,35.0,29.2,28.1,30.8
2022-04-19 18:29:15,31.4,36.5,21.1,29.7
2022-04-19 18:29:30,31.4,36.5,21.1,29.7
2022-04-19 18:29:45,24.1,21.9,37.1,27.7
2022-04-19 18:30:00,24.1,21.9,37.1,27.7
2022-04-19 18:30:15,29.2,26.1,23.8,26.4
2022-04-19 18:30:30,29.2,26.1,23.8,26.4
2022-04-19 18:30:45,35.5,21.2,28.2,28.3
2022-04-19 18:31:00,35.5,21.2,28.2,28.3
2022-04-19 18:31:15,33.3,29.5,35.4,32.7
2022-04-19 18:31:30,33.3,29.5,35.4,32.7
2022-04-19 18:31:45,29.3,24.6,38.2,30.7
2022-04-19 18:32:00,29.3,24.6,38.2,30.7
2022-04-19 18:32:15,14.7,24.2,32.1,23.7
2022-04-19 18:32:30,14.7,24.2,32.1,23.7
2022-04-19 18:32:45,30.7,28.9,34.7,31.4
2022-04-19 18:33:00,30.7,28.9,34.7,31.4
2022-04-19 18:33:15,33.1,27.9,36.8,32.6
2022-04-19 18:33:30,33.1,27.9,36.8,32.6
2022-04-19 18:33:45,30.7,24.6,25.5,26.9
2022-04-19 18:34:00,30.7,24.6,25.5,26.9
2022-04-19 18:34:15,32.6,22.9,24.1,26.6
2022-04-19 18:34:30,32.6,22.9,24.1,26.6
2022-04-19 18:34:45,29.8,28.7,24.3,27.6
2022-04-19 18:35:00,29.8,28.7,24.3,27.6
2022-04-19 18:35:15,35.8,32.7,27.2,31.9
2022-04-19 18:35:30,35.8,32.7,27.2,31.9
2022-04-19 18:35:45,24.4,19.5,30.2,24.7
2022-04-19 18:36:00,24.4,19.5,30.2,24.7
2022-04-19 18:36:15,24.4,36.6,28.6,29.9
2022-04-19 18:36:30,24.4,36.6,28.6,29.9
2022-04-19 18:36:45,23.6,32.4,23.8,26.6
2022-04-19 18:37:00,23.6,32.4,23.8,26.6
2022-04-19 18:37:15,34.1,31.8,22.3,29.4
2022-04-19 18:37:30,34.1,31.8,22.3,29.4
2022-04-19 18:37:45,24.5,27.7,19.3,23.8
2022-04-19 18:38:00,24.5,27.7,19.3,23.8
2022-04-19 18:38:15,28.7,19.7,21.6,23.3
2022-04-19 18:38:30,28.7,19.7,21.6,23.3
2022-04-19 18:38:45,29.4,33.1,30.8,31.1
2022-04-19 18:39:00,29.4,33.1,30.8,31.1
2022-04-19 18:39:15,34.4,32.6,22.3,29.8
2022-04-19 18:39:30,34.4,32.6,22.3,29.8
2022-04-19 18:39:45,26.2,29.2,17.9,24.5
2022-04-19 18:40:00,26.2,29.2,17.9,24.5
