"Time","/kubepods/pod8a2523e6-b915-457a-8de7-7c5863e5b1a7/c890ecc09daa50a0ec2e2b0ed7507da223e5c28b4518ba3f802b9671a345dab1"
2022-04-15 18:01:00,0.301
2022-04-15 18:01:15,0.0861
2022-04-15 18:01:30,0.0861
2022-04-15 18:01:45,0.277
2022-04-15 18:02:00,0.277
2022-04-15 18:02:15,0.113
2022-04-15 18:02:30,0.113
2022-04-15 18:02:45,0.270
2022-04-15 18:03:00,0.270
2022-04-15 18:03:15,0.199
2022-04-15 18:03:30,0.199
2022-04-15 18:03:45,0.185
2022-04-15 18:04:00,0.185
2022-04-15 18:04:15,0.214
2022-04-15 18:04:30,0.214
2022-04-15 18:04:45,0.253
2022-04-15 18:05:00,0.253
2022-04-15 18:05:15,0.227
2022-04-15 18:05:30,0.227
2022-04-15 18:05:45,0.133
2022-04-15 18:06:00,0.133
2022-04-15 18:06:15,0.244
2022-04-15 18:06:30,0.244
2022-04-15 18:06:45,0.220
2022-04-15 18:07:00,0.220
2022-04-15 18:07:15,0.212
2022-04-15 18:07:30,0.212
2022-04-15 18:07:45,0.239
2022-04-15 18:08:00,0.239
2022-04-15 18:08:15,0.240
2022-04-15 18:08:30,0.240
2022-04-15 18:08:45,0.300
2022-04-15 18:09:00,0.300
2022-04-15 18:09:15,0.221
2022-04-15 18:09:30,0.221
2022-04-15 18:09:45,0.240
2022-04-15 18:10:00,0.240
2022-04-15 18:10:15,0.154
2022-04-15 18:10:30,0.154
2022-04-15 18:10:45,0.210
2022-04-15 18:11:00,0.210
2022-04-15 18:11:15,0.192
2022-04-15 18:11:30,0.192
2022-04-15 18:11:45,0.283
2022-04-15 18:12:00,0.283
2022-04-15 18:12:15,0.113
2022-04-15 18:12:30,0.113
2022-04-15 18:12:45,0.307
2022-04-15 18:13:00,0.307
2022-04-15 18:13:15,0.179
2022-04-15 18:13:30,0.179
2022-04-15 18:13:45,0.214
2022-04-15 18:14:00,0.214
2022-04-15 18:14:15,0.165
2022-04-15 18:14:30,0.165
2022-04-15 18:14:45,0.244
2022-04-15 18:15:00,0.244
2022-04-15 18:15:15,0.207
2022-04-15 18:15:30,0.207
2022-04-15 18:15:45,0.239
2022-04-15 18:16:00,0.239
2022-04-15 18:16:15,0.218
2022-04-15 18:16:30,0.218
2022-04-15 18:16:45,0.143
2022-04-15 18:17:00,0.143
2022-04-15 18:17:15,0.201
2022-04-15 18:17:30,0.201
2022-04-15 18:17:45,0.230
2022-04-15 18:18:00,0.230
2022-04-15 18:18:15,0.366
2022-04-15 18:18:30,0.366
2022-04-15 18:18:45,0.151
2022-04-15 18:19:00,0.151
2022-04-15 18:19:15,0.274
2022-04-15 18:19:30,0.274
2022-04-15 18:19:45,0.248
2022-04-15 18:20:00,0.248
2022-04-15 18:20:15,0.313
2022-04-15 18:20:30,0.313
2022-04-15 18:20:45,0.278
2022-04-15 18:21:00,0.278
2022-04-15 18:21:15,0.105
2022-04-15 18:21:30,0.105
2022-04-15 18:21:45,0.340
2022-04-15 18:22:00,0.340
2022-04-15 18:22:15,0.205
2022-04-15 18:22:30,0.205
2022-04-15 18:22:45,0.275
2022-04-15 18:23:00,0.275
2022-04-15 18:23:15,0.238
2022-04-15 18:23:30,0.238
2022-04-15 18:23:45,0.175
2022-04-15 18:24:00,0.175
2022-04-15 18:24:15,0.212
2022-04-15 18:24:30,0.212
2022-04-15 18:24:45,0.262
2022-04-15 18:25:00,0.262
2022-04-15 18:25:15,0.170
2022-04-15 18:25:30,0.170
2022-04-15 18:25:45,0.310
2022-04-15 18:26:00,0.310
2022-04-15 18:26:15,0.231
2022-04-15 18:26:30,0.231
2022-04-15 18:26:45,0.225
2022-04-15 18:27:00,0.225
2022-04-15 18:27:15,0.235
2022-04-15 18:27:30,0.235
2022-04-15 18:27:45,0.222
2022-04-15 18:28:00,0.222
2022-04-15 18:28:15,0.268
2022-04-15 18:28:30,0.268
2022-04-15 18:28:45,0.160
2022-04-15 18:29:00,0.160
2022-04-15 18:29:15,0.250
2022-04-15 18:29:30,0.250
2022-04-15 18:29:45,0.298
2022-04-15 18:30:00,0.298

