"Time","60s"
2022-04-15 18:01:00,0.365
2022-04-15 18:01:15,0.0702
2022-04-15 18:01:30,0.0702
2022-04-15 18:01:45,0.334
2022-04-15 18:02:00,0.334
2022-04-15 18:02:15,0.0798
2022-04-15 18:02:30,0.0798
2022-04-15 18:02:45,0.229
2022-04-15 18:03:00,0.229
2022-04-15 18:03:15,0.246
2022-04-15 18:03:30,0.246
2022-04-15 18:03:45,0.227
2022-04-15 18:04:00,0.227
2022-04-15 18:04:15,0.223
2022-04-15 18:04:30,0.223
2022-04-15 18:04:45,0.231
2022-04-15 18:05:00,0.231
2022-04-15 18:05:15,0.132
2022-04-15 18:05:30,0.132
2022-04-15 18:05:45,0.180
2022-04-15 18:06:00,0.180
2022-04-15 18:06:15,0.271
2022-04-15 18:06:30,0.271
2022-04-15 18:06:45,0.224
2022-04-15 18:07:00,0.224
2022-04-15 18:07:15,0.210
2022-04-15 18:07:30,0.210
2022-04-15 18:07:45,0.169
2022-04-15 18:08:00,0.169
2022-04-15 18:08:15,0.230
2022-04-15 18:08:30,0.230
2022-04-15 18:08:45,0.355
2022-04-15 18:09:00,0.355
2022-04-15 18:09:15,0.274
2022-04-15 18:09:30,0.274
2022-04-15 18:09:45,0.231
2022-04-15 18:10:00,0.231
2022-04-15 18:10:15,0.155
2022-04-15 18:10:30,0.155
2022-04-15 18:10:45,0.198
2022-04-15 18:11:00,0.198
2022-04-15 18:11:15,0.206
2022-04-15 18:11:30,0.206
2022-04-15 18:11:45,0.398
2022-04-15 18:12:00,0.398
2022-04-15 18:12:15,0.100
2022-04-15 18:12:30,0.100
2022-04-15 18:12:45,0.552
2022-04-15 18:13:00,0.552
2022-04-15 18:13:15,0.214
2022-04-15 18:13:30,0.214
2022-04-15 18:13:45,0.247
2022-04-15 18:14:00,0.247
2022-04-15 18:14:15,0.0911
2022-04-15 18:14:30,0.0911
2022-04-15 18:14:45,0.279
2022-04-15 18:15:00,0.279
2022-04-15 18:15:15,0.199
2022-04-15 18:15:30,0.199
2022-04-15 18:15:45,0.353
2022-04-15 18:16:00,0.353
2022-04-15 18:16:15,0.345
2022-04-15 18:16:30,0.345
2022-04-15 18:16:45,0.120
2022-04-15 18:17:00,0.120
2022-04-15 18:17:15,0.173
2022-04-15 18:17:30,0.173
2022-04-15 18:17:45,0.302
2022-04-15 18:18:00,0.302
2022-04-15 18:18:15,0.530
2022-04-15 18:18:30,0.530
2022-04-15 18:18:45,0.128
2022-04-15 18:19:00,0.128
2022-04-15 18:19:15,0.237
2022-04-15 18:19:30,0.237
2022-04-15 18:19:45,0.188
2022-04-15 18:20:00,0.188
2022-04-15 18:20:15,0.205
2022-04-15 18:20:30,0.205
2022-04-15 18:20:45,0.367
2022-04-15 18:21:00,0.367
2022-04-15 18:21:15,0.0652
2022-04-15 18:21:30,0.0652
2022-04-15 18:21:45,0.234
2022-04-15 18:22:00,0.234
2022-04-15 18:22:15,0.193
2022-04-15 18:22:30,0.193
2022-04-15 18:22:45,0.230
2022-04-15 18:23:00,0.230
2022-04-15 18:23:15,0.227
2022-04-15 18:23:30,0.227
2022-04-15 18:23:45,0.211
2022-04-15 18:24:00,0.211
2022-04-15 18:24:15,0.285
2022-04-15 18:24:30,0.285
2022-04-15 18:24:45,0.258
2022-04-15 18:25:00,0.258
2022-04-15 18:25:15,0.0811
2022-04-15 18:25:30,0.0811
2022-04-15 18:25:45,0.440
2022-04-15 18:26:00,0.440
2022-04-15 18:26:15,0.170
2022-04-15 18:26:30,0.170
2022-04-15 18:26:45,0.233
2022-04-15 18:27:00,0.233
2022-04-15 18:27:15,0.234
2022-04-15 18:27:30,0.234
2022-04-15 18:27:45,0.325
2022-04-15 18:28:00,0.325
2022-04-15 18:28:15,0.220
2022-04-15 18:28:30,0.220
2022-04-15 18:28:45,0.167
2022-04-15 18:29:00,0.167
2022-04-15 18:29:15,0.194
2022-04-15 18:29:30,0.194
2022-04-15 18:29:45,0.427
2022-04-15 18:30:00,0.427

