"Time","edge-server-cv-74d975f7cd-ssg2f Requests/2s","requests/30"
2022-04-15 18:01:00,0,0.379
2022-04-15 18:01:02,2,0.379
2022-04-15 18:01:04,0,0.379
2022-04-15 18:01:06,0,0.379
2022-04-15 18:01:08,0,0.345
2022-04-15 18:01:10,0,0.310
2022-04-15 18:01:12,0,0.310
2022-04-15 18:01:14,0,0.345
2022-04-15 18:01:16,1,0.345
2022-04-15 18:01:18,1,0.345
2022-04-15 18:01:20,0,0.345
2022-04-15 18:01:22,0,0.345
2022-04-15 18:01:24,2,0.448
2022-04-15 18:01:26,0,0.414
2022-04-15 18:01:28,1,0.414
2022-04-15 18:01:30,0,0.414
2022-04-15 18:01:32,0,0.310
2022-04-15 18:01:34,1,0.379
2022-04-15 18:01:36,1,0.414
2022-04-15 18:01:38,2,0.448
2022-04-15 18:01:40,1,0.517
2022-04-15 18:01:42,0,0.517
2022-04-15 18:01:44,1,0.552
2022-04-15 18:01:46,0,0.517
2022-04-15 18:01:48,0,0.483
2022-04-15 18:01:50,0,0.483
2022-04-15 18:01:52,0,0.483
2022-04-15 18:01:54,0,0.414
2022-04-15 18:01:56,0,0.448
2022-04-15 18:01:58,1,0.448
2022-04-15 18:02:00,2,0.517
2022-04-15 18:02:02,1,0.552
2022-04-15 18:02:04,0,0.517
2022-04-15 18:02:06,0,0.552
2022-04-15 18:02:08,0,0.448
2022-04-15 18:02:10,0,0.379
2022-04-15 18:02:12,1,0.448
2022-04-15 18:02:14,1,0.483
2022-04-15 18:02:16,0,0.448
2022-04-15 18:02:18,1,0.483
2022-04-15 18:02:20,0,0.517
2022-04-15 18:02:22,0,0.552
2022-04-15 18:02:24,0,0.552
2022-04-15 18:02:26,0,0.552
2022-04-15 18:02:28,0,0.517
2022-04-15 18:02:30,1,0.483
2022-04-15 18:02:32,0,0.483
2022-04-15 18:02:34,1,0.448
2022-04-15 18:02:36,1,0.517
2022-04-15 18:02:38,0,0.517
2022-04-15 18:02:40,1,0.517
2022-04-15 18:02:42,1,0.483
2022-04-15 18:02:44,0,0.483
2022-04-15 18:02:46,0,0.483
2022-04-15 18:02:48,0,0.414
2022-04-15 18:02:50,0,0.379
2022-04-15 18:02:52,0,0.379
2022-04-15 18:02:54,0,0.414
2022-04-15 18:02:56,1,0.483
2022-04-15 18:02:58,0,0.483
2022-04-15 18:03:00,1,0.448
2022-04-15 18:03:02,0,0.483
2022-04-15 18:03:04,0,0.448
2022-04-15 18:03:06,0,0.414
2022-04-15 18:03:08,1,0.448
2022-04-15 18:03:10,0,0.414
2022-04-15 18:03:12,0,0.345
2022-04-15 18:03:14,1,0.379
2022-04-15 18:03:16,1,0.414
2022-04-15 18:03:18,1,0.448
2022-04-15 18:03:20,1,0.448
2022-04-15 18:03:22,0,0.414
2022-04-15 18:03:24,2,0.448
2022-04-15 18:03:26,0,0.379
2022-04-15 18:03:28,0,0.379
2022-04-15 18:03:30,1,0.345
2022-04-15 18:03:32,0,0.310
2022-04-15 18:03:34,0,0.310
2022-04-15 18:03:36,1,0.379
2022-04-15 18:03:38,0,0.379
2022-04-15 18:03:40,0,0.379
2022-04-15 18:03:42,1,0.483
2022-04-15 18:03:44,0,0.517
2022-04-15 18:03:46,0,0.517
2022-04-15 18:03:48,0,0.517
2022-04-15 18:03:50,1,0.552
2022-04-15 18:03:52,0,0.586
2022-04-15 18:03:54,0,0.517
2022-04-15 18:03:56,1,0.552
2022-04-15 18:03:58,0,0.552
2022-04-15 18:04:00,0,0.517
2022-04-15 18:04:02,1,0.552
2022-04-15 18:04:04,1,0.552
2022-04-15 18:04:06,0,0.517
2022-04-15 18:04:08,0,0.517
2022-04-15 18:04:10,1,0.483
2022-04-15 18:04:12,0,0.345
2022-04-15 18:04:14,1,0.345
2022-04-15 18:04:16,0,0.345
2022-04-15 18:04:18,1,0.379
2022-04-15 18:04:20,0,0.310
2022-04-15 18:04:22,0,0.310
2022-04-15 18:04:24,0,0.345
2022-04-15 18:04:26,2,0.379
2022-04-15 18:04:28,0,0.414
2022-04-15 18:04:30,1,0.448
2022-04-15 18:04:32,0,0.483
2022-04-15 18:04:34,0,0.448
2022-04-15 18:04:36,1,0.483
2022-04-15 18:04:38,0,0.483
2022-04-15 18:04:40,2,0.517
2022-04-15 18:04:42,1,0.621
2022-04-15 18:04:44,0,0.586
2022-04-15 18:04:46,1,0.621
2022-04-15 18:04:48,0,0.586
2022-04-15 18:04:50,1,0.621
2022-04-15 18:04:52,0,0.586
2022-04-15 18:04:54,1,0.621
2022-04-15 18:04:56,1,0.552
2022-04-15 18:04:58,1,0.621
2022-04-15 18:05:00,0,0.517
2022-04-15 18:05:02,1,0.517
2022-04-15 18:05:04,0,0.517
2022-04-15 18:05:06,0,0.483
2022-04-15 18:05:08,0,0.483
2022-04-15 18:05:10,0,0.345
2022-04-15 18:05:12,0,0.276
2022-04-15 18:05:14,0,0.241
2022-04-15 18:05:16,1,0.310
2022-04-15 18:05:18,1,0.345
2022-04-15 18:05:20,1,0.345
2022-04-15 18:05:22,1,0.414
2022-04-15 18:05:24,0,0.379
2022-04-15 18:05:26,0,0.310
2022-04-15 18:05:28,0,0.276
2022-04-15 18:05:30,0,0.276
2022-04-15 18:05:32,0,0.241
2022-04-15 18:05:34,0,0.241
2022-04-15 18:05:36,0,0.241
2022-04-15 18:05:38,1,0.276
2022-04-15 18:05:40,0,0.276
2022-04-15 18:05:42,0,0.276
2022-04-15 18:05:44,0,0.207
2022-04-15 18:05:46,1,0.207
2022-04-15 18:05:48,0,0.207
2022-04-15 18:05:50,1,0.207
2022-04-15 18:05:52,0,0.172
2022-04-15 18:05:54,1,0.207
2022-04-15 18:05:56,0,0.241
2022-04-15 18:05:58,0,0.276
2022-04-15 18:06:00,0,0.276
2022-04-15 18:06:02,0,0.345
2022-04-15 18:06:04,1,0.414
2022-04-15 18:06:06,0,0.414
2022-04-15 18:06:08,1,0.414
2022-04-15 18:06:10,0,0.448
2022-04-15 18:06:12,1,0.483
2022-04-15 18:06:14,0,0.517
2022-04-15 18:06:16,2,0.517
2022-04-15 18:06:18,0,0.552
2022-04-15 18:06:20,2,0.655
2022-04-15 18:06:22,2,0.793
2022-04-15 18:06:24,1,0.793
2022-04-15 18:06:26,0,0.759
2022-04-15 18:06:28,0,0.793
2022-04-15 18:06:30,0,0.724
2022-04-15 18:06:32,0,0.690
2022-04-15 18:06:34,0,0.690
2022-04-15 18:06:36,0,0.690
2022-04-15 18:06:38,0,0.621
2022-04-15 18:06:40,0,0.655
2022-04-15 18:06:42,1,0.655
2022-04-15 18:06:44,0,0.690
2022-04-15 18:06:46,0,0.552
2022-04-15 18:06:48,0,0.483
2022-04-15 18:06:50,0,0.379
2022-04-15 18:06:52,0,0.345
2022-04-15 18:06:54,1,0.414
2022-04-15 18:06:56,0,0.379
2022-04-15 18:06:58,0,0.379
2022-04-15 18:07:00,0,0.379
2022-04-15 18:07:02,0,0.379
2022-04-15 18:07:04,0,0.379
2022-04-15 18:07:06,0,0.414
2022-04-15 18:07:08,1,0.414
2022-04-15 18:07:10,1,0.414
2022-04-15 18:07:12,0,0.345
2022-04-15 18:07:14,1,0.414
2022-04-15 18:07:16,1,0.483
2022-04-15 18:07:18,1,0.483
2022-04-15 18:07:20,2,0.517
2022-04-15 18:07:22,0,0.448
2022-04-15 18:07:24,0,0.448
2022-04-15 18:07:26,0,0.448
2022-04-15 18:07:28,2,0.586
2022-04-15 18:07:30,1,0.586
2022-04-15 18:07:32,0,0.586
2022-04-15 18:07:34,0,0.621
2022-04-15 18:07:36,2,0.690
2022-04-15 18:07:38,1,0.724
2022-04-15 18:07:40,1,0.759
2022-04-15 18:07:42,1,0.759
2022-04-15 18:07:44,0,0.690
2022-04-15 18:07:46,2,0.759
2022-04-15 18:07:48,0,0.690
2022-04-15 18:07:50,0,0.621
2022-04-15 18:07:52,0,0.586
2022-04-15 18:07:54,0,0.586
2022-04-15 18:07:56,2,0.586
2022-04-15 18:07:58,1,0.552
2022-04-15 18:08:00,2,0.586
2022-04-15 18:08:02,0,0.517
2022-04-15 18:08:04,0,0.552
2022-04-15 18:08:06,1,0.483
2022-04-15 18:08:08,0,0.414
2022-04-15 18:08:10,1,0.414
2022-04-15 18:08:12,0,0.379
2022-04-15 18:08:14,1,0.379
2022-04-15 18:08:16,0,0.345
2022-04-15 18:08:18,0,0.414
2022-04-15 18:08:20,0,0.448
2022-04-15 18:08:22,0,0.517
2022-04-15 18:08:24,1,0.586
2022-04-15 18:08:26,1,0.552
2022-04-15 18:08:28,0,0.552
2022-04-15 18:08:30,0,0.483
2022-04-15 18:08:32,0,0.448
2022-04-15 18:08:34,2,0.552
2022-04-15 18:08:36,0,0.552
2022-04-15 18:08:38,2,0.621
2022-04-15 18:08:40,0,0.586
2022-04-15 18:08:42,0,0.621
2022-04-15 18:08:44,0,0.552
2022-04-15 18:08:46,1,0.517
2022-04-15 18:08:48,1,0.517
2022-04-15 18:08:50,1,0.586
2022-04-15 18:08:52,0,0.586
2022-04-15 18:08:54,1,0.586
2022-04-15 18:08:56,1,0.586
2022-04-15 18:08:58,0,0.586
2022-04-15 18:09:00,0,0.586
2022-04-15 18:09:02,0,0.586
2022-04-15 18:09:04,0,0.483
2022-04-15 18:09:06,1,0.517
2022-04-15 18:09:08,1,0.517
2022-04-15 18:09:10,1,0.517
2022-04-15 18:09:12,0,0.517
2022-04-15 18:09:14,2,0.621
2022-04-15 18:09:16,0,0.586
2022-04-15 18:09:18,0,0.483
2022-04-15 18:09:20,0,0.448
2022-04-15 18:09:22,0,0.448
2022-04-15 18:09:24,0,0.414
2022-04-15 18:09:26,0,0.414
2022-04-15 18:09:28,0,0.414
2022-04-15 18:09:30,0,0.414
2022-04-15 18:09:32,1,0.448
2022-04-15 18:09:34,0,0.448
2022-04-15 18:09:36,1,0.414
2022-04-15 18:09:38,0,0.414
2022-04-15 18:09:40,1,0.414
2022-04-15 18:09:42,0,0.379
2022-04-15 18:09:44,0,0.345
2022-04-15 18:09:46,0,0.310
2022-04-15 18:09:48,1,0.310
2022-04-15 18:09:50,0,0.310
2022-04-15 18:09:52,0,0.276
2022-04-15 18:09:54,0,0.241
2022-04-15 18:09:56,0,0.276
2022-04-15 18:09:58,0,0.276
2022-04-15 18:10:00,0,0.276
2022-04-15 18:10:02,0,0.276
2022-04-15 18:10:04,0,0.276
2022-04-15 18:10:06,0,0.207
2022-04-15 18:10:08,0,0.207
2022-04-15 18:10:10,1,0.310
2022-04-15 18:10:12,0,0.310
2022-04-15 18:10:14,0,0.345
2022-04-15 18:10:16,0,0.379
2022-04-15 18:10:18,0,0.345
2022-04-15 18:10:20,0,0.379
2022-04-15 18:10:22,0,0.379
2022-04-15 18:10:24,0,0.345
2022-04-15 18:10:26,0,0.345
2022-04-15 18:10:28,0,0.379
2022-04-15 18:10:30,0,0.379
2022-04-15 18:10:32,0,0.414
2022-04-15 18:10:34,0,0.414
2022-04-15 18:10:36,1,0.517
2022-04-15 18:10:38,0,0.414
2022-04-15 18:10:40,0,0.345
2022-04-15 18:10:42,0,0.345
2022-04-15 18:10:44,1,0.379
2022-04-15 18:10:46,0,0.379
2022-04-15 18:10:48,0,0.345
2022-04-15 18:10:50,0,0.345
2022-04-15 18:10:52,0,0.379
2022-04-15 18:10:54,1,0.379
2022-04-15 18:10:56,0,0.345
2022-04-15 18:10:58,0,0.345
2022-04-15 18:11:00,1,0.345
2022-04-15 18:11:02,1,0.414
2022-04-15 18:11:04,1,0.379
2022-04-15 18:11:06,0,0.379
2022-04-15 18:11:08,1,0.448
2022-04-15 18:11:10,0,0.483
2022-04-15 18:11:12,0,0.448
2022-04-15 18:11:14,1,0.448
2022-04-15 18:11:16,0,0.483
2022-04-15 18:11:18,0,0.483
2022-04-15 18:11:20,0,0.448
2022-04-15 18:11:22,1,0.483
2022-04-15 18:11:24,3,0.552
2022-04-15 18:11:26,0,0.517
2022-04-15 18:11:28,1,0.586
2022-04-15 18:11:30,1,0.586
2022-04-15 18:11:32,1,0.586
2022-04-15 18:11:34,1,0.552
2022-04-15 18:11:36,0,0.517
2022-04-15 18:11:38,2,0.517
2022-04-15 18:11:40,0,0.517
2022-04-15 18:11:42,0,0.517
2022-04-15 18:11:44,0,0.448
2022-04-15 18:11:46,2,0.552
2022-04-15 18:11:48,0,0.552
2022-04-15 18:11:50,0,0.552
2022-04-15 18:11:52,0,0.517
2022-04-15 18:11:54,1,0.448
2022-04-15 18:11:56,0,0.414
2022-04-15 18:11:58,1,0.414
2022-04-15 18:12:00,0,0.379
2022-04-15 18:12:02,1,0.379
2022-04-15 18:12:04,0,0.379
2022-04-15 18:12:06,0,0.414
2022-04-15 18:12:08,0,0.345
2022-04-15 18:12:10,0,0.345
2022-04-15 18:12:12,0,0.345
2022-04-15 18:12:14,0,0.345
2022-04-15 18:12:16,1,0.310
2022-04-15 18:12:18,0,0.345
2022-04-15 18:12:20,1,0.414
2022-04-15 18:12:22,1,0.483
2022-04-15 18:12:24,0,0.483
2022-04-15 18:12:26,0,0.448
2022-04-15 18:12:28,0,0.414
