"Time","/kubepods/pod8a2523e6-b915-457a-8de7-7c5863e5b1a7/90aa1e50f54d5345a5bab346e84f7efbfb81227e99360bcff97f5009896d6338"
2022-04-18 13:52:30,0.312
2022-04-18 13:52:45,0.361
2022-04-18 13:53:00,0.361
2022-04-18 13:53:15,0.310
2022-04-18 13:53:30,0.310
2022-04-18 13:53:45,0.302
2022-04-18 13:54:00,0.302
2022-04-18 13:54:15,0.418
2022-04-18 13:54:30,0.418
2022-04-18 13:54:45,0.374
2022-04-18 13:55:00,0.374
2022-04-18 13:55:15,0.423
2022-04-18 13:55:30,0.423
2022-04-18 13:55:45,0.335
2022-04-18 13:56:00,0.335
2022-04-18 13:56:15,0.300
2022-04-18 13:56:30,0.300
2022-04-18 13:56:45,0.374
2022-04-18 13:57:00,0.374
2022-04-18 13:57:15,0.445
2022-04-18 13:57:30,0.445
2022-04-18 13:57:45,0.197
2022-04-18 13:58:00,0.197
2022-04-18 13:58:15,0.271
2022-04-18 13:58:30,0.271
2022-04-18 13:58:45,0.367
2022-04-18 13:59:00,0.367
2022-04-18 13:59:15,0.449
2022-04-18 13:59:30,0.449
2022-04-18 13:59:45,0.415
2022-04-18 14:00:00,0.415
2022-04-18 14:00:15,0.196
2022-04-18 14:00:30,0.196
2022-04-18 14:00:45,0.255
2022-04-18 14:01:00,0.255
2022-04-18 14:01:15,0.454
2022-04-18 14:01:30,0.454
2022-04-18 14:01:45,0.334
2022-04-18 14:02:00,0.334
2022-04-18 14:02:15,0.358
2022-04-18 14:02:30,0.358
2022-04-18 14:02:45,0.304
2022-04-18 14:03:00,0.304
2022-04-18 14:03:15,0.421
2022-04-18 14:03:30,0.421
2022-04-18 14:03:45,0.370
2022-04-18 14:04:00,0.370
2022-04-18 14:04:15,0.356
2022-04-18 14:04:30,0.356
2022-04-18 14:04:45,0.606
2022-04-18 14:05:00,0.606
2022-04-18 14:05:15,0.316
2022-04-18 14:05:30,0.316
2022-04-18 14:05:45,0.478
2022-04-18 14:06:00,0.478
2022-04-18 14:06:15,0.458
2022-04-18 14:06:30,0.458
2022-04-18 14:06:45,0.345
2022-04-18 14:07:00,0.345
2022-04-18 14:07:15,0.399
2022-04-18 14:07:30,0.399
2022-04-18 14:07:45,0.333
2022-04-18 14:08:00,0.333
2022-04-18 14:08:15,0.483
2022-04-18 14:08:30,0.483
2022-04-18 14:08:45,0.357
2022-04-18 14:09:00,0.357
2022-04-18 14:09:15,0.384
2022-04-18 14:09:30,0.384
2022-04-18 14:09:45,0.247
2022-04-18 14:10:00,0.247
2022-04-18 14:10:15,0.462
2022-04-18 14:10:30,0.462
2022-04-18 14:10:45,0.428
2022-04-18 14:11:00,0.428
2022-04-18 14:11:15,0.610
2022-04-18 14:11:30,0.610
2022-04-18 14:11:45,0.230
2022-04-18 14:12:00,0.230
2022-04-18 14:12:15,0.401
2022-04-18 14:12:30,0.401
2022-04-18 14:12:45,0.404
2022-04-18 14:13:00,0.404
2022-04-18 14:13:15,0.399
2022-04-18 14:13:30,0.399
2022-04-18 14:13:45,0.443
2022-04-18 14:14:00,0.443
2022-04-18 14:14:15,0.495
2022-04-18 14:14:30,0.495
2022-04-18 14:14:45,0.529
2022-04-18 14:15:00,0.529
2022-04-18 14:15:15,0.385
2022-04-18 14:15:30,0.385
2022-04-18 14:15:45,0.147
2022-04-18 14:16:00,0.147
2022-04-18 14:16:15,0.482
2022-04-18 14:16:30,0.482
2022-04-18 14:16:45,0.455
2022-04-18 14:17:00,0.455
2022-04-18 14:17:15,0.406
2022-04-18 14:17:30,0.406
2022-04-18 14:17:45,0.471
2022-04-18 14:18:00,0.471
2022-04-18 14:18:15,0.550
2022-04-18 14:18:30,0.550
2022-04-18 14:18:45,0.294
2022-04-18 14:19:00,0.294
2022-04-18 14:19:15,0.380
2022-04-18 14:19:30,0.380
2022-04-18 14:19:45,0.323
2022-04-18 14:20:00,0.323
2022-04-18 14:20:15,0.323
2022-04-18 14:20:30,0.323
2022-04-18 14:20:45,0.264
2022-04-18 14:21:00,0.264
2022-04-18 14:21:15,0.545
2022-04-18 14:21:30,0.545

