"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-18 13:52:32,283 ms
2022-04-18 13:52:34,246 ms
2022-04-18 13:52:36,213 ms
2022-04-18 13:52:38,226 ms
2022-04-18 13:52:40,242 ms
2022-04-18 13:52:42,235 ms
2022-04-18 13:52:44,291 ms
2022-04-18 13:52:46,289 ms
2022-04-18 13:52:48,290 ms
2022-04-18 13:52:50,285 ms
2022-04-18 13:52:52,374 ms
2022-04-18 13:52:54,420 ms
2022-04-18 13:52:56,464 ms
2022-04-18 13:52:58,459 ms
2022-04-18 13:53:00,446 ms
2022-04-18 13:53:02,311 ms
2022-04-18 13:53:04,342 ms
2022-04-18 13:53:06,328 ms
2022-04-18 13:53:08,320 ms
2022-04-18 13:53:10,325 ms
2022-04-18 13:53:12,381 ms
2022-04-18 13:53:14,364 ms
2022-04-18 13:53:16,360 ms
2022-04-18 13:53:18,364 ms
2022-04-18 13:53:20,356 ms
2022-04-18 13:53:22,364 ms
2022-04-18 13:53:24,429 ms
2022-04-18 13:53:26,617 ms
2022-04-18 13:53:28,625 ms
2022-04-18 13:53:30,650 ms
2022-04-18 13:53:32,604 ms
2022-04-18 13:53:34,345 ms
2022-04-18 13:53:36,358 ms
2022-04-18 13:53:38,318 ms
2022-04-18 13:53:40,468 ms
2022-04-18 13:53:42,536 ms
2022-04-18 13:53:44,506 ms
2022-04-18 13:53:46,492 ms
2022-04-18 13:53:48,436 ms
2022-04-18 13:53:50,245 ms
2022-04-18 13:53:52,410 ms
2022-04-18 13:53:54,472 ms
2022-04-18 13:53:56,630 ms
2022-04-18 13:53:58,712 ms
2022-04-18 13:54:00,739 ms
2022-04-18 13:54:02,640 ms
2022-04-18 13:54:04,691 ms
2022-04-18 13:54:06,519 ms
2022-04-18 13:54:08,478 ms
2022-04-18 13:54:10,484 ms
2022-04-18 13:54:12,515 ms
2022-04-18 13:54:14,389 ms
2022-04-18 13:54:16,412 ms
2022-04-18 13:54:18,354 ms
2022-04-18 13:54:20,329 ms
2022-04-18 13:54:22,320 ms
2022-04-18 13:54:24,352 ms
2022-04-18 13:54:26,325 ms
2022-04-18 13:54:28,388 ms
2022-04-18 13:54:30,390 ms
2022-04-18 13:54:32,322 ms
2022-04-18 13:54:34,345 ms
2022-04-18 13:54:36,352 ms
2022-04-18 13:54:38,298 ms
2022-04-18 13:54:40,317 ms
2022-04-18 13:54:42,323 ms
2022-04-18 13:54:44,300 ms
2022-04-18 13:54:46,307 ms
2022-04-18 13:54:48,286 ms
2022-04-18 13:54:50,255 ms
2022-04-18 13:54:52,275 ms
2022-04-18 13:54:54,283 ms
2022-04-18 13:54:56,333 ms
2022-04-18 13:54:58,348 ms
2022-04-18 13:55:00,337 ms
2022-04-18 13:55:02,377 ms
2022-04-18 13:55:04,521 ms
2022-04-18 13:55:06,549 ms
2022-04-18 13:55:08,530 ms
2022-04-18 13:55:10,534 ms
2022-04-18 13:55:12,413 ms
2022-04-18 13:55:14,299 ms
2022-04-18 13:55:16,313 ms
2022-04-18 13:55:18,301 ms
2022-04-18 13:55:20,322 ms
2022-04-18 13:55:22,745 ms
2022-04-18 13:55:24,797 ms
2022-04-18 13:55:26,698 ms
2022-04-18 13:55:28,749 ms
2022-04-18 13:55:30,798 ms
2022-04-18 13:55:32,264 ms
2022-04-18 13:55:34,266 ms
2022-04-18 13:55:36,262 ms
2022-04-18 13:55:38,311 ms
2022-04-18 13:55:40,318 ms
2022-04-18 13:55:42,317 ms
2022-04-18 13:55:44,312 ms
2022-04-18 13:55:46,322 ms
2022-04-18 13:55:48,297 ms
2022-04-18 13:55:50,370 ms
2022-04-18 13:55:52,366 ms
2022-04-18 13:55:54,366 ms
2022-04-18 13:55:56,371 ms
2022-04-18 13:55:58,284 ms
2022-04-18 13:56:00,306 ms
