"Time","edge-server-cv-74d975f7cd-ssg2f"
2022-04-18 13:52:30,35.8
2022-04-18 13:52:45,33.3
2022-04-18 13:53:00,33.3
2022-04-18 13:53:15,30.4
2022-04-18 13:53:30,30.4
2022-04-18 13:53:45,53.2
2022-04-18 13:54:00,53.2
2022-04-18 13:54:15,42.5
2022-04-18 13:54:30,42.5
2022-04-18 13:54:45,46.7
2022-04-18 13:55:00,46.7
2022-04-18 13:55:15,37.8
2022-04-18 13:55:30,37.8
2022-04-18 13:55:45,45.0
2022-04-18 13:56:00,45.0
2022-04-18 13:56:15,42.7
2022-04-18 13:56:30,42.7
2022-04-18 13:56:45,67.1
2022-04-18 13:57:00,67.1
2022-04-18 13:57:15,48.0
2022-04-18 13:57:30,48.0
2022-04-18 13:57:45,46.7
2022-04-18 13:58:00,46.7
2022-04-18 13:58:15,46.8
2022-04-18 13:58:30,46.8
2022-04-18 13:58:45,47.1
2022-04-18 13:59:00,47.1
2022-04-18 13:59:15,54.9
2022-04-18 13:59:30,54.9
2022-04-18 13:59:45,38.9
2022-04-18 14:00:00,38.9
2022-04-18 14:00:15,38.7
2022-04-18 14:00:30,38.7
2022-04-18 14:00:45,41.1
2022-04-18 14:01:00,41.1
2022-04-18 14:01:15,32.7
2022-04-18 14:01:30,32.7
2022-04-18 14:01:45,48.6
2022-04-18 14:02:00,48.6
2022-04-18 14:02:15,43.5
2022-04-18 14:02:30,43.5
2022-04-18 14:02:45,49.6
2022-04-18 14:03:00,49.6
2022-04-18 14:03:15,35.6
2022-04-18 14:03:30,35.6
2022-04-18 14:03:45,37.0
2022-04-18 14:04:00,37.0
2022-04-18 14:04:15,40.8
2022-04-18 14:04:30,40.8
2022-04-18 14:04:45,56.5
2022-04-18 14:05:00,56.5
2022-04-18 14:05:15,62.4
2022-04-18 14:05:30,62.4
2022-04-18 14:05:45,41.5
2022-04-18 14:06:00,41.5
2022-04-18 14:06:15,68.3
2022-04-18 14:06:30,68.3
2022-04-18 14:06:45,36.8
2022-04-18 14:07:00,36.8
2022-04-18 14:07:15,34.8
2022-04-18 14:07:30,34.8
2022-04-18 14:07:45,45.5
2022-04-18 14:08:00,45.5
2022-04-18 14:08:15,52.7
2022-04-18 14:08:30,52.7
2022-04-18 14:08:45,35.4
2022-04-18 14:09:00,35.4
2022-04-18 14:09:15,33.4
2022-04-18 14:09:30,33.4
2022-04-18 14:09:45,34.5
2022-04-18 14:10:00,34.5
2022-04-18 14:10:15,50.5
2022-04-18 14:10:30,50.5
2022-04-18 14:10:45,48.7
2022-04-18 14:11:00,48.7
2022-04-18 14:11:15,48.8
2022-04-18 14:11:30,48.8
2022-04-18 14:11:45,42.3
2022-04-18 14:12:00,42.3
2022-04-18 14:12:15,53.7
2022-04-18 14:12:30,53.7
2022-04-18 14:12:45,27.6
2022-04-18 14:13:00,27.6
2022-04-18 14:13:15,50.7
2022-04-18 14:13:30,50.7
2022-04-18 14:13:45,41.0
2022-04-18 14:14:00,41.0
2022-04-18 14:14:15,52.2
2022-04-18 14:14:30,52.2
2022-04-18 14:14:45,27.3
2022-04-18 14:15:00,27.3
2022-04-18 14:15:15,37.5
2022-04-18 14:15:30,37.5
2022-04-18 14:15:45,34.9
2022-04-18 14:16:00,34.9
2022-04-18 14:16:15,49.5
2022-04-18 14:16:30,49.5
2022-04-18 14:16:45,34.8
2022-04-18 14:17:00,34.8
2022-04-18 14:17:15,38.4
2022-04-18 14:17:30,38.4
2022-04-18 14:17:45,37.4
2022-04-18 14:18:00,37.4
2022-04-18 14:18:15,49.0
2022-04-18 14:18:30,49.0
2022-04-18 14:18:45,50.4
2022-04-18 14:19:00,50.4
2022-04-18 14:19:15,47.7
2022-04-18 14:19:30,47.7
2022-04-18 14:19:45,30.2
2022-04-18 14:20:00,30.2
2022-04-18 14:20:15,50.5
2022-04-18 14:20:30,50.5
2022-04-18 14:20:45,46.7
2022-04-18 14:21:00,46.7
2022-04-18 14:21:15,40.7
2022-04-18 14:21:30,40.7

