"Time","edge-server-cv-74d975f7cd-st5nm Requests/2s","requests/30"
2022-04-15 14:42:20,1,1.28
2022-04-15 14:42:22,1,1.31
2022-04-15 14:42:24,1,1.41
2022-04-15 14:42:26,4,1.38
2022-04-15 14:42:28,0,1.24
2022-04-15 14:42:30,2,1.31
2022-04-15 14:42:32,1,1.21
2022-04-15 14:42:34,1,1.38
2022-04-15 14:42:36,1,1.45
2022-04-15 14:42:38,0,1.41
2022-04-15 14:42:40,1,1.45
2022-04-15 14:42:42,1,1.41
2022-04-15 14:42:44,0,1.48
2022-04-15 14:42:46,2,1.55
2022-04-15 14:42:48,1,1.41
2022-04-15 14:42:50,4,1.55
2022-04-15 14:42:52,3,1.52
2022-04-15 14:42:54,2,1.66
2022-04-15 14:42:56,1,1.55
2022-04-15 14:42:58,3,1.62
2022-04-15 14:43:00,2,1.66
2022-04-15 14:43:02,1,1.48
2022-04-15 14:43:04,0,1.45
2022-04-15 14:43:06,1,1.45
2022-04-15 14:43:08,1,1.55
2022-04-15 14:43:10,1,1.55
2022-04-15 14:43:12,0,1.41
2022-04-15 14:43:14,3,1.48
2022-04-15 14:43:16,1,1.48
2022-04-15 14:43:18,2,1.45
2022-04-15 14:43:20,1,1.38
2022-04-15 14:43:22,4,1.34
2022-04-15 14:43:24,1,1.31
2022-04-15 14:43:26,3,1.34
2022-04-15 14:43:28,1,1.31
2022-04-15 14:43:30,1,1.24
2022-04-15 14:43:32,1,1.24
2022-04-15 14:43:34,1,1.31
2022-04-15 14:43:36,1,1.28
2022-04-15 14:43:38,1,1.24
2022-04-15 14:43:40,3,1.34
2022-04-15 14:43:42,2,1.45
2022-04-15 14:43:44,2,1.38
2022-04-15 14:43:46,1,1.41
2022-04-15 14:43:48,1,1.34
2022-04-15 14:43:50,0,1.34
2022-04-15 14:43:52,0,1.21
2022-04-15 14:43:54,2,1.31
2022-04-15 14:43:56,1,1.21
2022-04-15 14:43:58,1,1.31
2022-04-15 14:44:00,1,1.31
2022-04-15 14:44:02,1,1.24
2022-04-15 14:44:04,1,1.21
2022-04-15 14:44:06,0,1.14
2022-04-15 14:44:08,0,1.07
2022-04-15 14:44:10,2,1
2022-04-15 14:44:12,1,0.966
2022-04-15 14:44:14,3,0.966
2022-04-15 14:44:16,2,1.07
2022-04-15 14:44:18,1,1.03
2022-04-15 14:44:20,3,1.14
2022-04-15 14:44:22,1,1.10
2022-04-15 14:44:24,3,1.14
2022-04-15 14:44:26,1,1.10
2022-04-15 14:44:28,0,1.07
2022-04-15 14:44:30,1,1.14
2022-04-15 14:44:32,4,1.24
2022-04-15 14:44:34,3,1.45
2022-04-15 14:44:36,0,1.52
2022-04-15 14:44:38,3,1.69
2022-04-15 14:44:40,2,1.69
2022-04-15 14:44:42,1,1.72
2022-04-15 14:44:44,1,1.62
2022-04-15 14:44:46,0,1.52
2022-04-15 14:44:48,1,1.52
2022-04-15 14:44:50,1,1.45
2022-04-15 14:44:52,0,1.41
2022-04-15 14:44:54,1,1.28
2022-04-15 14:44:56,3,1.41
2022-04-15 14:44:58,1,1.45
2022-04-15 14:45:00,3,1.59
2022-04-15 14:45:02,0,1.34
2022-04-15 14:45:04,1,1.24
2022-04-15 14:45:06,1,1.21
2022-04-15 14:45:08,0,1.14
2022-04-15 14:45:10,4,1.21
2022-04-15 14:45:12,1,1.17
2022-04-15 14:45:14,0,1.17
2022-04-15 14:45:16,2,1.24
2022-04-15 14:45:18,1,1.28
2022-04-15 14:45:20,2,1.34
2022-04-15 14:45:22,0,1.41
2022-04-15 14:45:24,1,1.31
2022-04-15 14:45:26,1,1.28
2022-04-15 14:45:28,1,1.34
2022-04-15 14:45:30,1,1.34
2022-04-15 14:45:32,3,1.45
2022-04-15 14:45:34,0,1.41
2022-04-15 14:45:36,2,1.41
2022-04-15 14:45:38,2,1.45
2022-04-15 14:45:40,3,1.41
2022-04-15 14:45:42,1,1.38
2022-04-15 14:45:44,3,1.45
2022-04-15 14:45:46,1,1.45
2022-04-15 14:45:48,1,1.45
2022-04-15 14:45:50,0,1.38
2022-04-15 14:45:52,2,1.48
2022-04-15 14:45:54,0,1.34
2022-04-15 14:45:56,2,1.31
2022-04-15 14:45:58,2,1.24
2022-04-15 14:46:00,0,1.24
2022-04-15 14:46:02,4,1.24
2022-04-15 14:46:04,1,1.24
2022-04-15 14:46:06,2,1.28
2022-04-15 14:46:08,4,1.38
2022-04-15 14:46:10,0,1.34
2022-04-15 14:46:12,2,1.41
2022-04-15 14:46:14,2,1.31
2022-04-15 14:46:16,0,1.21
2022-04-15 14:46:18,2,1.24
2022-04-15 14:46:20,1,1.24
2022-04-15 14:46:22,1,1.21
2022-04-15 14:46:24,1,1.21
2022-04-15 14:46:26,4,1.34
2022-04-15 14:46:28,1,1.28
2022-04-15 14:46:30,4,1.41
2022-04-15 14:46:32,2,1.38
2022-04-15 14:46:34,2,1.41
2022-04-15 14:46:36,0,1.31
2022-04-15 14:46:38,0,1.14
2022-04-15 14:46:40,2,1.21
