"Time","edge-server-cv-74d975f7cd-st5nm Response"
2022-04-15 14:42:20,646 ms
2022-04-15 14:42:22,654 ms
2022-04-15 14:42:24,596 ms
2022-04-15 14:42:26,643 ms
2022-04-15 14:42:28,573 ms
2022-04-15 14:42:30,551 ms
2022-04-15 14:42:32,746 ms
2022-04-15 14:42:34,1.18 s
2022-04-15 14:42:36,1.25 s
2022-04-15 14:42:38,1.28 s
2022-04-15 14:42:40,1.28 s
2022-04-15 14:42:42,411 ms
2022-04-15 14:42:44,508 ms
2022-04-15 14:42:46,491 ms
2022-04-15 14:42:48,543 ms
2022-04-15 14:42:50,858 ms
2022-04-15 14:42:52,825 ms
2022-04-15 14:42:54,760 ms
2022-04-15 14:42:56,776 ms
2022-04-15 14:42:58,488 ms
2022-04-15 14:43:00,404 ms
2022-04-15 14:43:02,405 ms
2022-04-15 14:43:04,376 ms
2022-04-15 14:43:06,365 ms
2022-04-15 14:43:08,316 ms
2022-04-15 14:43:10,279 ms
2022-04-15 14:43:12,293 ms
2022-04-15 14:43:14,508 ms
2022-04-15 14:43:16,714 ms
2022-04-15 14:43:18,720 ms
2022-04-15 14:43:20,663 ms
2022-04-15 14:43:22,691 ms
2022-04-15 14:43:24,536 ms
2022-04-15 14:43:26,599 ms
2022-04-15 14:43:28,605 ms
2022-04-15 14:43:30,624 ms
2022-04-15 14:43:32,468 ms
2022-04-15 14:43:34,465 ms
2022-04-15 14:43:36,299 ms
2022-04-15 14:43:38,329 ms
2022-04-15 14:43:40,809 ms
2022-04-15 14:43:42,952 ms
2022-04-15 14:43:44,1.03 s
2022-04-15 14:43:46,1.09 s
2022-04-15 14:43:48,1.05 s
2022-04-15 14:43:50,570 ms
2022-04-15 14:43:52,572 ms
2022-04-15 14:43:54,421 ms
2022-04-15 14:43:56,401 ms
2022-04-15 14:43:58,435 ms
2022-04-15 14:44:00,438 ms
2022-04-15 14:44:02,351 ms
2022-04-15 14:44:04,316 ms
2022-04-15 14:44:06,272 ms
2022-04-15 14:44:08,279 ms
2022-04-15 14:44:10,423 ms
2022-04-15 14:44:12,573 ms
2022-04-15 14:44:14,651 ms
2022-04-15 14:44:16,582 ms
2022-04-15 14:44:18,570 ms
2022-04-15 14:44:20,510 ms
2022-04-15 14:44:22,476 ms
2022-04-15 14:44:24,493 ms
2022-04-15 14:44:26,576 ms
2022-04-15 14:44:28,594 ms
2022-04-15 14:44:30,605 ms
2022-04-15 14:44:32,1.13 s
2022-04-15 14:44:34,1.56 s
2022-04-15 14:44:36,1.61 s
2022-04-15 14:44:38,1.50 s
2022-04-15 14:44:40,1.37 s
2022-04-15 14:44:42,682 ms
2022-04-15 14:44:44,512 ms
2022-04-15 14:44:46,440 ms
2022-04-15 14:44:48,310 ms
2022-04-15 14:44:50,259 ms
2022-04-15 14:44:52,265 ms
2022-04-15 14:44:54,268 ms
2022-04-15 14:44:56,479 ms
2022-04-15 14:44:58,477 ms
2022-04-15 14:45:00,501 ms
2022-04-15 14:45:02,493 ms
2022-04-15 14:45:04,441 ms
2022-04-15 14:45:06,382 ms
2022-04-15 14:45:08,499 ms
2022-04-15 14:45:10,703 ms
2022-04-15 14:45:12,703 ms
2022-04-15 14:45:14,736 ms
2022-04-15 14:45:16,675 ms
2022-04-15 14:45:18,436 ms
2022-04-15 14:45:20,423 ms
2022-04-15 14:45:22,433 ms
2022-04-15 14:45:24,494 ms
2022-04-15 14:45:26,625 ms
2022-04-15 14:45:28,712 ms
2022-04-15 14:45:30,698 ms
2022-04-15 14:45:32,682 ms
2022-04-15 14:45:34,569 ms
2022-04-15 14:45:36,404 ms
2022-04-15 14:45:38,409 ms
2022-04-15 14:45:40,417 ms
2022-04-15 14:45:42,309 ms
2022-04-15 14:45:44,578 ms
2022-04-15 14:45:46,594 ms
2022-04-15 14:45:48,546 ms
2022-04-15 14:45:50,586 ms
2022-04-15 14:45:52,547 ms
2022-04-15 14:45:54,314 ms
2022-04-15 14:45:56,330 ms
2022-04-15 14:45:58,343 ms
2022-04-15 14:46:00,343 ms
2022-04-15 14:46:02,405 ms
2022-04-15 14:46:04,409 ms
2022-04-15 14:46:06,417 ms
2022-04-15 14:46:08,457 ms
2022-04-15 14:46:10,434 ms
2022-04-15 14:46:12,451 ms
2022-04-15 14:46:14,437 ms
2022-04-15 14:46:16,465 ms
2022-04-15 14:46:18,478 ms
2022-04-15 14:46:20,475 ms
2022-04-15 14:46:22,374 ms
2022-04-15 14:46:24,352 ms
2022-04-15 14:46:26,434 ms
2022-04-15 14:46:28,391 ms
2022-04-15 14:46:30,455 ms
2022-04-15 14:46:32,467 ms
2022-04-15 14:46:34,469 ms
2022-04-15 14:46:36,456 ms
2022-04-15 14:46:38,461 ms
2022-04-15 14:46:40,416 ms
2022-04-15 14:46:42,474 ms
2022-04-15 14:46:44,432 ms
2022-04-15 14:46:46,412 ms
2022-04-15 14:46:48,420 ms
2022-04-15 14:46:50,333 ms
2022-04-15 14:46:52,465 ms
2022-04-15 14:46:54,508 ms
2022-04-15 14:46:56,562 ms
2022-04-15 14:46:58,580 ms
2022-04-15 14:47:00,617 ms
2022-04-15 14:47:02,556 ms
2022-04-15 14:47:04,445 ms
2022-04-15 14:47:06,414 ms
2022-04-15 14:47:08,432 ms
2022-04-15 14:47:10,686 ms
2022-04-15 14:47:12,699 ms
2022-04-15 14:47:14,694 ms
2022-04-15 14:47:16,751 ms
2022-04-15 14:47:18,527 ms
2022-04-15 14:47:20,331 ms
2022-04-15 14:47:22,250 ms
2022-04-15 14:47:24,361 ms
2022-04-15 14:47:26,440 ms
2022-04-15 14:47:28,562 ms
2022-04-15 14:47:30,553 ms
2022-04-15 14:47:32,560 ms
2022-04-15 14:47:34,447 ms
2022-04-15 14:47:36,287 ms
2022-04-15 14:47:38,281 ms
2022-04-15 14:47:40,278 ms
2022-04-15 14:47:42,259 ms
2022-04-15 14:47:44,261 ms
2022-04-15 14:47:46,263 ms
2022-04-15 14:47:48,357 ms
2022-04-15 14:47:50,365 ms
2022-04-15 14:47:52,377 ms
2022-04-15 14:47:54,387 ms
2022-04-15 14:47:56,346 ms
2022-04-15 14:47:58,337 ms
2022-04-15 14:48:00,372 ms
2022-04-15 14:48:02,322 ms
2022-04-15 14:48:04,332 ms
2022-04-15 14:48:06,372 ms
2022-04-15 14:48:08,343 ms
2022-04-15 14:48:10,340 ms
2022-04-15 14:48:12,314 ms
2022-04-15 14:48:14,312 ms
2022-04-15 14:48:16,288 ms
2022-04-15 14:48:18,408 ms
2022-04-15 14:48:20,535 ms
2022-04-15 14:48:22,551 ms
2022-04-15 14:48:24,551 ms
2022-04-15 14:48:26,648 ms
2022-04-15 14:48:28,802 ms
2022-04-15 14:48:30,739 ms
2022-04-15 14:48:32,739 ms
2022-04-15 14:48:34,624 ms
2022-04-15 14:48:36,526 ms
2022-04-15 14:48:38,388 ms
2022-04-15 14:48:40,350 ms
2022-04-15 14:48:42,402 ms
2022-04-15 14:48:44,369 ms
2022-04-15 14:48:46,356 ms
2022-04-15 14:48:48,348 ms
2022-04-15 14:48:50,295 ms
2022-04-15 14:48:52,295 ms
2022-04-15 14:48:54,330 ms
2022-04-15 14:48:56,534 ms
2022-04-15 14:48:58,1.62 s
2022-04-15 14:49:00,1.72 s
2022-04-15 14:49:02,1.63 s
2022-04-15 14:49:04,1.43 s
2022-04-15 14:49:06,998 ms
2022-04-15 14:49:08,605 ms
2022-04-15 14:49:10,273 ms
2022-04-15 14:49:12,318 ms
2022-04-15 14:49:14,315 ms
2022-04-15 14:49:16,327 ms
2022-04-15 14:49:18,349 ms
2022-04-15 14:49:20,323 ms
2022-04-15 14:49:22,403 ms
2022-04-15 14:49:24,565 ms
2022-04-15 14:49:26,585 ms
2022-04-15 14:49:28,635 ms
2022-04-15 14:49:30,694 ms
2022-04-15 14:49:32,700 ms
2022-04-15 14:49:34,682 ms
2022-04-15 14:49:36,601 ms
2022-04-15 14:49:38,353 ms
2022-04-15 14:49:40,436 ms
2022-04-15 14:49:42,533 ms
2022-04-15 14:49:44,562 ms
2022-04-15 14:49:46,654 ms
2022-04-15 14:49:48,737 ms
2022-04-15 14:49:50,922 ms
2022-04-15 14:49:52,978 ms
2022-04-15 14:49:54,949 ms
2022-04-15 14:49:56,953 ms
2022-04-15 14:49:58,971 ms
2022-04-15 14:50:00,572 ms
2022-04-15 14:50:02,549 ms
2022-04-15 14:50:04,577 ms
2022-04-15 14:50:06,380 ms
2022-04-15 14:50:08,262 ms
2022-04-15 14:50:10,424 ms
2022-04-15 14:50:12,442 ms
2022-04-15 14:50:14,464 ms
2022-04-15 14:50:16,447 ms
2022-04-15 14:50:18,657 ms
2022-04-15 14:50:20,645 ms
2022-04-15 14:50:22,721 ms
2022-04-15 14:50:24,637 ms
2022-04-15 14:50:26,591 ms
2022-04-15 14:50:28,480 ms
2022-04-15 14:50:30,525 ms
2022-04-15 14:50:32,530 ms
2022-04-15 14:50:34,523 ms
2022-04-15 14:50:36,479 ms
2022-04-15 14:50:38,375 ms
2022-04-15 14:50:40,293 ms
2022-04-15 14:50:42,628 ms
2022-04-15 14:50:44,640 ms
2022-04-15 14:50:46,587 ms
2022-04-15 14:50:48,583 ms
2022-04-15 14:50:50,435 ms
2022-04-15 14:50:52,409 ms
2022-04-15 14:50:54,382 ms
2022-04-15 14:50:56,379 ms
2022-04-15 14:50:58,318 ms
2022-04-15 14:51:00,746 ms
2022-04-15 14:51:02,858 ms
2022-04-15 14:51:04,938 ms
2022-04-15 14:51:06,835 ms
2022-04-15 14:51:08,484 ms
2022-04-15 14:51:10,399 ms
2022-04-15 14:51:12,399 ms
2022-04-15 14:51:14,502 ms
2022-04-15 14:51:16,852 ms
2022-04-15 14:51:18,1.24 s
2022-04-15 14:51:20,1.34 s
2022-04-15 14:51:22,1.32 s
2022-04-15 14:51:24,1.20 s
2022-04-15 14:51:26,776 ms
2022-04-15 14:51:28,604 ms
2022-04-15 14:51:30,421 ms
2022-04-15 14:51:32,309 ms
2022-04-15 14:51:34,314 ms
2022-04-15 14:51:36,299 ms
2022-04-15 14:51:38,350 ms
2022-04-15 14:51:40,446 ms
2022-04-15 14:51:42,445 ms
2022-04-15 14:51:44,496 ms
2022-04-15 14:51:46,498 ms
2022-04-15 14:51:48,360 ms
2022-04-15 14:51:50,498 ms
2022-04-15 14:51:52,600 ms
2022-04-15 14:51:54,601 ms
2022-04-15 14:51:56,811 ms
2022-04-15 14:51:58,1.26 s
2022-04-15 14:52:00,1.60 s
2022-04-15 14:52:02,2.15 s
2022-04-15 14:52:04,3.01 s
2022-04-15 14:52:06,2.51 s
2022-04-15 14:52:08,2.31 s
2022-04-15 14:52:10,1.92 s
2022-04-15 14:52:12,599 ms
2022-04-15 14:52:14,327 ms
2022-04-15 14:52:16,340 ms
2022-04-15 14:52:18,334 ms
2022-04-15 14:52:20,321 ms
2022-04-15 14:52:22,456 ms
2022-04-15 14:52:24,575 ms
2022-04-15 14:52:26,535 ms
2022-04-15 14:52:28,575 ms
2022-04-15 14:52:30,446 ms
2022-04-15 14:52:32,507 ms
2022-04-15 14:52:34,746 ms
2022-04-15 14:52:36,674 ms
2022-04-15 14:52:38,664 ms
2022-04-15 14:52:40,662 ms
2022-04-15 14:52:42,514 ms
2022-04-15 14:52:44,477 ms
2022-04-15 14:52:46,448 ms
2022-04-15 14:52:48,579 ms
2022-04-15 14:52:50,458 ms
2022-04-15 14:52:52,458 ms
2022-04-15 14:52:54,562 ms
2022-04-15 14:52:56,492 ms
2022-04-15 14:52:58,509 ms
2022-04-15 14:53:00,503 ms
2022-04-15 14:53:02,311 ms
2022-04-15 14:53:04,329 ms
2022-04-15 14:53:06,329 ms
2022-04-15 14:53:08,307 ms
2022-04-15 14:53:10,339 ms
2022-04-15 14:53:12,358 ms
2022-04-15 14:53:14,400 ms
2022-04-15 14:53:16,388 ms
2022-04-15 14:53:18,374 ms
2022-04-15 14:53:20,399 ms
2022-04-15 14:53:22,291 ms
2022-04-15 14:53:24,531 ms
2022-04-15 14:53:26,1.06 s
2022-04-15 14:53:28,1.49 s
2022-04-15 14:53:30,1.64 s
2022-04-15 14:53:32,1.76 s
2022-04-15 14:53:34,1.65 s
2022-04-15 14:53:36,1.39 s
2022-04-15 14:53:38,1.10 s
2022-04-15 14:53:40,752 ms
2022-04-15 14:53:42,457 ms
2022-04-15 14:53:44,689 ms
2022-04-15 14:53:46,831 ms
2022-04-15 14:53:48,883 ms
2022-04-15 14:53:50,787 ms
2022-04-15 14:53:52,477 ms
2022-04-15 14:53:54,454 ms
2022-04-15 14:53:56,463 ms
2022-04-15 14:53:58,339 ms
2022-04-15 14:54:00,337 ms
2022-04-15 14:54:02,332 ms
2022-04-15 14:54:04,324 ms
2022-04-15 14:54:06,385 ms
2022-04-15 14:54:08,718 ms
2022-04-15 14:54:10,1.55 s
2022-04-15 14:54:12,1.64 s
2022-04-15 14:54:14,2.09 s
2022-04-15 14:54:16,2.06 s
2022-04-15 14:54:18,2.07 s
2022-04-15 14:54:20,2.15 s
2022-04-15 14:54:22,2.85 s
2022-04-15 14:54:24,3.01 s
2022-04-15 14:54:26,2.63 s
