"Time","Value"
2022-04-15 14:42:15,59.1
2022-04-15 14:42:30,59.1
2022-04-15 14:42:45,64.4
2022-04-15 14:43:00,64.4
2022-04-15 14:43:15,53.1
2022-04-15 14:43:30,53.1
2022-04-15 14:43:45,43.7
2022-04-15 14:44:00,43.7
2022-04-15 14:44:15,40.7
2022-04-15 14:44:30,40.7
2022-04-15 14:44:45,67.8
2022-04-15 14:45:00,67.8
2022-04-15 14:45:15,19.8
2022-04-15 14:45:30,19.8
2022-04-15 14:45:45,70.4
2022-04-15 14:46:00,70.4
2022-04-15 14:46:15,53.7
2022-04-15 14:46:30,53.7
2022-04-15 14:46:45,47.7
2022-04-15 14:47:00,47.7
2022-04-15 14:47:15,48.4
2022-04-15 14:47:30,48.4
2022-04-15 14:47:45,66.9
2022-04-15 14:48:00,66.9
2022-04-15 14:48:15,41.1
2022-04-15 14:48:30,41.1
2022-04-15 14:48:45,28.8
2022-04-15 14:49:00,28.8
2022-04-15 14:49:15,39.2
2022-04-15 14:49:30,39.2
2022-04-15 14:49:45,64.8
2022-04-15 14:50:00,64.8
2022-04-15 14:50:15,66.2
2022-04-15 14:50:30,66.2
2022-04-15 14:50:45,65.0
2022-04-15 14:51:00,65.0
2022-04-15 14:51:15,56.3
2022-04-15 14:51:30,56.3
2022-04-15 14:51:45,63.9
2022-04-15 14:52:00,63.9
2022-04-15 14:52:15,63.2
2022-04-15 14:52:30,63.2
2022-04-15 14:52:45,49.1
2022-04-15 14:53:00,49.1
2022-04-15 14:53:15,57.3
2022-04-15 14:53:30,57.3
2022-04-15 14:53:45,52.2
2022-04-15 14:54:00,52.2
2022-04-15 14:54:15,30.2
2022-04-15 14:54:30,30.2
2022-04-15 14:54:45,88.1
2022-04-15 14:55:00,88.1
2022-04-15 14:55:15,47.9
2022-04-15 14:55:30,47.9
2022-04-15 14:55:45,71.7
2022-04-15 14:56:00,71.7
2022-04-15 14:56:15,40.2
2022-04-15 14:56:30,40.2
2022-04-15 14:56:45,50.4
2022-04-15 14:57:00,50.4
2022-04-15 14:57:15,56.9
2022-04-15 14:57:30,56.9
2022-04-15 14:57:45,55.0
2022-04-15 14:58:00,55.0
2022-04-15 14:58:15,67.1
2022-04-15 14:58:30,67.1
2022-04-15 14:58:45,40.5
2022-04-15 14:59:00,40.5
2022-04-15 14:59:15,49.9
2022-04-15 14:59:30,49.9
2022-04-15 14:59:45,26.0
2022-04-15 15:00:00,26.0
2022-04-15 15:00:15,73.5
2022-04-15 15:00:30,73.5
2022-04-15 15:00:45,57.8
2022-04-15 15:01:00,57.8
2022-04-15 15:01:15,56.4
2022-04-15 15:01:30,56.4
2022-04-15 15:01:45,61.3
2022-04-15 15:02:00,61.3
2022-04-15 15:02:15,42.9
2022-04-15 15:02:30,42.9
2022-04-15 15:02:45,53.4
2022-04-15 15:03:00,53.4
2022-04-15 15:03:15,44.6
2022-04-15 15:03:30,44.6
2022-04-15 15:03:45,61.4
2022-04-15 15:04:00,61.4
2022-04-15 15:04:15,75.2
2022-04-15 15:04:30,75.2
2022-04-15 15:04:45,28.4
2022-04-15 15:05:00,28.4
2022-04-15 15:05:15,68.5
2022-04-15 15:05:30,68.5
2022-04-15 15:05:45,48.7
2022-04-15 15:06:00,48.7
2022-04-15 15:06:15,75.4
2022-04-15 15:06:30,75.4
2022-04-15 15:06:45,50.2
2022-04-15 15:07:00,50.2
2022-04-15 15:07:15,53.1
2022-04-15 15:07:30,53.1
2022-04-15 15:07:45,29.2
2022-04-15 15:08:00,29.2
2022-04-15 15:08:15,68.9
2022-04-15 15:08:30,68.9
2022-04-15 15:08:45,68.6
2022-04-15 15:09:00,68.6
2022-04-15 15:09:15,67.9
2022-04-15 15:09:30,67.9
2022-04-15 15:09:45,43.9
2022-04-15 15:10:00,43.9
2022-04-15 15:10:15,60.1
2022-04-15 15:10:30,60.1
2022-04-15 15:10:45,49.3
2022-04-15 15:11:00,49.3
2022-04-15 15:11:15,74.2

