"Time","edge-server-cv-74d975f7cd-h8kdk","edge-server-cv-74d975f7cd-mqhqf","average"
2022-04-18 17:15:00,0.161,0.230,0.196
2022-04-18 17:15:15,0.164,0.224,0.194
2022-04-18 17:15:30,0.164,0.224,0.194
2022-04-18 17:15:45,0.224,0.182,0.203
2022-04-18 17:16:00,0.224,0.182,0.203
2022-04-18 17:16:15,0.364,0.202,0.283
2022-04-18 17:16:30,0.364,0.202,0.283
2022-04-18 17:16:45,0.117,0.185,0.151
2022-04-18 17:17:00,0.117,0.185,0.151
2022-04-18 17:17:15,0.224,0.288,0.256
2022-04-18 17:17:30,0.224,0.288,0.256
2022-04-18 17:17:45,0.109,0.210,0.160
2022-04-18 17:18:00,0.109,0.210,0.160
2022-04-18 17:18:15,0.222,0.184,0.203
2022-04-18 17:18:30,0.222,0.184,0.203
2022-04-18 17:18:45,0.154,0.137,0.146
2022-04-18 17:19:00,0.154,0.137,0.146
2022-04-18 17:19:15,0.200,0.215,0.208
2022-04-18 17:19:30,0.200,0.215,0.208
2022-04-18 17:19:45,0.214,0.261,0.237
2022-04-18 17:20:00,0.214,0.261,0.237
2022-04-18 17:20:15,0.192,0.256,0.224
2022-04-18 17:20:30,0.192,0.256,0.224
2022-04-18 17:20:45,0.164,0.182,0.173
2022-04-18 17:21:00,0.164,0.182,0.173
2022-04-18 17:21:15,0.253,0.167,0.210
2022-04-18 17:21:30,0.253,0.167,0.210
2022-04-18 17:21:45,0.243,0.263,0.253
2022-04-18 17:22:00,0.243,0.263,0.253
2022-04-18 17:22:15,0.302,0.209,0.255
2022-04-18 17:22:30,0.302,0.209,0.255
2022-04-18 17:22:45,0.0472,0.303,0.175
2022-04-18 17:23:00,0.0472,0.303,0.175
2022-04-18 17:23:15,0.205,0.342,0.273
2022-04-18 17:23:30,0.205,0.342,0.273
2022-04-18 17:23:45,0.195,0.216,0.206
2022-04-18 17:24:00,0.195,0.216,0.206
2022-04-18 17:24:15,0.324,0.177,0.250
2022-04-18 17:24:30,0.324,0.177,0.250
2022-04-18 17:24:45,0.148,0.161,0.154
2022-04-18 17:25:00,0.148,0.161,0.154
2022-04-18 17:25:15,0.339,0.254,0.296
2022-04-18 17:25:30,0.339,0.254,0.296
2022-04-18 17:25:45,0.257,0.147,0.202
2022-04-18 17:26:00,0.257,0.147,0.202
2022-04-18 17:26:15,0.143,0.321,0.232
2022-04-18 17:26:30,0.143,0.321,0.232
2022-04-18 17:26:45,0.184,0.198,0.191
2022-04-18 17:27:00,0.184,0.198,0.191
2022-04-18 17:27:15,0.287,0.280,0.283
2022-04-18 17:27:30,0.287,0.280,0.283
2022-04-18 17:27:45,0.195,0.224,0.210
2022-04-18 17:28:00,0.195,0.224,0.210
2022-04-18 17:28:15,0.377,0.213,0.295
2022-04-18 17:28:30,0.377,0.213,0.295
2022-04-18 17:28:45,0.191,0.225,0.208
2022-04-18 17:29:00,0.191,0.225,0.208
2022-04-18 17:29:15,0.235,0.360,0.297
2022-04-18 17:29:30,0.235,0.360,0.297
2022-04-18 17:29:45,0.199,0.214,0.206
2022-04-18 17:30:00,0.199,0.214,0.206
2022-04-18 17:30:15,0.135,0.235,0.185
2022-04-18 17:30:30,0.135,0.235,0.185
2022-04-18 17:30:45,0.232,0.240,0.236
2022-04-18 17:31:00,0.232,0.240,0.236
2022-04-18 17:31:15,0.228,0.265,0.247
2022-04-18 17:31:30,0.228,0.265,0.247
2022-04-18 17:31:45,0.174,0.252,0.213
2022-04-18 17:32:00,0.174,0.252,0.213
2022-04-18 17:32:15,0.179,0.188,0.183
2022-04-18 17:32:30,0.179,0.188,0.183
2022-04-18 17:32:45,0.365,0.275,0.320
2022-04-18 17:33:00,0.365,0.275,0.320
2022-04-18 17:33:15,0.333,0.256,0.295
2022-04-18 17:33:30,0.333,0.256,0.295
2022-04-18 17:33:45,0.131,0.224,0.178
2022-04-18 17:34:00,0.131,0.224,0.178
2022-04-18 17:34:15,0.206,0.133,0.169
2022-04-18 17:34:30,0.206,0.133,0.169
2022-04-18 17:34:45,0.148,0.211,0.179
2022-04-18 17:35:00,0.148,0.211,0.179
2022-04-18 17:35:15,0.279,0.356,0.318
2022-04-18 17:35:30,0.279,0.356,0.318
2022-04-18 17:35:45,0.255,0.219,0.237
2022-04-18 17:36:00,0.255,0.219,0.237
2022-04-18 17:36:15,0.202,0.0965,0.149
2022-04-18 17:36:30,0.202,0.0965,0.149
2022-04-18 17:36:45,0.449,0.205,0.327
2022-04-18 17:37:00,0.449,0.205,0.327
2022-04-18 17:37:15,0.263,0.183,0.223
2022-04-18 17:37:30,0.263,0.183,0.223
2022-04-18 17:37:45,0.292,0.240,0.266
2022-04-18 17:38:00,0.292,0.240,0.266
2022-04-18 17:38:15,0.246,0.322,0.284
2022-04-18 17:38:30,0.246,0.322,0.284
2022-04-18 17:38:45,0.346,0.229,0.287
2022-04-18 17:39:00,0.346,0.229,0.287
2022-04-18 17:39:15,0.308,0.146,0.227
2022-04-18 17:39:30,0.308,0.146,0.227
2022-04-18 17:39:45,0.234,0.350,0.292
2022-04-18 17:40:00,0.234,0.350,0.292
2022-04-18 17:40:15,0.219,0.208,0.214
2022-04-18 17:40:30,0.219,0.208,0.214
2022-04-18 17:40:45,0.262,0.266,0.264
2022-04-18 17:41:00,0.262,0.266,0.264
2022-04-18 17:41:15,0.295,0.287,0.291
2022-04-18 17:41:30,0.295,0.287,0.291
2022-04-18 17:41:45,0.219,0.279,0.249
2022-04-18 17:42:00,0.219,0.279,0.249
2022-04-18 17:42:15,0.161,0.386,0.274
2022-04-18 17:42:30,0.161,0.386,0.274
2022-04-18 17:42:45,0.258,0.326,0.292
2022-04-18 17:43:00,0.258,0.326,0.292
2022-04-18 17:43:15,0.196,0.219,0.207
2022-04-18 17:43:30,0.196,0.219,0.207
2022-04-18 17:43:45,0.296,0.250,0.273
2022-04-18 17:44:00,0.296,0.250,0.273

