"Time","edge-server-cv-74d975f7cd-h8kdk 60s","edge-server-cv-74d975f7cd-mqhqf 60s","average"
2022-04-18 17:15:00,0.0717,0.216,0.144
2022-04-18 17:15:15,0.165,0.330,0.247
2022-04-18 17:15:30,0.165,0.330,0.247
2022-04-18 17:15:45,0.288,0.182,0.235
2022-04-18 17:16:00,0.288,0.182,0.235
2022-04-18 17:16:15,0.413,0.303,0.358
2022-04-18 17:16:30,0.413,0.303,0.358
2022-04-18 17:16:45,0.0852,0.187,0.136
2022-04-18 17:17:00,0.0852,0.187,0.136
2022-04-18 17:17:15,0.375,0.264,0.320
2022-04-18 17:17:30,0.375,0.264,0.320
2022-04-18 17:17:45,0.143,0.340,0.242
2022-04-18 17:18:00,0.143,0.340,0.242
2022-04-18 17:18:15,0.285,0.221,0.253
2022-04-18 17:18:30,0.285,0.221,0.253
2022-04-18 17:18:45,0.146,0.0899,0.118
2022-04-18 17:19:00,0.146,0.0899,0.118
2022-04-18 17:19:15,0.186,0.332,0.259
2022-04-18 17:19:30,0.186,0.332,0.259
2022-04-18 17:19:45,0.256,0.259,0.258
2022-04-18 17:20:00,0.256,0.259,0.258
2022-04-18 17:20:15,0.277,0.236,0.257
2022-04-18 17:20:30,0.277,0.236,0.257
2022-04-18 17:20:45,0.242,0.150,0.196
2022-04-18 17:21:00,0.242,0.150,0.196
2022-04-18 17:21:15,0.279,0.151,0.215
2022-04-18 17:21:30,0.279,0.151,0.215
2022-04-18 17:21:45,0.248,0.364,0.306
2022-04-18 17:22:00,0.248,0.364,0.306
2022-04-18 17:22:15,0.356,0.234,0.295
2022-04-18 17:22:30,0.356,0.234,0.295
2022-04-18 17:22:45,0.000400,0.341,0.171
2022-04-18 17:23:00,0.000400,0.341,0.171
2022-04-18 17:23:15,0.144,0.384,0.264
2022-04-18 17:23:30,0.144,0.384,0.264
2022-04-18 17:23:45,0.459,0.271,0.365
2022-04-18 17:24:00,0.459,0.271,0.365
