"Time","Average Request Rate","edge-server-cv-74d975f7cd-h8kdk Requests/2s","edge-server-cv-74d975f7cd-mqhqf Requests/2s","avg_requests/30"
2022-04-18 17:15:06,0.500,1,0,1.21
2022-04-18 17:15:07,0.500,0,1,1.24
2022-04-18 17:15:08,1,0,2,1.28
2022-04-18 17:15:09,0,0,0,1.24
2022-04-18 17:15:10,0.500,1,0,1.28
2022-04-18 17:15:11,0,0,0,1.17
2022-04-18 17:15:12,0.500,0,1,1.14
2022-04-18 17:15:13,0.500,1,0,1.17
2022-04-18 17:15:14,1,1,1,1.21
2022-04-18 17:15:15,0,0,0,1.21
2022-04-18 17:15:16,0.500,0,1,1.10
2022-04-18 17:15:17,0,0,0,1.07
2022-04-18 17:15:18,0.500,0,1,1.03
2022-04-18 17:15:19,0,0,0,0.897
2022-04-18 17:15:20,1,1,1,0.931
2022-04-18 17:15:21,0.497,0.993,0,0.896
2022-04-18 17:15:22,0,0,0,0.897
2022-04-18 17:15:23,0.500,0,1,0.897
2022-04-18 17:15:24,1.50,2,1,0.966
2022-04-18 17:15:25,0.500,1,0,1
2022-04-18 17:15:26,0,0,0,0.931
2022-04-18 17:15:27,0.500,1,0,0.966
2022-04-18 17:15:28,0.500,0,1,1
2022-04-18 17:15:29,0.500,1,0,1.00
2022-04-18 17:15:30,0.500,1,0,1.00
2022-04-18 17:15:31,0,0,0,0.931
2022-04-18 17:15:32,2,1,3,1.03
2022-04-18 17:15:33,0.500,0,1,1.03
2022-04-18 17:15:34,0,0,0,0.966
2022-04-18 17:15:35,1,2,0,1
2022-04-18 17:15:36,0.500,1,0,1
2022-04-18 17:15:37,0,0,0,0.931
2022-04-18 17:15:38,0,0,0,0.931
2022-04-18 17:15:39,0.500,1,0,0.931
2022-04-18 17:15:40,1.50,2,1,1.03
2022-04-18 17:15:41,0.500,0,1,1.03
2022-04-18 17:15:42,0,0,0,1
2022-04-18 17:15:43,0.500,1,0,0.966
2022-04-18 17:15:44,1,0,2,1.03
2022-04-18 17:15:45,0,0,0,1
2022-04-18 17:15:46,0,0,0,1
2022-04-18 17:15:47,1,2,0,1.03
2022-04-18 17:15:48,0,0,0,1.03
2022-04-18 17:15:49,1.50,1,2,1.07
2022-04-18 17:15:50,0.500,0,1,1.07
2022-04-18 17:15:51,1,2,0,1.14
2022-04-18 17:15:52,1,2,0,1.17
2022-04-18 17:15:53,0.500,0,1,1.10
