"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-h8kdk Memory Usage","edge-server-cv-74d975f7cd-mqhqf Memory Usage"
2022-04-18 17:15:00,1178050560,589025280,606855168,571195392
2022-04-18 17:15:15,1319354368,659677184,641441792,677912576
2022-04-18 17:15:30,1319354368,659677184,641441792,677912576
2022-04-18 17:15:45,1401298944,700649472,684081152,717217792
2022-04-18 17:16:00,1401298944,700649472,684081152,717217792
2022-04-18 17:16:15,1263493120,631746560,678711296,584781824
2022-04-18 17:16:30,1263493120,631746560,678711296,584781824
2022-04-18 17:16:45,1238540288,619270144,670736384,567803904
2022-04-18 17:17:00,1238540288,619270144,670736384,567803904
2022-04-18 17:17:15,1211441152,605720576,599392256,612048896
2022-04-18 17:17:30,1211441152,605720576,599392256,612048896
2022-04-18 17:17:45,1445171200,722585600,692449280,752721920
2022-04-18 17:18:00,1445171200,722585600,692449280,752721920
2022-04-18 17:18:15,1182519296,591259648,535969792,646549504
2022-04-18 17:18:30,1182519296,591259648,535969792,646549504
2022-04-18 17:18:45,1398550528,699275264,659054592,739495936
2022-04-18 17:19:00,1398550528,699275264,659054592,739495936
2022-04-18 17:19:15,1301667840,650833920,661975040,639692800
2022-04-18 17:19:30,1301667840,650833920,661975040,639692800
2022-04-18 17:19:45,1710350336,855175168,1010147328,700203008
2022-04-18 17:20:00,1710350336,855175168,1010147328,700203008
2022-04-18 17:20:15,1608167424,804083712,802926592,805240832
2022-04-18 17:20:30,1608167424,804083712,802926592,805240832
2022-04-18 17:20:45,1642938368,821469184,755105792,887832576
2022-04-18 17:21:00,1642938368,821469184,755105792,887832576
2022-04-18 17:21:15,1384648704,692324352,652140544,732508160
2022-04-18 17:21:30,1384648704,692324352,652140544,732508160
2022-04-18 17:21:45,1678856192,839428096,655450112,1023406080
2022-04-18 17:22:00,1678856192,839428096,655450112,1023406080
2022-04-18 17:22:15,1477799936,738899968,690053120,787746816
2022-04-18 17:22:30,1477799936,738899968,690053120,787746816
2022-04-18 17:22:45,1694269440,847134720,823025664,871243776
2022-04-18 17:23:00,1694269440,847134720,823025664,871243776
2022-04-18 17:23:15,1829793792,914896896,962342912,867450880
2022-04-18 17:23:30,1829793792,914896896,962342912,867450880
2022-04-18 17:23:45,1116278784,558139392,466522112,649756672
2022-04-18 17:24:00,1116278784,558139392,466522112,649756672
2022-04-18 17:24:15,1287106560,643553280,750718976,536387584
2022-04-18 17:24:30,1287106560,643553280,750718976,536387584
2022-04-18 17:24:45,1399087104,699543552,919564288,479522816
2022-04-18 17:25:00,1399087104,699543552,919564288,479522816
2022-04-18 17:25:15,1480744960,740372480,796004352,684740608
2022-04-18 17:25:30,1480744960,740372480,796004352,684740608
2022-04-18 17:25:45,1271754752,635877376,615473152,656281600
2022-04-18 17:26:00,1271754752,635877376,615473152,656281600
2022-04-18 17:26:15,1486966784,743483392,766853120,720113664
2022-04-18 17:26:30,1486966784,743483392,766853120,720113664
2022-04-18 17:26:45,1583468544,791734272,826281984,757186560
2022-04-18 17:27:00,1583468544,791734272,826281984,757186560
2022-04-18 17:27:15,1422143488,711071744,838873088,583270400
2022-04-18 17:27:30,1422143488,711071744,838873088,583270400
2022-04-18 17:27:45,1132789760,566394880,513495040,619294720
2022-04-18 17:28:00,1132789760,566394880,513495040,619294720
2022-04-18 17:28:15,1428004864,714002432,756801536,671203328
2022-04-18 17:28:30,1428004864,714002432,756801536,671203328
2022-04-18 17:28:45,1380278272,690139136,568119296,812158976
2022-04-18 17:29:00,1380278272,690139136,568119296,812158976
2022-04-18 17:29:15,1521577984,760788992,747765760,773812224
2022-04-18 17:29:30,1521577984,760788992,747765760,773812224
2022-04-18 17:29:45,1418891264,709445632,625987584,792903680
2022-04-18 17:30:00,1418891264,709445632,625987584,792903680
2022-04-18 17:30:15,1299111936,649555968,588632064,710479872
2022-04-18 17:30:30,1299111936,649555968,588632064,710479872
2022-04-18 17:30:45,1436323840,718161920,696823808,739500032
2022-04-18 17:31:00,1436323840,718161920,696823808,739500032
2022-04-18 17:31:15,1682792448,841396224,715153408,967639040
2022-04-18 17:31:30,1682792448,841396224,715153408,967639040
2022-04-18 17:31:45,1921576960,960788480,634609664,1286967296
2022-04-18 17:32:00,1921576960,960788480,634609664,1286967296
2022-04-18 17:32:15,1734238208,867119104,629911552,1104326656
2022-04-18 17:32:30,1734238208,867119104,629911552,1104326656
2022-04-18 17:32:45,1482629120,741314560,843448320,639180800
2022-04-18 17:33:00,1482629120,741314560,843448320,639180800
2022-04-18 17:33:15,1289547776,644773888,757624832,531922944
2022-04-18 17:33:30,1289547776,644773888,757624832,531922944
2022-04-18 17:33:45,1298796544,649398272,646918144,651878400
2022-04-18 17:34:00,1298796544,649398272,646918144,651878400
2022-04-18 17:34:15,962285568,481142784,486715392,475570176
2022-04-18 17:34:30,962285568,481142784,486715392,475570176
2022-04-18 17:34:45,1319280640,659640320,719872000,599408640
2022-04-18 17:35:00,1319280640,659640320,719872000,599408640
2022-04-18 17:35:15,1402544128,701272064,582123520,820420608
2022-04-18 17:35:30,1402544128,701272064,582123520,820420608
2022-04-18 17:35:45,1256062976,628031488,661913600,594149376
2022-04-18 17:36:00,1256062976,628031488,661913600,594149376
2022-04-18 17:36:15,1414283264,707141632,794112000,620171264
2022-04-18 17:36:30,1414283264,707141632,794112000,620171264
2022-04-18 17:36:45,1449500672,724750336,706007040,743493632
2022-04-18 17:37:00,1449500672,724750336,706007040,743493632
2022-04-18 17:37:15,1439195136,719597568,621842432,817352704
2022-04-18 17:37:30,1439195136,719597568,621842432,817352704
2022-04-18 17:37:45,1934688256,967344128,1066950656,867737600
2022-04-18 17:38:00,1934688256,967344128,1066950656,867737600
2022-04-18 17:38:15,1778753536,889376768,1127985152,650768384
2022-04-18 17:38:30,1778753536,889376768,1127985152,650768384
2022-04-18 17:38:45,1782169600,891084800,879009792,903159808
2022-04-18 17:39:00,1782169600,891084800,879009792,903159808
2022-04-18 17:39:15,1354502144,677251072,691654656,662847488
2022-04-18 17:39:30,1354502144,677251072,691654656,662847488
2022-04-18 17:39:45,1313443840,656721920,702525440,610918400
2022-04-18 17:40:00,1313443840,656721920,702525440,610918400
2022-04-18 17:40:15,1352577024,676288512,862027776,490549248
2022-04-18 17:40:30,1352577024,676288512,862027776,490549248
2022-04-18 17:40:45,1274253312,637126656,529031168,745222144
2022-04-18 17:41:00,1274253312,637126656,529031168,745222144
2022-04-18 17:41:15,1247862784,623931392,689504256,558358528
2022-04-18 17:41:30,1247862784,623931392,689504256,558358528
2022-04-18 17:41:45,1351135232,675567616,559218688,791916544
2022-04-18 17:42:00,1351135232,675567616,559218688,791916544
2022-04-18 17:42:15,1458819072,729409536,614223872,844595200
2022-04-18 17:42:30,1458819072,729409536,614223872,844595200
