"Time","edge-server-cv-74d975f7cd-h8kdk","edge-server-cv-74d975f7cd-mqhqf","Average"
2022-04-18 17:15:00,28.9,27.2,28.1
2022-04-18 17:15:15,30.6,32.3,31.5
2022-04-18 17:15:30,30.6,32.3,31.5
2022-04-18 17:15:45,32.6,34.2,33.4
2022-04-18 17:16:00,32.6,34.2,33.4
2022-04-18 17:16:15,32.4,27.9,30.1
2022-04-18 17:16:30,32.4,27.9,30.1
2022-04-18 17:16:45,32.0,27.1,29.5
2022-04-18 17:17:00,32.0,27.1,29.5
2022-04-18 17:17:15,28.6,29.2,28.9
2022-04-18 17:17:30,28.6,29.2,28.9
2022-04-18 17:17:45,33.0,35.9,34.5
2022-04-18 17:18:00,33.0,35.9,34.5
2022-04-18 17:18:15,25.6,30.8,28.2
2022-04-18 17:18:30,25.6,30.8,28.2
2022-04-18 17:18:45,31.4,35.3,33.3
2022-04-18 17:19:00,31.4,35.3,33.3
2022-04-18 17:19:15,31.6,30.5,31.0
2022-04-18 17:19:30,31.6,30.5,31.0
2022-04-18 17:19:45,48.2,33.4,40.8
2022-04-18 17:20:00,48.2,33.4,40.8
2022-04-18 17:20:15,38.3,38.4,38.3
2022-04-18 17:20:30,38.3,38.4,38.3
2022-04-18 17:20:45,36.0,42.3,39.2
2022-04-18 17:21:00,36.0,42.3,39.2
2022-04-18 17:21:15,31.1,34.9,33.0
2022-04-18 17:21:30,31.1,34.9,33.0
2022-04-18 17:21:45,31.3,48.8,40.0
2022-04-18 17:22:00,31.3,48.8,40.0
2022-04-18 17:22:15,32.9,37.6,35.2
2022-04-18 17:22:30,32.9,37.6,35.2
2022-04-18 17:22:45,39.2,41.5,40.4
2022-04-18 17:23:00,39.2,41.5,40.4
2022-04-18 17:23:15,45.9,41.4,43.6
2022-04-18 17:23:30,45.9,41.4,43.6
2022-04-18 17:23:45,22.2,31.0,26.6
2022-04-18 17:24:00,22.2,31.0,26.6
2022-04-18 17:24:15,35.8,25.6,30.7
2022-04-18 17:24:30,35.8,25.6,30.7
2022-04-18 17:24:45,43.8,22.9,33.4
2022-04-18 17:25:00,43.8,22.9,33.4
2022-04-18 17:25:15,38.0,32.7,35.3
2022-04-18 17:25:30,38.0,32.7,35.3
2022-04-18 17:25:45,29.3,31.3,30.3
2022-04-18 17:26:00,29.3,31.3,30.3
2022-04-18 17:26:15,36.6,34.3,35.5
2022-04-18 17:26:30,36.6,34.3,35.5
2022-04-18 17:26:45,39.4,36.1,37.8
2022-04-18 17:27:00,39.4,36.1,37.8
2022-04-18 17:27:15,40.0,27.8,33.9
2022-04-18 17:27:30,40.0,27.8,33.9
2022-04-18 17:27:45,24.5,29.5,27.0
2022-04-18 17:28:00,24.5,29.5,27.0
2022-04-18 17:28:15,36.1,32.0,34.0
2022-04-18 17:28:30,36.1,32.0,34.0
2022-04-18 17:28:45,27.1,38.7,32.9
2022-04-18 17:29:00,27.1,38.7,32.9
2022-04-18 17:29:15,35.7,36.9,36.3
2022-04-18 17:29:30,35.7,36.9,36.3
2022-04-18 17:29:45,29.8,37.8,33.8
2022-04-18 17:30:00,29.8,37.8,33.8
2022-04-18 17:30:15,28.1,33.9,31.0
2022-04-18 17:30:30,28.1,33.9,31.0
2022-04-18 17:30:45,33.2,35.3,34.2
2022-04-18 17:31:00,33.2,35.3,34.2
2022-04-18 17:31:15,34.1,46.1,40.1
2022-04-18 17:31:30,34.1,46.1,40.1
2022-04-18 17:31:45,30.3,61.4,45.8
2022-04-18 17:32:00,30.3,61.4,45.8
2022-04-18 17:32:15,30.0,52.7,41.3
2022-04-18 17:32:30,30.0,52.7,41.3
2022-04-18 17:32:45,40.2,30.5,35.3
2022-04-18 17:33:00,40.2,30.5,35.3
2022-04-18 17:33:15,36.1,25.4,30.7
2022-04-18 17:33:30,36.1,25.4,30.7
2022-04-18 17:33:45,30.8,31.1,31.0
2022-04-18 17:34:00,30.8,31.1,31.0
2022-04-18 17:34:15,23.2,22.7,22.9
2022-04-18 17:34:30,23.2,22.7,22.9
2022-04-18 17:34:45,34.3,28.6,31.5
2022-04-18 17:35:00,34.3,28.6,31.5
2022-04-18 17:35:15,27.8,39.1,33.4
2022-04-18 17:35:30,27.8,39.1,33.4
2022-04-18 17:35:45,31.6,28.3,29.9
2022-04-18 17:36:00,31.6,28.3,29.9
2022-04-18 17:36:15,37.9,29.6,33.7
2022-04-18 17:36:30,37.9,29.6,33.7
2022-04-18 17:36:45,33.7,35.5,34.6
2022-04-18 17:37:00,33.7,35.5,34.6
2022-04-18 17:37:15,29.7,39.0,34.3
2022-04-18 17:37:30,29.7,39.0,34.3
2022-04-18 17:37:45,50.9,41.4,46.1
2022-04-18 17:38:00,50.9,41.4,46.1
2022-04-18 17:38:15,53.8,31.0,42.4
2022-04-18 17:38:30,53.8,31.0,42.4
2022-04-18 17:38:45,41.9,43.1,42.5
2022-04-18 17:39:00,41.9,43.1,42.5
2022-04-18 17:39:15,33.0,31.6,32.3
