"Time","edge-server-cv-74d975f7cd-dh5z7","edge-server-cv-74d975f7cd-rtzfz","average"
2022-04-18 15:52:00,0.375,0.303,0.339
2022-04-18 15:52:15,0.184,0.337,0.260
2022-04-18 15:52:30,0.184,0.337,0.260
2022-04-18 15:52:45,0.502,0.409,0.456
2022-04-18 15:53:00,0.502,0.409,0.456
2022-04-18 15:53:15,0.384,0.457,0.421
2022-04-18 15:53:30,0.384,0.457,0.421
2022-04-18 15:53:45,0.181,0.255,0.218
2022-04-18 15:54:00,0.181,0.255,0.218
2022-04-18 15:54:15,0.443,0.382,0.412
2022-04-18 15:54:30,0.443,0.382,0.412
2022-04-18 15:54:45,0.439,0.342,0.390
2022-04-18 15:55:00,0.439,0.342,0.390
2022-04-18 15:55:15,0.384,0.436,0.410
2022-04-18 15:55:30,0.384,0.436,0.410
2022-04-18 15:55:45,0.420,0.416,0.418
2022-04-18 15:56:00,0.420,0.416,0.418
2022-04-18 15:56:15,0.308,0.303,0.305
2022-04-18 15:56:30,0.308,0.303,0.305
2022-04-18 15:56:45,0.472,0.485,0.478
2022-04-18 15:57:00,0.472,0.485,0.478
2022-04-18 15:57:15,0.442,0.360,0.401
2022-04-18 15:57:30,0.442,0.360,0.401
2022-04-18 15:57:45,0.465,0.400,0.432
2022-04-18 15:58:00,0.465,0.400,0.432
2022-04-18 15:58:15,0.367,0.275,0.321
2022-04-18 15:58:30,0.367,0.275,0.321
2022-04-18 15:58:45,0.257,0.491,0.374
2022-04-18 15:59:00,0.257,0.491,0.374
2022-04-18 15:59:15,0.301,0.193,0.247
2022-04-18 15:59:30,0.301,0.193,0.247
2022-04-18 15:59:45,0.364,0.609,0.486
2022-04-18 16:00:00,0.364,0.609,0.486
2022-04-18 16:00:15,0.559,0.197,0.378
2022-04-18 16:00:30,0.559,0.197,0.378
2022-04-18 16:00:45,0.338,0.543,0.440
2022-04-18 16:01:00,0.338,0.543,0.440
2022-04-18 16:01:15,0.348,0.488,0.418
2022-04-18 16:01:30,0.348,0.488,0.418
2022-04-18 16:01:45,0.658,0.441,0.549
2022-04-18 16:02:00,0.658,0.441,0.549
2022-04-18 16:02:15,0.211,0.524,0.368
2022-04-18 16:02:30,0.211,0.524,0.368
2022-04-18 16:02:45,0.335,0.441,0.388
2022-04-18 16:03:00,0.335,0.441,0.388
2022-04-18 16:03:15,0.471,0.252,0.361
2022-04-18 16:03:30,0.471,0.252,0.361
2022-04-18 16:03:45,0.516,0.305,0.410
2022-04-18 16:04:00,0.516,0.305,0.410
2022-04-18 16:04:15,0.321,0.459,0.390
2022-04-18 16:04:30,0.321,0.459,0.390
2022-04-18 16:04:45,0.468,0.444,0.456
2022-04-18 16:05:00,0.468,0.444,0.456
2022-04-18 16:05:15,0.462,0.402,0.432
2022-04-18 16:05:30,0.462,0.402,0.432
2022-04-18 16:05:45,0.357,0.461,0.409
2022-04-18 16:06:00,0.357,0.461,0.409
2022-04-18 16:06:15,0.422,0.330,0.376
2022-04-18 16:06:30,0.422,0.330,0.376
2022-04-18 16:06:45,0.376,0.327,0.352
2022-04-18 16:07:00,0.376,0.327,0.352
2022-04-18 16:07:15,0.489,0.240,0.364
2022-04-18 16:07:30,0.489,0.240,0.364
2022-04-18 16:07:45,0.410,0.454,0.432
2022-04-18 16:08:00,0.410,0.454,0.432
2022-04-18 16:08:15,0.644,0.455,0.549
2022-04-18 16:08:30,0.644,0.455,0.549
2022-04-18 16:08:45,0.514,0.572,0.543
2022-04-18 16:09:00,0.514,0.572,0.543
2022-04-18 16:09:15,0.392,0.309,0.350
2022-04-18 16:09:30,0.392,0.309,0.350
2022-04-18 16:09:45,0.560,0.518,0.539
2022-04-18 16:10:00,0.560,0.518,0.539
2022-04-18 16:10:15,0.328,0.300,0.314
2022-04-18 16:10:30,0.328,0.300,0.314
2022-04-18 16:10:45,0.376,0.332,0.354
2022-04-18 16:11:00,0.376,0.332,0.354
2022-04-18 16:11:15,0.350,0.467,0.409
2022-04-18 16:11:30,0.350,0.467,0.409
2022-04-18 16:11:45,0.421,0.266,0.344
