"Time","edge-server-cv-74d975f7cd-dh5z7 60s","edge-server-cv-74d975f7cd-rtzfz 60s","average"
2022-04-18 15:52:00,0.291,0.398,0.345
2022-04-18 15:52:15,0.231,0.276,0.254
2022-04-18 15:52:30,0.231,0.276,0.254
2022-04-18 15:52:45,0.738,0.354,0.546
2022-04-18 15:53:00,0.738,0.354,0.546
2022-04-18 15:53:15,0.265,0.530,0.398
2022-04-18 15:53:30,0.265,0.530,0.398
2022-04-18 15:53:45,0.205,0.248,0.227
2022-04-18 15:54:00,0.205,0.248,0.227
2022-04-18 15:54:15,0.404,0.567,0.485
2022-04-18 15:54:30,0.404,0.567,0.485
2022-04-18 15:54:45,0.426,0.180,0.303
2022-04-18 15:55:00,0.426,0.180,0.303
2022-04-18 15:55:15,0.450,0.506,0.478
2022-04-18 15:55:30,0.450,0.506,0.478
2022-04-18 15:55:45,0.402,0.571,0.487
2022-04-18 15:56:00,0.402,0.571,0.487
2022-04-18 15:56:15,0.288,0.145,0.216
2022-04-18 15:56:30,0.288,0.145,0.216
2022-04-18 15:56:45,0.441,0.538,0.489
2022-04-18 15:57:00,0.441,0.538,0.489
2022-04-18 15:57:15,0.499,0.475,0.487
2022-04-18 15:57:30,0.499,0.475,0.487
2022-04-18 15:57:45,0.680,0.693,0.686
2022-04-18 15:58:00,0.680,0.693,0.686
2022-04-18 15:58:15,0.331,0.178,0.255
2022-04-18 15:58:30,0.331,0.178,0.255
2022-04-18 15:58:45,0.270,0.697,0.484
2022-04-18 15:59:00,0.270,0.697,0.484
2022-04-18 15:59:15,0.452,0.255,0.354
2022-04-18 15:59:30,0.452,0.255,0.354
2022-04-18 15:59:45,0.367,0.695,0.531
2022-04-18 16:00:00,0.367,0.695,0.531
2022-04-18 16:00:15,0.603,0.148,0.376
2022-04-18 16:00:30,0.603,0.148,0.376
2022-04-18 16:00:45,0.321,0.514,0.417
2022-04-18 16:01:00,0.321,0.514,0.417
2022-04-18 16:01:15,0.513,0.752,0.633
2022-04-18 16:01:30,0.513,0.752,0.633
