"Time","Average Request Rate","edge-server-cv-74d975f7cd-dh5z7 Requests/2s","edge-server-cv-74d975f7cd-rtzfz Requests/2s","avg_requests/30"
2022-04-18 15:52:06,0.500,0,1,1.90
2022-04-18 15:52:07,0,0,0,1.83
2022-04-18 15:52:08,1.50,2,1,1.83
2022-04-18 15:52:09,1,1,1,1.79
2022-04-18 15:52:10,0,0,0,1.72
2022-04-18 15:52:11,0.999,0.998,1,1.76
2022-04-18 15:52:12,1.50,2.00,1,1.86
2022-04-18 15:52:13,3,4,2,2.03
2022-04-18 15:52:14,0.500,0,1,2.07
2022-04-18 15:52:15,0.500,1,0,2.03
2022-04-18 15:52:16,1.50,1,2,2.10
2022-04-18 15:52:17,1.50,0,3,2.14
2022-04-18 15:52:18,0.500,1,0,2.14
2022-04-18 15:52:19,0.500,1,0,2.03
2022-04-18 15:52:20,1,1,1,2
2022-04-18 15:52:21,0.500,0,1,1.97
2022-04-18 15:52:22,0.500,0,1,2
2022-04-18 15:52:23,1,2,0,2
2022-04-18 15:52:24,1,2,0,2.03
2022-04-18 15:52:25,1.50,1,2,2.03
2022-04-18 15:52:26,2,3,1,2.10
2022-04-18 15:52:27,1.50,1,2,2.10
2022-04-18 15:52:28,1.50,2,1,2.17
2022-04-18 15:52:29,1,0,2,2.10
2022-04-18 15:52:30,0,0,0,2
2022-04-18 15:52:31,0.500,1,0,1.93
2022-04-18 15:52:32,0,0,0,1.83
2022-04-18 15:52:33,0.500,0,1,1.79
2022-04-18 15:52:34,3,3,3,2
2022-04-18 15:52:35,0.500,0,1,2
2022-04-18 15:52:36,0.500,1,0,2.03
2022-04-18 15:52:37,0.500,0,1,1.97
2022-04-18 15:52:38,1.50,1,2,2
2022-04-18 15:52:39,0.500,1,0,2.03
2022-04-18 15:52:40,0,0,0,1.97
2022-04-18 15:52:41,2,1,3,2
2022-04-18 15:52:42,1,2,0,1.86
2022-04-18 15:52:43,0,0,0,1.83
2022-04-18 15:52:44,1.50,2,1,1.90
2022-04-18 15:52:45,1,1,1,1.86
2022-04-18 15:52:46,1,1,1,1.83
2022-04-18 15:52:47,0.500,1,0,1.83
2022-04-18 15:52:48,0.500,0,1,1.83
2022-04-18 15:52:49,2,1,3,1.90
2022-04-18 15:52:50,1,0,2,1.93
2022-04-18 15:52:51,0.500,0,1,1.93
2022-04-18 15:52:52,2,2,2,2
2022-04-18 15:52:53,0.500,1,0,1.97
2022-04-18 15:52:54,1,0,2,1.93
2022-04-18 15:52:55,1,2,0,1.86
2022-04-18 15:52:56,0.500,1,0,1.79
2022-04-18 15:52:57,0.500,0,1,1.72
2022-04-18 15:52:58,1,1,1,1.72
2022-04-18 15:52:59,0.500,0,1,1.76
2022-04-18 15:53:00,2,2,2,1.86
2022-04-18 15:53:01,1.50,3,0,1.97
2022-04-18 15:53:02,0.500,0,1,1.97
2022-04-18 15:53:03,0,0,0,1.76
2022-04-18 15:53:04,1,2,0,1.79
2022-04-18 15:53:05,0.500,1,0,1.79
2022-04-18 15:53:06,1.50,0,3,1.86
2022-04-18 15:53:07,0.500,0,1,1.79
2022-04-18 15:53:08,1,1,1,1.83
2022-04-18 15:53:09,1.50,2,1,1.93
2022-04-18 15:53:10,1.50,3,0,1.90
2022-04-18 15:53:11,0,0,0,1.83
2022-04-18 15:53:12,0,0,0,1.83
2022-04-18 15:53:13,1,1,1,1.79
2022-04-18 15:53:14,0.500,0,1,1.76
2022-04-18 15:53:15,0.500,1,0,1.72
2022-04-18 15:53:16,2.50,2,3,1.86
2022-04-18 15:53:17,1,1,1,1.90
2022-04-18 15:53:18,0.500,0,1,1.79
2022-04-18 15:53:19,0,0,0,1.72
2022-04-18 15:53:20,1,1,1,1.76
2022-04-18 15:53:21,0.500,0,1,1.66
2022-04-18 15:53:22,0,0,0,1.62
2022-04-18 15:53:23,1,0,2,1.62
2022-04-18 15:53:24,0.500,0,1,1.59
2022-04-18 15:53:25,1,2,0,1.62
2022-04-18 15:53:26,0,0,0,1.59
2022-04-18 15:53:27,1.50,2,1,1.62
2022-04-18 15:53:28,1,1,1,1.66
2022-04-18 15:53:29,1,0,2,1.59
2022-04-18 15:53:30,1,1,1,1.55
2022-04-18 15:53:31,1,2,0,1.59
2022-04-18 15:53:32,1,2,0,1.66
2022-04-18 15:53:33,0.500,1,0,1.62
2022-04-18 15:53:34,1,2,0,1.66
2022-04-18 15:53:35,2,1,3,1.69
2022-04-18 15:53:36,0.500,0,1,1.69
2022-04-18 15:53:37,1,1,1,1.69
2022-04-18 15:53:38,1.50,2,1,1.69
2022-04-18 15:53:39,1.50,1,2,1.69
2022-04-18 15:53:40,1,2,0,1.76
2022-04-18 15:53:41,1.50,1,2,1.86
2022-04-18 15:53:42,1,1,1,1.86
2022-04-18 15:53:43,1.50,1,2,1.93
2022-04-18 15:53:44,2,0,4,2.03
2022-04-18 15:53:45,0.500,1,0,1.90
2022-04-18 15:53:46,0.500,1,0,1.86
2022-04-18 15:53:47,1,2,0,1.90
2022-04-18 15:53:48,3,3,3,2.10
2022-04-18 15:53:49,2.50,2,3,2.21
2022-04-18 15:53:50,1,0,2,2.24
2022-04-18 15:53:51,2,4,0,2.38
2022-04-18 15:53:52,1,2,0,2.38
2022-04-18 15:53:53,1,2,0,2.41
2022-04-18 15:53:54,0.500,1,0,2.38
2022-04-18 15:53:55,0.500,1,0,2.41
2022-04-18 15:53:56,0.500,1,0,2.34
2022-04-18 15:53:57,0.500,1,0,2.31
2022-04-18 15:53:58,0.500,1,0,2.28
2022-04-18 15:53:59,0.500,1,0,2.24
2022-04-18 15:54:00,2,3,1,2.31
2022-04-18 15:54:01,2,1,3,2.38
2022-04-18 15:54:02,1,0,2,2.41
2022-04-18 15:54:03,2,1,3,2.48
2022-04-18 15:54:04,1,1,1,2.41
2022-04-18 15:54:05,0.500,1,0,2.41
2022-04-18 15:54:06,1.50,1,2,2.45
2022-04-18 15:54:07,1,0,2,2.41
2022-04-18 15:54:08,0,0,0,2.31
2022-04-18 15:54:09,1,0,2,2.31
2022-04-18 15:54:10,1,1,1,2.28
2022-04-18 15:54:11,1,0,2,2.28
