"Time","edge-server-cv-74d975f7cd-dh5z7","edge-server-cv-74d975f7cd-rtzfz","Average"
2022-04-18 15:52:00,43.0,38.5,40.8
2022-04-18 15:52:15,42.1,54.3,48.2
2022-04-18 15:52:30,42.1,54.3,48.2
2022-04-18 15:52:45,37.7,58.1,47.9
2022-04-18 15:53:00,37.7,58.1,47.9
2022-04-18 15:53:15,44.1,34.6,39.4
2022-04-18 15:53:30,44.1,34.6,39.4
2022-04-18 15:53:45,35.9,37.9,36.9
2022-04-18 15:54:00,35.9,37.9,36.9
2022-04-18 15:54:15,54.2,33.1,43.7
2022-04-18 15:54:30,54.2,33.1,43.7
2022-04-18 15:54:45,50.5,55.5,53.0
2022-04-18 15:55:00,50.5,55.5,53.0
2022-04-18 15:55:15,35.6,34.0,34.8
2022-04-18 15:55:30,35.6,34.0,34.8
2022-04-18 15:55:45,47.0,23.5,35.2
2022-04-18 15:56:00,47.0,23.5,35.2
2022-04-18 15:56:15,57.7,41.5,49.6
2022-04-18 15:56:30,57.7,41.5,49.6
2022-04-18 15:56:45,44.0,31.8,37.9
2022-04-18 15:57:00,44.0,31.8,37.9
2022-04-18 15:57:15,57.6,52.8,55.2
2022-04-18 15:57:30,57.6,52.8,55.2
2022-04-18 15:57:45,45.3,31.8,38.5
2022-04-18 15:58:00,45.3,31.8,38.5
2022-04-18 15:58:15,51.5,39.2,45.4
2022-04-18 15:58:30,51.5,39.2,45.4
2022-04-18 15:58:45,27.1,46.7,36.9
2022-04-18 15:59:00,27.1,46.7,36.9
2022-04-18 15:59:15,37.3,44.9,41.1
2022-04-18 15:59:30,37.3,44.9,41.1
2022-04-18 15:59:45,47.2,51.9,49.5
2022-04-18 16:00:00,47.2,51.9,49.5
2022-04-18 16:00:15,44.9,44.3,44.6
2022-04-18 16:00:30,44.9,44.3,44.6
2022-04-18 16:00:45,52.3,44.3,48.3
2022-04-18 16:01:00,52.3,44.3,48.3
2022-04-18 16:01:15,47.9,29.4,38.6
2022-04-18 16:01:30,47.9,29.4,38.6
2022-04-18 16:01:45,41.7,46.7,44.2
2022-04-18 16:02:00,41.7,46.7,44.2
2022-04-18 16:02:15,45.0,40.2,42.6
2022-04-18 16:02:30,45.0,40.2,42.6
2022-04-18 16:02:45,40.0,40.0,40.0
2022-04-18 16:03:00,40.0,40.0,40.0
2022-04-18 16:03:15,44.8,50.9,47.9
2022-04-18 16:03:30,44.8,50.9,47.9
2022-04-18 16:03:45,47.0,48.0,47.5
2022-04-18 16:04:00,47.0,48.0,47.5
2022-04-18 16:04:15,45.4,51.4,48.4
2022-04-18 16:04:30,45.4,51.4,48.4
2022-04-18 16:04:45,41.7,40.5,41.1
2022-04-18 16:05:00,41.7,40.5,41.1
2022-04-18 16:05:15,46.9,54.1,50.5
2022-04-18 16:05:30,46.9,54.1,50.5
2022-04-18 16:05:45,42.9,40.3,41.6
2022-04-18 16:06:00,42.9,40.3,41.6
2022-04-18 16:06:15,49.6,35.5,42.5
2022-04-18 16:06:30,49.6,35.5,42.5
2022-04-18 16:06:45,50.5,39.0,44.8
2022-04-18 16:07:00,50.5,39.0,44.8
2022-04-18 16:07:15,62.2,44.4,53.3
2022-04-18 16:07:30,62.2,44.4,53.3
2022-04-18 16:07:45,59.9,45.6,52.7
2022-04-18 16:08:00,59.9,45.6,52.7
2022-04-18 16:08:15,45.1,50.9,48.0
2022-04-18 16:08:30,45.1,50.9,48.0
2022-04-18 16:08:45,63.7,45.2,54.5
2022-04-18 16:09:00,63.7,45.2,54.5
2022-04-18 16:09:15,70.0,36.8,53.4
2022-04-18 16:09:30,70.0,36.8,53.4
2022-04-18 16:09:45,57.6,45.9,51.7
2022-04-18 16:10:00,57.6,45.9,51.7
2022-04-18 16:10:15,40.1,54.5,47.3
2022-04-18 16:10:30,40.1,54.5,47.3
2022-04-18 16:10:45,45.6,30.5,38.0
2022-04-18 16:11:00,45.6,30.5,38.0
2022-04-18 16:11:15,51.8,55.5,53.7
2022-04-18 16:11:30,51.8,55.5,53.7
2022-04-18 16:11:45,62.8,55.2,59.0
2022-04-18 16:12:00,62.8,55.2,59.0
2022-04-18 16:12:15,40.8,37.7,39.2
2022-04-18 16:12:30,40.8,37.7,39.2
2022-04-18 16:12:45,49.9,41.0,45.5
2022-04-18 16:13:00,49.9,41.0,45.5
2022-04-18 16:13:15,53.5,48.0,50.7
2022-04-18 16:13:30,53.5,48.0,50.7
2022-04-18 16:13:45,36.1,56.6,46.3
2022-04-18 16:14:00,36.1,56.6,46.3
2022-04-18 16:14:15,60.7,63.8,62.3
2022-04-18 16:14:30,60.7,63.8,62.3
2022-04-18 16:14:45,29.9,45.5,37.7
2022-04-18 16:15:00,29.9,45.5,37.7
2022-04-18 16:15:15,51.0,48.6,49.8
2022-04-18 16:15:30,51.0,48.6,49.8
2022-04-18 16:15:45,38.8,51.8,45.3
2022-04-18 16:16:00,38.8,51.8,45.3
2022-04-18 16:16:15,47.2,40.5,43.9
2022-04-18 16:16:30,47.2,40.5,43.9
2022-04-18 16:16:45,42.2,39.1,40.6
2022-04-18 16:17:00,42.2,39.1,40.6
2022-04-18 16:17:15,54.3,44.4,49.3
2022-04-18 16:17:30,54.3,44.4,49.3
2022-04-18 16:17:45,52.2,37.4,44.8
2022-04-18 16:18:00,52.2,37.4,44.8
2022-04-18 16:18:15,53.9,49.4,51.6
2022-04-18 16:18:30,53.9,49.4,51.6
2022-04-18 16:18:45,52.9,52.6,52.7
2022-04-18 16:19:00,52.9,52.6,52.7
2022-04-18 16:19:15,52.6,59.4,56.0
2022-04-18 16:19:30,52.6,59.4,56.0
2022-04-18 16:19:45,46.1,34.0,40.1
2022-04-18 16:20:00,46.1,34.0,40.1
2022-04-18 16:20:15,52.5,50.2,51.4
2022-04-18 16:20:30,52.5,50.2,51.4
2022-04-18 16:20:45,54.1,34.7,44.4
2022-04-18 16:21:00,54.1,34.7,44.4

