"Time","edge-server-cv-74d975f7cd-64tvg 60s","edge-server-cv-74d975f7cd-xj7sb 60s","average"
2022-04-18 16:36:30,0.699,0.921,0.810
2022-04-18 16:36:45,0.348,0.966,0.657
2022-04-18 16:37:00,0.348,0.966,0.657
2022-04-18 16:37:15,0.477,0.913,0.695
2022-04-18 16:37:30,0.477,0.913,0.695
2022-04-18 16:37:45,1.19,0.596,0.894
2022-04-18 16:38:00,1.19,0.596,0.894
2022-04-18 16:38:15,0.673,1.16,0.916
2022-04-18 16:38:30,0.673,1.16,0.916
2022-04-18 16:38:45,0.656,0.513,0.585
2022-04-18 16:39:00,0.656,0.513,0.585
2022-04-18 16:39:15,1.09,0.688,0.891
2022-04-18 16:39:30,1.09,0.688,0.891
2022-04-18 16:39:45,1.42,1.09,1.26
2022-04-18 16:40:00,1.42,1.09,1.26
2022-04-18 16:40:15,1.45,0.543,0.997
2022-04-18 16:40:30,1.45,0.543,0.997
2022-04-18 16:40:45,1.90,2.04,1.97
2022-04-18 16:41:00,1.90,2.04,1.97
2022-04-18 16:41:15,0.655,0.741,0.698
2022-04-18 16:41:30,0.655,0.741,0.698
2022-04-18 16:41:45,0.758,1.01,0.885
2022-04-18 16:42:00,0.758,1.01,0.885
2022-04-18 16:42:15,0.478,0.392,0.435
2022-04-18 16:42:30,0.478,0.392,0.435
2022-04-18 16:42:45,0.516,0.132,0.324
2022-04-18 16:43:00,0.516,0.132,0.324
2022-04-18 16:43:15,0.676,2.53,1.60
2022-04-18 16:43:30,0.676,2.53,1.60
2022-04-18 16:43:45,1.16,1.10,1.13
2022-04-18 16:44:00,1.16,1.10,1.13
2022-04-18 16:44:15,1.09,0.415,0.754
2022-04-18 16:44:30,1.09,0.415,0.754
2022-04-18 16:44:45,1.51,1.08,1.29
2022-04-18 16:45:00,1.51,1.08,1.29
2022-04-18 16:45:15,1.18,1.48,1.33
2022-04-18 16:45:30,1.18,1.48,1.33
2022-04-18 16:45:45,0.254,0.472,0.363
2022-04-18 16:46:00,0.254,0.472,0.363
2022-04-18 16:46:15,0.661,0.701,0.681
2022-04-18 16:46:30,0.661,0.701,0.681
2022-04-18 16:46:45,1.59,1.25,1.42
2022-04-18 16:47:00,1.59,1.25,1.42
2022-04-18 16:47:15,1.26,0.723,0.992
2022-04-18 16:47:30,1.26,0.723,0.992
2022-04-18 16:47:45,0.463,0.211,0.337
