"Time","Average Request Rate","edge-server-cv-74d975f7cd-64tvg Requests/2s","edge-server-cv-74d975f7cd-xj7sb Requests/2s","avg_requests/30"
2022-04-18 16:36:35,3,1,5,3.59
2022-04-18 16:36:36,1,1,1,3.38
2022-04-18 16:36:37,1,1,1,3.38
2022-04-18 16:36:38,2.99,3,2.97,3.55
2022-04-18 16:36:39,2.02,1,3.03,3.55
2022-04-18 16:36:40,0.500,1,0,3.45
2022-04-18 16:36:41,1,2,0,3.45
2022-04-18 16:36:42,0,0,0,3.41
2022-04-18 16:36:43,2,1,3,3.38
2022-04-18 16:36:44,0.500,1,0,3.38
2022-04-18 16:36:45,1.50,1,2,3.38
2022-04-18 16:36:46,1.50,2,1,3.38
2022-04-18 16:36:47,0.500,1,0,3.28
2022-04-18 16:36:48,1.50,1,2,3.31
2022-04-18 16:36:49,0,0,0,3.21
2022-04-18 16:36:50,1,2,0,3.21
2022-04-18 16:36:51,2.50,3,2,3.14
2022-04-18 16:36:52,1,1,1,3
2022-04-18 16:36:53,1.50,2,1,3.10
2022-04-18 16:36:54,2.00,0.995,3,3.10
2022-04-18 16:36:55,0.500,0,1,2.90
2022-04-18 16:36:56,1.50,1,2,2.93
2022-04-18 16:36:57,0,0,0,2.83
2022-04-18 16:36:58,2.50,1,4,2.90
2022-04-18 16:36:59,3,4,2,2.97
2022-04-18 16:37:00,0.500,0,1,2.83
2022-04-18 16:37:01,2.50,2,3,2.93
2022-04-18 16:37:02,2,3,1,2.86
2022-04-18 16:37:03,2.50,3,2,2.90
2022-04-18 16:37:04,2.50,3,2,2.86
2022-04-18 16:37:05,1,0,2,2.86
2022-04-18 16:37:06,0.500,1,0,2.83
2022-04-18 16:37:07,1,0,2,2.69
2022-04-18 16:37:08,0.500,0,1,2.59
2022-04-18 16:37:09,1,1,1,2.62
2022-04-18 16:37:10,0.500,1,0,2.59
2022-04-18 16:37:11,1,1,1,2.66
2022-04-18 16:37:12,0.997,0.993,1,2.59
2022-04-18 16:37:13,2.01,2.01,2,2.69
2022-04-18 16:37:14,3,4,2,2.79
2022-04-18 16:37:15,3,2,4,2.90
2022-04-18 16:37:16,2,3,1,3
2022-04-18 16:37:17,2.50,3,2,3.07
2022-04-18 16:37:18,2,3,1,3.21
2022-04-18 16:37:19,1.50,2,1,3.24
2022-04-18 16:37:20,1,,1,3.12
2022-04-18 16:37:21,1,,1,3.21
2022-04-18 16:37:22,3.51,5.01,2,3.34
2022-04-18 16:37:23,0.500,0,1,3.24
2022-04-18 16:37:24,2,2,2,3.34
2022-04-18 16:37:25,1,1,1,3.31
2022-04-18 16:37:26,1.50,2,1,3.41
2022-04-18 16:37:27,2.50,1,4,3.41
2022-04-18 16:37:28,1,0,2,3.28
2022-04-18 16:37:29,1.50,0,3,3.34
2022-04-18 16:37:30,1.50,2,1,3.28
2022-04-18 16:37:31,1,2,0,3.21
2022-04-18 16:37:32,2,1,3,3.17
2022-04-18 16:37:33,2,2,2,3.14
2022-04-18 16:37:34,2,4,0,3.21
2022-04-18 16:37:35,1,0,2,3.24
2022-04-18 16:37:36,1,1,1,3.24
2022-04-18 16:37:37,1,1,1,3.28
2022-04-18 16:37:38,1,1,1,3.28
2022-04-18 16:37:39,2,1,3,3.38
2022-04-18 16:37:40,2,3,1,3.45
2022-04-18 16:37:41,2.50,1,4,3.55
